site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
2077,2021-07-13,9, 309/02.3,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,10, 282/03.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,11, 283/04.5,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,12, 273/06.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,13, 268/08.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,14, 266/08.9,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,15, 272/08.0,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,16, 290/07.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,17, 266/06.1,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,18, 271/04.6,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,19, 268/03.8,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,20, 283/03.2,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
2077,2021-07-13,21, 296/02.7,WINSPD_wd/ws,Miles Per Hour ( mph ),0,y,AIRS,H,-99,Redlands-Dearborn 
