
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
2,09/06/21,3.755800E-001,8.604200E-001,3.717200E-001,2.044500E+000,2.700500E+000,1.211600E+000,9.313800E-001,8.203000E-001,2.264700E-001,-3.411500E-002,2.085900E+000
2,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,09/08/21,9.656800E-001,2.096300E+000,2.963200E-001,1.674200E+000,2.319800E+000,8.618500E-001,2.159600E+000,2.233700E+000,-2.000000E-001,2.423300E-001,1.707100E+000
2,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,09/11/21,-1.254300E-001,-2.000000E-001,3.502900E-001,2.139800E+000,2.623000E-001,2.297700E+000,5.805300E-001,3.772700E-001,3.354800E-002,5.243300E-001,2.174100E+000
2,09/12/21,2.670600E-002,-1.753600E-001,-4.132200E-003,9.136300E-001,5.415500E-002,1.779400E+000,-1.025900E-001,-1.884800E-001,7.483200E-001,-1.520000E-001,2.461900E+000
2,09/13/21,-1.318100E-003,2.094000E-001,2.577600E+000,1.475700E+000,6.274500E-001,1.824600E+000,3.981800E-001,1.052500E-001,2.746700E-001,-1.852900E-001,2.149700E+000
2,09/14/21,-1.983800E-002,5.283600E-001,6.489100E+000,9.596600E-001,1.645100E+000,2.209500E+000,5.049700E-001,1.053300E+000,1.524100E-001,-2.000000E-001,1.142900E+000
2,09/15/21,-1.632000E-001,1.055700E+000,3.848300E+000,1.597000E+000,1.547000E+000,1.875200E+000,1.329800E+000,2.148900E+000,2.559000E-002,1.207700E-001,8.727200E-001
2,09/16/21,-2.000000E-001,1.339400E+000,3.009000E+000,1.866700E+000,2.566700E+000,2.001300E+000,1.421700E+000,2.526000E+000,7.396900E-002,2.127600E-001,7.535600E-001
2,09/17/21,-1.940600E-001,1.078300E+000,1.247900E+000,9.187300E-001,2.698500E+000,2.357000E+000,1.541300E+000,2.315800E+000,8.134800E-001,6.869900E-002,-2.000000E-001
