
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,08/31/21,6.878500E-001,1.868400E-002,1.635000E-001,1.686200E+000,2.948700E+000,5.069400E-002,2.404300E+000,7.796400E-001,1.878300E+000,2.521900E+000,1.631400E+000
5,09/01/21,-1.865900E-001,1.804600E+000,-2.000000E-001,1.551900E+000,9.342100E-001,6.141100E-001,8.013800E-001,1.133900E+000,1.079100E+000,7.011800E-001,4.890600E-001
5,09/02/21,3.426900E-001,1.168000E+000,-1.209900E-001,2.484500E+000,1.996200E+000,-1.397500E-001,2.086400E+000,1.352500E-001,1.291100E+000,1.847500E+000,8.091600E-001
5,09/03/21,6.376400E-001,9.830900E-001,8.784300E-001,1.930100E+000,4.494800E-001,1.735200E-001,1.414500E+000,6.244700E-001,1.182700E+000,7.969300E-001,3.075400E-001
5,09/04/21,-1.692000E-002,-1.691400E-001,1.195900E+000,-7.189000E-003,5.417900E-002,-2.154100E-002,9.653800E-002,7.082900E-003,-1.267300E-001,6.543500E-002,2.646100E-002
5,09/05/21,1.212000E-001,1.515100E+000,2.254800E+000,1.101500E+000,-1.735000E-001,1.417000E-001,4.194200E-002,4.186000E-001,4.922700E-001,5.898400E-001,-1.239300E-001
5,09/06/21,3.196300E-001,6.363900E-001,1.948900E+000,1.966800E+000,6.873400E-001,-3.088800E-002,2.788700E+000,3.589600E-001,1.160100E+000,1.551800E+000,9.451600E-001
5,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,09/08/21,2.824900E-001,-1.856500E-001,1.677400E+000,1.547900E+000,2.323700E+000,1.862100E-001,2.194800E+000,1.175100E+000,2.061400E+000,1.754500E+000,1.967000E+000
5,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,09/11/21,2.998400E-001,7.747900E-001,2.586900E+000,2.110200E+000,5.774800E-001,5.930700E-001,2.761500E-001,-2.000000E-001,8.059800E-001,1.160100E+000,-2.000000E-001
5,09/12/21,-4.843000E-002,1.443200E+000,2.952200E+000,9.383000E-001,-7.690400E-002,-8.912000E-002,-4.061400E-002,-7.777600E-002,3.028300E-001,5.762500E-001,-5.158700E-002
5,09/13/21,2.555500E+000,9.772900E-001,2.425100E+000,1.438300E+000,2.336800E-001,-1.761300E-001,6.422500E-001,-9.097400E-002,6.038800E-001,9.548800E-001,3.005000E-001
5,09/14/21,6.271600E+000,8.095100E-001,1.536200E+000,1.034900E+000,1.110800E+000,-2.000000E-001,1.929100E+000,-1.644200E-001,1.935900E-001,1.940800E+000,6.322000E-001
5,09/15/21,3.814400E+000,2.286200E-001,9.615200E-001,1.617100E+000,1.960900E+000,1.151500E-001,1.632000E+000,-1.462300E-001,1.036400E+000,2.360200E+000,1.051000E+000
5,09/16/21,3.020200E+000,5.803900E-002,6.979500E-001,1.871600E+000,2.028300E+000,2.056100E-001,2.590000E+000,-1.632000E-001,1.281600E+000,2.793800E+000,1.419100E+000
5,09/17/21,1.327800E+000,-4.569900E-003,1.761900E-001,1.093000E+000,2.499000E+000,1.822000E-002,2.747200E+000,-8.644300E-002,1.232100E+000,2.204700E+000,1.133100E+000
5,09/18/21,9.496100E-001,4.550300E-001,8.088200E-001,1.238300E+000,1.483900E+000,2.952900E-001,1.349000E+000,-1.395800E-001,9.045600E-001,2.840900E+000,7.989900E-001
5,09/19/21,7.855900E-001,1.171800E+000,3.565400E-001,1.006700E+000,1.972700E-001,4.030100E-001,1.119700E+000,-1.919900E-001,7.845900E-001,1.757600E+000,4.406300E-001
5,09/20/21,1.190000E+000,5.587700E-001,1.645000E+000,1.290900E+000,1.524800E+000,-1.972200E-001,1.171300E+000,-4.483500E-002,9.455900E-001,1.809500E+000,1.046600E+000
5,09/21/21,3.305400E-001,1.456800E+000,2.347300E+000,1.168000E+000,-2.000000E-001,1.623800E-001,-3.926200E-002,-1.393900E-001,1.035100E-001,1.190700E+000,-6.840800E-003
5,09/22/21,2.199100E-001,7.974400E-001,2.463600E+000,1.067400E+000,7.043100E-001,-1.340800E-001,9.128000E-001,-5.384500E-002,8.550300E-001,9.618600E-001,1.998200E-001
5,09/23/21,1.370900E-001,8.804000E-001,2.060700E+000,1.177900E+000,1.361400E+000,1.195200E-001,4.338500E-001,-9.956800E-002,6.976300E-001,1.075900E+000,4.002400E-001
5,09/24/21,8.620100E+000,-9.000700E-002,2.182400E-001,1.454200E+000,1.700900E+000,-5.658500E-002,2.853000E+000,-2.000000E-001,8.404500E-001,2.781200E+000,9.817500E-001
5,09/25/21,-1.757000E-002,-1.898000E-001,1.281400E+000,-1.025100E-002,5.638600E-002,-2.345300E-002,1.040500E-001,7.652300E-003,-1.359700E-001,6.980300E-002,2.812500E-002
5,09/26/21,-1.387200E-002,-8.900700E-002,8.418500E-001,5.570400E-003,4.293100E-002,-1.376600E-002,6.452700E-002,5.030100E-003,-8.532400E-002,4.521100E-002,1.903700E-002
5,09/27/21,-1.095900E-001,1.186000E+000,4.160300E-001,-1.160300E-002,7.584300E-001,4.269000E-001,2.007400E+000,-2.000000E-001,5.046600E-001,1.208300E+000,7.527600E-001
5,09/28/21,-1.003000E-001,1.027300E+000,3.365000E-001,3.857300E-003,1.170300E+000,-2.893200E-002,1.227300E+000,-7.511800E-002,3.396600E-001,1.002300E+000,1.311500E-001
5,09/29/21,2.040000E+000,1.476600E+000,3.061700E-001,-1.543900E-003,7.559200E-001,-2.052000E-002,6.599700E-001,-1.247700E-001,4.175700E-001,7.380200E-001,-1.202800E-001
5,09/30/21,3.018000E+000,1.481400E+000,9.229500E-001,9.848500E-001,-2.000000E-001,-7.330700E-002,2.179300E-002,-1.247400E-001,-2.000000E-001,7.810700E-001,2.966700E-002
