
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,Tetrachloroethene,2.144529E+000,3.554535E+000,1.925307E+000,1.847575E+000,1.812989E+001,4.855541E+000,1.013311E+001,7.835383E+000,3.565889E+001,1.391525E+001,0.000000E+000
5,1_2-Dichlorobenzene,1.360014E+000,4.208275E+000,6.434882E-001,0.000000E+000,0.000000E+000,1.668490E+001,1.747339E+000,7.535598E+001,0.000000E+000,0.000000E+000,0.000000E+000
5,1_4-Dichlorobenzene,1.853672E+000,0.000000E+000,2.314077E+000,0.000000E+000,0.000000E+000,8.244994E+001,0.000000E+000,2.484446E+000,5.162219E+000,0.000000E+000,5.735641E+000
5,PCBTF,5.807238E+000,0.000000E+000,1.565212E+000,0.000000E+000,3.008904E+001,1.733266E+000,2.332048E+000,4.906592E+000,3.541129E+001,1.270614E+001,5.449175E+000
5,N-Butane,7.658185E-002,7.775026E+000,2.150322E+000,2.389643E+000,9.086212E+000,3.553053E+000,2.229683E+001,1.976750E+001,8.818026E+000,0.000000E+000,2.408680E+001
5,Isobutane,0.000000E+000,4.711160E+000,0.000000E+000,4.537857E-001,8.148869E+000,6.661219E+000,4.625318E+001,1.004184E+000,2.901969E+001,0.000000E+000,3.747913E+000
5,N-Pentane,8.393888E-001,0.000000E+000,0.000000E+000,0.000000E+000,5.458933E+000,0.000000E+000,0.000000E+000,5.499513E+000,1.521002E+001,5.825737E-001,7.240957E+001
5,Isopentane,2.597417E+000,0.000000E+000,5.851771E+000,2.987545E+000,0.000000E+000,2.089077E+000,1.485374E+001,6.851153E+000,4.843182E+001,5.555193E+000,1.078228E+001
5,2-Methyl pentane,3.704470E+000,2.859353E+000,7.398263E+000,0.000000E+000,1.128277E+001,0.000000E+000,1.276693E+001,1.237542E+000,5.968083E+001,1.069847E+000,0.000000E+000
5,Butene,3.883076E-001,7.532535E+000,4.628586E+000,6.925999E+000,9.329882E+000,3.429195E+000,1.747405E+001,1.348057E+001,1.804256E+001,1.481606E+000,1.728671E+001
5,Propylene,0.000000E+000,1.231776E+001,0.000000E+000,0.000000E+000,1.398893E+001,2.420851E+001,1.741193E+001,7.776053E+000,0.000000E+000,5.257501E+000,1.903931E+001
5,cis-2-Pentene,0.000000E+000,1.233040E+001,1.134228E+001,3.407772E+000,0.000000E+000,0.000000E+000,6.204960E+000,0.000000E+000,4.219267E+001,0.000000E+000,2.452192E+001
5,Isoprene,7.204527E+000,8.334774E+000,5.677078E+001,1.021670E+001,3.778271E+000,0.000000E+000,0.000000E+000,7.383700E+000,9.760593E-001,4.108483E+000,1.226707E+000
5,alpha-Pinene,5.879099E+000,1.321967E+001,4.663607E+001,8.704099E+000,6.156722E+000,1.588443E+000,3.597623E+000,8.015903E+000,0.000000E+000,5.583607E+000,6.187624E-001
5,MVK,6.602061E+000,6.194104E+000,5.540930E+001,1.246516E+001,3.979793E-001,0.000000E+000,3.031219E+000,6.771798E+000,4.649904E+000,3.934506E+000,5.439677E-001
5,Benzene,0.000000E+000,1.236476E+001,1.003662E+000,6.292534E-001,5.674871E+000,0.000000E+000,0.000000E+000,0.000000E+000,6.092468E+001,9.463015E+000,9.939758E+000
5,Toluene,2.700437E+000,2.212392E+000,4.199861E+000,2.065181E+000,3.002085E+001,1.791357E+000,3.331585E+000,7.962285E+000,3.067445E+001,1.081926E+001,4.222347E+000
5,Ethylbenzene,2.919040E+000,2.452587E+000,4.022257E+000,1.437091E+000,3.149226E+001,1.739430E+000,3.658637E+000,7.892452E+000,2.711094E+001,1.308617E+001,4.189147E+000
5,Propylbenzene,3.066348E+000,1.289457E+000,7.709462E+000,1.127375E+000,3.049741E+001,3.447449E+000,6.589712E+000,7.501627E+000,2.770905E+001,8.497252E+000,2.564850E+000
5,m_p-Xylene,2.392570E+000,3.228528E+000,3.463915E+000,6.546082E-001,3.293984E+001,2.847895E+000,0.000000E+000,2.071023E+001,8.186305E+000,1.720172E+001,8.374392E+000
5,o-Xylene,2.998344E+000,1.993491E+000,4.194065E+000,1.189925E+000,3.465699E+001,2.204417E+000,2.252304E+000,1.042525E+001,1.980543E+001,1.616525E+001,4.114529E+000
5,p-Isopropyl Toluene,4.603910E+000,1.823218E+000,2.717518E+001,1.390851E+001,1.559199E+001,3.241008E+000,2.921496E+000,0.000000E+000,3.073469E+001,0.000000E+000,0.000000E+000
5,Naphthalene,5.883379E+000,3.728434E+000,1.271066E+001,2.979466E+000,2.241987E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.213525E+001,3.014294E+001,0.000000E+000
5,Methanol,8.591000E+001,4.589778E+000,1.771234E+000,2.882559E+000,1.843650E+000,1.108592E+000,7.881867E-002,6.511288E-001,0.000000E+000,1.148433E+000,1.581083E-002
5,Ethanol,7.854103E-001,0.000000E+000,3.072933E+000,8.947074E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.975034E+000,0.000000E+000,1.893674E+000,1.802206E+000
5,Phenol,3.664062E+000,2.165099E+001,3.016696E+001,3.350082E+000,2.696431E-001,2.760154E+000,0.000000E+000,1.165751E+001,2.186562E+001,4.614981E+000,0.000000E+000
5,Methyl acetate,2.355711E+000,4.378117E+000,0.000000E+000,3.387095E+000,6.208390E+000,1.208150E-001,8.774120E+000,4.885621E-001,6.307919E+001,1.108942E+001,1.185813E-001
5,n-Butyl acetate,2.938744E+000,8.802763E-001,0.000000E+000,4.871751E+000,3.856091E+001,7.573680E-001,0.000000E+000,4.273015E+000,3.357086E+001,5.999261E+000,8.147819E+000
5,D5-Siloxane,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.274298E+000,1.669851E+001,4.477822E+000,3.234906E+001,4.120031E+001,0.000000E+000

Factor Profiles (% of factor total) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,Dichloromethane,8.344362E-003,5.632796E-001,2.860098E-001,3.560428E-003,7.901586E-001,3.408632E-001,1.052975E+000,4.903978E-001,3.065393E+000,3.022227E-001,1.288763E+000
5,Chloroform,8.612871E-004,8.818749E-002,2.304293E-003,1.512729E-002,3.910548E-002,7.305025E-002,1.865791E-001,7.388369E-002,9.388342E-001,2.042073E-001,1.730869E-001
5,Trichlorofluoromethane,1.294156E-002,1.579346E+000,1.275972E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.984416E+000,6.840811E+000,9.248314E-001,2.674307E+000
5,Dichlorodifluoromethane,1.586603E-002,3.947266E+000,1.082062E+000,0.000000E+000,4.197418E+000,3.557495E+000,9.692837E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
5,Carbon Tetrachloride,2.402566E-003,5.031967E-001,2.820245E-001,4.526912E-003,9.554980E-002,2.952004E-001,1.397899E-001,0.000000E+000,1.759966E+000,6.015499E-001,3.815811E-001
5,1_1_2-Trichlorotrifluoroethane,3.960465E-003,5.972452E-001,3.338894E-001,1.605824E-002,3.712188E-002,1.451801E-001,6.545358E-001,5.652185E-001,1.864183E+000,1.665228E-001,0.000000E+000
5,1_2-Dichloro-1_1_2_2-tetrafluoroethane,7.156607E-004,1.516537E-001,6.276604E-002,0.000000E+000,9.094375E-002,9.221025E-002,1.520899E-001,5.248515E-002,1.114508E-001,2.062549E-002,2.959454E-001
5,Tetrachloroethene,1.686178E-004,4.473568E-003,4.436937E-003,1.386854E-003,4.868251E-002,2.364546E-002,9.311301E-002,4.037236E-002,1.496125E-001,5.723580E-002,0.000000E+000
5,1_2-Dichlorobenzene,1.179748E-004,5.843185E-003,1.636055E-003,0.000000E+000,0.000000E+000,8.964129E-002,1.771410E-002,4.283668E-001,0.000000E+000,0.000000E+000,0.000000E+000
5,1_4-Dichlorobenzene,2.872147E-004,0.000000E+000,1.050904E-002,0.000000E+000,0.000000E+000,7.912303E-001,0.000000E+000,2.522643E-002,4.268141E-002,0.000000E+000,1.184257E-001
5,PCBTF,1.031786E-003,0.000000E+000,8.150890E-003,0.000000E+000,1.825723E-001,1.907323E-002,4.842326E-002,5.712848E-002,3.357304E-001,1.180971E-001,1.290154E-001
5,N-Butane,4.420019E-004,7.182903E-001,3.637588E-001,1.316705E-001,1.790967E+000,1.270103E+000,1.503965E+001,7.476573E+000,2.715803E+000,0.000000E+000,1.852541E+001
5,Isobutane,0.000000E+000,2.557864E-001,0.000000E+000,1.469460E-002,9.439595E-001,1.399401E+000,1.833528E+001,2.232109E-001,5.252562E+000,0.000000E+000,1.694063E+000
5,N-Pentane,1.090927E-003,0.000000E+000,0.000000E+000,0.000000E+000,2.422962E-001,0.000000E+000,0.000000E+000,4.683918E-001,1.054851E+000,3.960853E-002,1.254062E+001
5,Isopentane,1.278636E-002,0.000000E+000,8.443143E-001,1.404031E-001,0.000000E+000,6.369397E-001,8.545498E+000,2.210147E+000,1.272227E+001,1.430572E+000,7.073040E+000
