
Residuals from Base Run #9 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
9,07/30/21,-4.427000E-002,-3.646000E-003,8.682000E-003,6.006000E-003,-1.410000E-002,-1.029000E-003,6.759000E-005,-8.903000E-004,2.697000E-005,-2.162000E-005,-4.229000E-004,3.259000E-002,1.390000E-002,-1.474000E-003,1.524000E-002,-2.550000E-002,-1.160000E-002,-2.778000E-002,-3.741000E-004,1.166000E-001,7.617000E-003,3.575000E-002,-6.873000E-002,1.235000E-002,-2.554000E-003,1.472000E-003,1.471000E-002,5.407000E-003,2.800000E-003,5.168000E-004,-4.003000E-002,-1.446000E+000,7.132000E-002,3.271000E-004,3.073000E-002,5.479000E-004,1.968000E-002,1.163000E-003,6.196000E-002,2.868000E-002,-1.367000E-002
9,07/31/21,-2.508000E-002,5.997000E-005,4.161000E-002,-2.441000E-002,2.157000E-002,8.351000E-003,1.355000E-003,2.169000E-005,-1.590000E-004,1.315000E-004,-8.495000E-004,2.866000E-002,-4.294000E-002,1.473000E-002,6.118000E-002,3.278000E-002,5.067000E-004,-4.278000E-002,1.220000E-003,9.851000E-002,7.904000E-003,1.706000E-002,-3.398000E-002,2.850000E-002,-6.253000E-004,1.795000E-004,2.448000E-004,1.892000E-003,-5.409000E-003,-1.087000E-003,5.568000E-001,4.082000E-001,4.546000E-003,-8.025000E-003,-8.515000E-003,3.843000E-004,-1.372000E-001,-2.278000E-004,-4.603000E-002,2.436000E-002,4.579000E-004
9,08/01/21,-2.297000E-002,-1.250000E-003,-3.203000E-003,2.996000E-001,4.711000E-003,2.885000E-004,6.954000E-003,9.949000E-004,3.312000E-004,-1.313000E-004,-1.642000E-003,-1.102000E-001,2.952000E-002,5.562000E-002,-9.941000E-002,4.425000E-002,-1.245000E-002,-3.986000E-002,-2.328000E-005,-4.917000E-002,-1.731000E-003,-3.334000E-002,-9.593000E-003,5.863000E-002,8.074000E-003,9.319000E-004,-6.109000E-004,4.563000E-003,8.245000E-004,1.243000E-003,6.516000E-002,3.671000E-001,3.209000E-002,-1.119000E-002,-1.518000E-002,3.486000E-004,-2.218000E-002,-5.640000E-004,-4.635000E-002,2.490000E-002,-3.013000E-003
9,08/02/21,-3.107000E-002,-5.557000E-003,1.381000E-002,-4.674000E-002,1.651000E-003,2.368000E-003,-2.357000E-003,7.408000E-004,-3.872000E-005,1.365000E-004,-8.695000E-004,7.577000E-002,3.129000E-002,-3.580000E-003,3.551000E-002,1.812000E-002,1.174000E-002,-1.677000E-001,8.377000E-004,1.714000E-001,2.058000E-002,1.051000E-001,4.982000E-004,4.571000E-002,6.739000E-003,9.029000E-004,1.238000E-002,8.070000E-003,1.877000E-003,1.042000E-003,2.142000E-005,-1.081000E-003,-4.834000E-002,8.548000E-003,5.003000E-002,7.189000E-004,2.607000E-002,2.891000E-004,-4.956000E-002,-3.024000E-003,-1.853000E-002
9,08/03/21,-1.530000E-002,-8.875000E-003,-3.334000E-002,-5.768000E-002,3.456000E-003,-1.133000E-002,1.581000E-003,2.866000E-003,-1.432000E-007,-8.828000E-006,-1.452000E-003,-4.346000E-002,-4.546000E-002,3.601000E-002,7.338000E-002,3.253000E-001,-4.601000E-003,6.062000E-002,8.183000E-003,6.510000E-002,2.138000E-003,3.400000E-002,1.538000E-002,3.299000E-001,6.385000E-002,1.629000E-002,1.411000E-001,9.764000E-002,2.978000E-002,3.566000E-002,5.362000E-005,-3.787000E-001,-2.426000E-002,-1.743000E-003,1.526000E-002,1.786000E-003,4.109000E-002,4.450000E-004,-6.832000E-002,-1.541000E-002,-1.457000E-002
9,08/04/21,7.982000E-004,-5.378000E-003,9.613000E-003,-6.460000E-002,-7.901000E-004,-1.201000E-002,-6.256000E-004,4.837000E-004,-1.180000E-004,6.686000E-005,3.004000E-003,2.358000E-002,1.932000E-002,2.222000E-002,-2.854000E-002,-1.093000E-002,-2.752000E-002,-7.012000E-002,-1.728000E-003,2.124000E-001,2.624000E-002,9.329000E-002,-1.775000E-001,3.190000E-002,7.343000E-003,8.735000E-005,1.250000E-002,9.495000E-003,8.057000E-004,-1.384000E-003,-7.093000E-003,-4.092000E-001,3.737000E-002,6.150000E-003,5.685000E-002,5.881000E-004,8.473000E-002,-4.300000E-004,-9.074000E-003,4.997000E-002,-2.578000E-002
9,08/05/21,-2.017000E-002,-6.899000E-003,3.615000E-004,-5.100000E-002,-1.206000E-002,-1.708000E-002,-1.370000E-003,9.849000E-004,2.015000E-004,-2.855000E-004,5.258000E-003,1.986000E-001,2.439000E-002,-3.200000E-003,1.585000E-002,-3.375000E-002,-5.138000E-002,-3.130000E-002,9.869000E-004,3.217000E-001,3.700000E-002,1.500000E-001,-1.201000E-001,5.712000E-001,5.849000E-003,-5.970000E-004,6.989000E-003,3.630000E-003,-5.691000E-004,-1.532000E-003,-6.221000E-003,-6.896000E-001,6.699000E-002,7.780000E-003,7.652000E-002,5.744000E-004,8.588000E-002,4.802000E-004,-3.030000E-002,1.361000E-001,-3.580000E-002
9,08/06/21,7.045000E-003,3.485000E-003,-4.443000E-002,-9.672000E-003,-1.626000E-002,-1.172000E-002,-1.487000E-003,2.610000E-004,4.507000E-005,-1.438000E-004,6.119000E-003,4.701000E-002,1.913000E-002,-3.736000E-003,-3.947000E-002,-2.495000E-002,1.909000E-002,-3.733000E-002,-1.029000E-004,1.119000E-001,1.982000E-002,5.788000E-002,-6.340000E-002,2.188000E-002,3.450000E-003,-1.618000E-003,-8.345000E-003,2.544000E-004,5.470000E-003,-6.134000E-003,-1.648000E-005,-2.902000E-003,1.200000E-001,1.219000E-002,5.018000E-002,8.999000E-004,7.479000E-003,1.017000E-003,-3.512000E-003,3.852000E-002,-7.489000E-003
9,08/07/21,-1.017000E-002,6.709000E-003,-2.696000E-002,-1.983000E-005,-4.559000E-003,-1.190000E-002,-7.965000E-004,1.270000E-003,7.962000E-005,-8.019000E-005,4.382000E-003,-3.715000E-002,4.356000E-002,-3.800000E-003,2.739000E-002,-2.672000E-002,-1.683000E-002,1.289000E-002,8.458000E-004,-4.215000E-002,-8.481000E-003,-2.404000E-002,-3.815000E-002,2.621000E-002,1.740000E-003,1.864000E-004,-1.114000E-002,-4.348000E-003,-1.741000E-003,-4.622000E-003,-3.004000E-004,1.537000E-003,1.029000E-001,9.588000E-003,6.676000E-002,3.301000E-004,6.334000E-002,1.857000E-003,1.667000E-002,-1.911000E-002,1.675000E-002
9,08/08/21,-6.103000E-003,1.555000E-002,5.572000E-003,-5.808000E-003,2.355000E-002,2.819000E-003,-2.047000E-003,2.418000E-003,5.650000E-005,1.135000E-004,-2.686000E-003,-8.597000E-002,1.248000E-003,1.847000E-002,-3.987000E-002,1.577000E-003,-2.689000E-002,-4.761000E-002,1.600000E-003,-8.711000E-002,-8.834000E-003,-6.299000E-002,4.220000E-002,1.771000E-002,1.592000E-003,-3.711000E-004,-9.070000E-003,-3.088000E-003,-2.338000E-003,-3.764000E-004,3.182000E-001,4.007000E-001,1.602000E-001,1.603000E-002,6.491000E-002,8.210000E-004,-3.692000E-002,8.941000E-004,1.755000E-002,2.870000E-002,5.327000E-002
