
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Isovaleraldehyde,0.0013453,,,,,,,,,0,0.00148795,0.0029759,
Hexaldehyde,0,,,,,,,,,0,0.000425775,0.00085155,
m_p-Tolualdehyde,0.00019285,,,,,,,,,0.00013708,0.000201565,0.00026605,
Phenylacetaldehyde,0,,,,,,,,,0,0.0011393,0.0022786,
Cyclohexanone,0.00027723,,,,,,,,,0.00021059,0.000277465,0.00034434,
Methyl acetate,0.02023,,,,,,,,,0.013571,0.021925,0.030279,
n-Butyl acetate,0.0066541,,,,,,,,,0.0021856,0.0082828,0.01438,
Diethylphthalate,0.01034,,,,,,,,,0.0058095,0.00950825,0.013207,
D5-Siloxane,0.04252,,,,,,,,,0.037549,0.0432335,0.048918,

Concentrations for Factor 3,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.022548,,,,,,,,,0.020104,0.0227045,0.025305,
Chloroform,0.003823,,,,,,,,,0.0034039,0.0038671,0.0043303,
Trichlorofluoromethane,0.066014,,,,,,,,,0.060738,0.066669,0.0726,
Dichlorodifluoromethane,0.15051,,,,,,,,,0.14067,0.151795,0.16292,
Carbon Tetrachloride,0.02064,,,,,,,,,0.01905,0.0208535,0.022657,
1_1_2-Trichlorotrifluoroethane,0.024895,,,,,,,,,0.022963,0.0251565,0.02735,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0059195,,,,,,,,,0.0055162,0.0059768,0.0064374,
Tetrachloroethene,0.00011449,,,,,,,,,2.9982E-05,0.000116366,0.00020275,
1_2-Dichlorobenzene,0.0002315,,,,,,,,,7.6535E-05,0.0001792575,0.00028198,
1_4-Dichlorobenzene,0,,,,,,,,,0,0.000119165,0.00023833,
PCBTF,0,,,,,,,,,0,1.89955E-05,3.7991E-05,
N-Butane,0.025803,,,,,,,,,0.019218,0.0270895,0.034961,
Isobutane,0.010725,,,,,,,,,0.0079375,0.01025675,0.012576,
N-Pentane,0.00041406,,,,,,,,,-1.8456E-19,0.00211055,0.0042211,
Isopentane,0,,,,,,,,,0,0.00054015,0.0010803,
2-Methyl pentane,0.01095,,,,,,,,,0.0074798,0.0106704,0.013861,
Butene,0.013937,,,,,,,,,0.0098989,0.01434645,0.018794,
Propylene,0.042712,,,,,,,,,0.031421,0.0427,0.053979,
cis-2-Pentene,0.0011399,,,,,,,,,0.00091267,0.001151935,0.0013912,
Isoprene,0.022843,,,,,,,,,0.0019199,0.02475945,0.047599,
alpha-Pinene,0.011334,,,,,,,,,0.0067729,0.01177945,0.016786,
MVK,0.0068782,,,,,,,,,-6.9632E-19,0.0095725,0.019145,
Benzene,0.032778,,,,,,,,,0.023906,0.0328165,0.041727,
Toluene,0.0028745,,,,,,,,,0.00057452,0.00291686,0.0052592,
Ethylbenzene,0.00042044,,,,,,,,,4.2164E-05,0.000417647,0.00079313,
Propylbenzene,0,,,,,,,,,0,5.69E-05,0.0001138,
m_p-Xylene,0,,,,,,,,,0,0.000279305,0.00055861,
o-Xylene,0,,,,,,,,,0,0.00012866,0.00025732,
p-Isopropyl Toluene,0,,,,,,,,,0,9.6675E-05,0.00019335,
Naphthalene,0.00035798,,,,,,,,,2.515E-05,0.000358955,0.00069276,
Methanol,3.3274,,,,,,,,,0,2.37755,4.7551,
Ethanol,0.20648,,,,,,,,,0,0.17025,0.3405,
Phenol,0.063475,,,,,,,,,0.050979,0.065231,0.079483,
Formaldehyde,0.093275,,,,,,,,,0,0.117445,0.23489,
Acetaldehyde,0,,,,,,,,,0,0.0204575,0.040915,
Isovaleraldehyde,0.016954,,,,,,,,,0.014687,0.017013,0.019339,
Hexaldehyde,0.036013,,,,,,,,,0.029763,0.0360655,0.042368,
m_p-Tolualdehyde,0,,,,,,,,,0,1.325E-05,2.65E-05,
Phenylacetaldehyde,0.048806,,,,,,,,,0.043034,0.049133,0.055232,
Cyclohexanone,0.00021129,,,,,,,,,0.00016197,0.00021194,0.00026191,
Methyl acetate,0.011059,,,,,,,,,0.0086102,0.0111961,0.013782,
n-Butyl acetate,0,,,,,,,,,0,0.000272115,0.00054423,
Diethylphthalate,0.0079533,,,,,,,,,0.0033207,0.00661535,0.00991,
D5-Siloxane,0,,,,,,,,,0,0.000140295,0.00028059,

Concentrations for Factor 4,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.00271,,,,,,,,,0.00019426,0.00273783,0.0052814,
Chloroform,0.00062956,,,,,,,,,0.0001975,0.00063595,0.0010744,
Trichlorofluoromethane,0.018392,,,,,,,,,0.014263,0.0183365,0.02241,
Dichlorodifluoromethane,0,,,,,,,,,0,0.0019247,0.0038494,
Carbon Tetrachloride,0.00023927,,,,,,,,,-5.9839E-20,0.000858,0.001716,
1_1_2-Trichlorotrifluoroethane,0.005247,,,,,,,,,0.0034347,0.0053015,0.0071683,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00026758,,,,,,,,,0,0.00030959,0.00061918,
Tetrachloroethene,0.00043083,,,,,,,,,0.00033169,0.000435005,0.00053832,
1_2-Dichlorobenzene,0.0047429,,,,,,,,,0.0044816,0.0047355,0.0049894,
1_4-Dichlorobenzene,0.00039687,,,,,,,,,5.1855E-05,0.0002699775,0.0004881,
PCBTF,0.00064363,,,,,,,,,0.00047154,0.00064232,0.0008131,
N-Butane,0.075492,,,,,,,,,0.064357,0.074692,0.085027,
Isobutane,0,,,,,,,,,0,0.00123785,0.0024757,
N-Pentane,0.0042156,,,,,,,,,0.00062258,0.00292089,0.0052192,
Isopentane,0.02424,,,,,,,,,0.019181,0.0235025,0.027824,
2-Methyl pentane,0,,,,,,,,,0,0.0014265,0.002853,
Butene,0.026364,,,,,,,,,0.021448,0.026383,0.031318,
Propylene,0.043201,,,,,,,,,0.02924,0.043495,0.05775,
cis-2-Pentene,0,,,,,,,,,0,1.2437E-05,2.4874E-05,
Isoprene,0.033053,,,,,,,,,0.019977,0.030976,0.041975,
