
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
1_4-Dichlorobenzene,0.00013648,,,,,,,,,0,0.00032527,0.00065054,
PCBTF,3.9669E-05,,,,,,,,,0,0.000146565,0.00029313,
N-Butane,0.013753,,,,,,,,,0.0062609,0.01405545,0.02185,
Isobutane,0,,,,,,,,,0,0.00090665,0.0018133,
N-Pentane,0.0036623,,,,,,,,,0,0.0031299,0.0062598,
Isopentane,0.0084102,,,,,,,,,0.0016653,0.00887065,0.016076,
2-Methyl pentane,0.012159,,,,,,,,,0.0045561,0.01243055,0.020305,
Butene,0.013073,,,,,,,,,0.0071145,0.01320375,0.019293,
Propylene,0,,,,,,,,,0,0.0009418,0.0018836,
cis-2-Pentene,0.0012436,,,,,,,,,0.00093058,0.00126114,0.0015917,
Isoprene,0.3229,,,,,,,,,0.29722,0.327305,0.35739,
alpha-Pinene,0.058233,,,,,,,,,0.052754,0.0590655,0.065377,
MVK,0.1516,,,,,,,,,0.13988,0.153935,0.16799,
Benzene,0,,,,,,,,,0,0.0062645,0.012529,
Toluene,0.0062754,,,,,,,,,0.0014169,0.00643945,0.011462,
Ethylbenzene,0.00081734,,,,,,,,,9.1515E-05,0.0008469575,0.0016024,
Propylbenzene,0.00040888,,,,,,,,,0.00016003,0.000413665,0.0006673,
m_p-Xylene,0,,,,,,,,,0,0.00021229,0.00042458,
o-Xylene,9.6906E-06,,,,,,,,,-4.369E-21,0.00038562,0.00077124,
p-Isopropyl Toluene,0.0032503,,,,,,,,,0.0024927,0.0032995,0.0041063,
Naphthalene,0.0018822,,,,,,,,,0.0013505,0.00191275,0.002475,
Methanol,1.5502,,,,,,,,,0,2.4558,4.9116,
Ethanol,0.13342,,,,,,,,,-5.7855E-17,0.147845,0.29569,
Phenol,0.12344,,,,,,,,,0.10809,0.124135,0.14018,
Formaldehyde,0.95485,,,,,,,,,0.77167,0.964985,1.1583,
Acetaldehyde,0.32851,,,,,,,,,0.24448,0.33212,0.41976,
Isovaleraldehyde,0.0037528,,,,,,,,,0.0013885,0.0038256,0.0062627,
Hexaldehyde,0.010998,,,,,,,,,0.0027123,0.01058115,0.01845,
m_p-Tolualdehyde,0.0001649,,,,,,,,,9.1439E-05,0.0001674345,0.00024343,
Phenylacetaldehyde,0.029992,,,,,,,,,0.02265,0.02981,0.03697,
Cyclohexanone,0,,,,,,,,,0,4.69865E-05,9.3973E-05,
Methyl acetate,0.00085063,,,,,,,,,-3.7844E-19,0.00333115,0.0066623,
n-Butyl acetate,0,,,,,,,,,0,0.00039792,0.00079584,
Diethylphthalate,0,,,,,,,,,0,0.0032179,0.0064358,
D5-Siloxane,0,,,,,,,,,0,0.0006206,0.0012412,


Percent of Species Sum for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,23.63644,,,,,,,,,19.464,23.7485,28.033
Chloroform,6.66675,,,,,,,,,1.385,6.4715,11.558
Trichlorofluoromethane,1.926262,,,,,,,,,0,3.1795,6.359
Dichlorodifluoromethane,1.773703,,,,,,,,,0,3.2455,6.491
Carbon Tetrachloride,2.593194,,,,,,,,,0,3.495,6.99
1_1_2-Trichlorotrifluoroethane,2.494183,,,,,,,,,0,3.4855,6.971
1_2-Dichloro-1_1_2_2-tetrafluoroethane,9.112049,,,,,,,,,5.312,9.589,13.866
Tetrachloroethene,19.731,,,,,,,,,16.138,19.768,23.398
1_2-Dichlorobenzene,3.147238,,,,,,,,,0.813,4.03,7.247
1_4-Dichlorobenzene,2.002904,,,,,,,,,0,2.686,5.372
PCBTF,43.8997,,,,,,,,,40.588,44.5175,48.447
N-Butane,5.623981,,,,,,,,,2.521,7.298,12.075
Isobutane,0,,,,,,,,,0,0.4595,0.919
N-Pentane,11.77705,,,,,,,,,6.708,14.459,22.21
Isopentane,0,,,,,,,,,0,1.8065,3.613
2-Methyl pentane,14.8585,,,,,,,,,10.623,14.923,19.223
Butene,12.14414,,,,,,,,,7.703,12.937,18.171
Propylene,0,,,,,,,,,0,0.654,1.308
cis-2-Pentene,11.60848,,,,,,,,,6.982,11.9355,16.889
Isoprene,11.28174,,,,,,,,,0,10.4505,20.901
alpha-Pinene,7.907361,,,,,,,,,0,8.030001,16.06
MVK,12.39794,,,,,,,,,0.046,10.7935,21.541
Benzene,22.5936,,,,,,,,,16.173,22.805,29.437
Toluene,14.13771,,,,,,,,,11.064,14.5145,17.965
Ethylbenzene,12.63325,,,,,,,,,9.739,13.1085,16.478
Propylbenzene,11.88022,,,,,,,,,8.515,12.277,16.039
m_p-Xylene,0.2934301,,,,,,,,,0,2.4795,4.959
o-Xylene,6.689997,,,,,,,,,3.718,7.455,11.192
p-Isopropyl Toluene,0,,,,,,,,,0,0.371,0.742
Naphthalene,0.4254279,,,,,,,,,0,3.54,7.08
Methanol,0.9618186,,,,,,,,,0,1.563,3.126
Ethanol,0,,,,,,,,,0,1.339,2.678
Phenol,25.43789,,,,,,,,,17.013,24.372,31.731
Formaldehyde,10.61026,,,,,,,,,1.525,9.861,18.197
Acetaldehyde,2.256091,,,,,,,,,0,4.223,8.446
Isovaleraldehyde,0,,,,,,,,,0,1.3315,2.663
Hexaldehyde,0,,,,,,,,,0,0.1685,0.337
m_p-Tolualdehyde,0,,,,,,,,,0,1.3675,2.735
Phenylacetaldehyde,17.5677,,,,,,,,,13.073,18.1585,23.244
Cyclohexanone,0,,,,,,,,,0,1.59,3.18
Methyl acetate,20.08204,,,,,,,,,11.783,18.9095,26.036
n-Butyl acetate,37.13075,,,,,,,,,32.409,37.299,42.189
Diethylphthalate,4.287722,,,,,,,,,0,3.1475,6.295
D5-Siloxane,0,,,,,,,,,0,2.174,4.348

Percent of Species Sum for Factor 2,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,1.702197,,,,,,,,,0,2.747,5.494
Chloroform,9.961283,,,,,,,,,7.106,10.067,13.028
Trichlorofluoromethane,5.746592,,,,,,,,,3.979,5.7935,7.608
Dichlorodifluoromethane,0.4576397,,,,,,,,,0,1.0555,2.111
Carbon Tetrachloride,11.00996,,,,,,,,,8.177,10.96,13.743
1_1_2-Trichlorotrifluoroethane,3.331885,,,,,,,,,1.041,3.28,5.519
1_2-Dichloro-1_1_2_2-tetrafluoroethane,1.448449,,,,,,,,,0,1.434,2.868
Tetrachloroethene,9.586752,,,,,,,,,6.762,10.3985,14.035
1_2-Dichlorobenzene,1.147683,,,,,,,,,0,1.677,3.354
1_4-Dichlorobenzene,3.031626,,,,,,,,,0,4.824,9.648
PCBTF,5.485823,,,,,,,,,2.256,7.7125,13.169
N-Butane,0,,,,,,,,,0,0.127,0.254
Isobutane,0,,,,,,,,,0,0.476,0.952
N-Pentane,0,,,,,,,,,0,0.7345,1.469
Isopentane,7.141303,,,,,,,,,5.754,7.2215,8.689
2-Methyl pentane,0.3289053,,,,,,,,,0,1.714,3.428
Butene,0.00441602,,,,,,,,,0,1.2505,2.501
Propylene,1.409395,,,,,,,,,0,1.9825,3.965
cis-2-Pentene,0,,,,,,,,,0,0.318,0.636
Isoprene,3.716842,,,,,,,,,1.576,3.819,6.062
alpha-Pinene,5.156484,,,,,,,,,2.549,5.2105,7.872
MVK,3.103853,,,,,,,,,1.114,3.4515,5.789
Benzene,10.34854,,,,,,,,,6.537,10.4845,14.432
Toluene,13.76963,,,,,,,,,11.171,14.418,17.665
Ethylbenzene,15.73893,,,,,,,,,12.979,16.341,19.703
Propylbenzene,14.2303,,,,,,,,,11.155,14.7855,18.416
m_p-Xylene,21.69784,,,,,,,,,18.277,21.6585,25.04
o-Xylene,19.66713,,,,,,,,,16.406,20.0855,23.765
p-Isopropyl Toluene,0,,,,,,,,,0,0.1315,0.263
Naphthalene,32.58111,,,,,,,,,27.414,32.434,37.454
Methanol,0.7077832,,,,,,,,,0,1.262,2.524
Ethanol,0.6366988,,,,,,,,,0,1.0235,2.047
Phenol,4.399799,,,,,,,,,1.973,5.163,8.353
Formaldehyde,3.248522,,,,,,,,,0,3.8475,7.695
Acetaldehyde,13.62847,,,,,,,,,9.793,13.802,17.811
Isovaleraldehyde,2.188455,,,,,,,,,0,2.42,4.84
Hexaldehyde,0,,,,,,,,,0,0.285,0.57
m_p-Tolualdehyde,13.76055,,,,,,,,,9.823,14.3385,18.854
Phenylacetaldehyde,0,,,,,,,,,0,0.7075,1.415
Cyclohexanone,13.1015,,,,,,,,,9.97,13.091,16.212
Methyl acetate,9.178312,,,,,,,,,6.144,9.9545,13.765
n-Butyl acetate,4.685334,,,,,,,,,1.537,5.837,10.137
Diethylphthalate,5.940647,,,,,,,,,3.339,5.463,7.587
D5-Siloxane,34.22406,,,,,,,,,30.255,34.7845,39.314

Percent of Species Sum for Factor 3,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,17.84007,,,,,,,,,15.94,17.951,19.962
Chloroform,14.63004,,,,,,,,,13.05,14.7885,16.527
Trichlorofluoromethane,25.91934,,,,,,,,,23.907,26.1635,28.42
Dichlorodifluoromethane,37.25423,,,,,,,,,34.943,37.557,40.171
Carbon Tetrachloride,28.41102,,,,,,,,,26.286,28.6895,31.093
1_1_2-Trichlorotrifluoroethane,30.99211,,,,,,,,,28.673,31.303,33.933
1_2-Dichloro-1_1_2_2-tetrafluoroethane,35.07072,,,,,,,,,32.742,35.3825,38.023
Tetrachloroethene,2.002129,,,,,,,,,0.524,2.032,3.54
1_2-Dichlorobenzene,3.585736,,,,,,,,,1.187,2.7735,4.36
1_4-Dichlorobenzene,0,,,,,,,,,0,1.0805,2.161
PCBTF,0,,,,,,,,,0,0.14,0.28
N-Butane,6.181707,,,,,,,,,4.605,6.483,8.361
Isobutane,4.412118,,,,,,,,,3.262,4.2165,5.171
N-Pentane,0.4363672,,,,,,,,,0,2.2225,4.445
Isopentane,0,,,,,,,,,0,0.15,0.3
2-Methyl pentane,3.277082,,,,,,,,,2.237,3.19,4.143
Butene,6.475603,,,,,,,,,4.602,6.6595,8.717
Propylene,10.40751,,,,,,,,,7.701,10.3905,13.08
cis-2-Pentene,11.91688,,,,,,,,,9.552,12.044,14.536
Isoprene,3.996414,,,,,,,,,0.335,4.327,8.319
alpha-Pinene,9.207774,,,,,,,,,5.501,9.5445,13.588
MVK,2.503979,,,,,,,,,0,3.4795,6.959
Benzene,12.73338,,,,,,,,,9.387,12.688,15.989
Toluene,0.8608829,,,,,,,,,0.172,0.8735,1.575
Ethylbenzene,0.7987251,,,,,,,,,0.08,0.7934999,1.507
Propylbenzene,0,,,,,,,,,0,0.479,0.958
m_p-Xylene,0,,,,,,,,,0,0.44,0.88
o-Xylene,0,,,,,,,,,0,0.2625,0.525
p-Isopropyl Toluene,0,,,,,,,,,0,0.4895,0.979
Naphthalene,1.832425,,,,,,,,,0.129,1.83,3.531
Methanol,3.931157,,,,,,,,,0,2.8015,5.603
Ethanol,3.690573,,,,,,,,,0,3.0435,6.087
Phenol,18.06684,,,,,,,,,14.529,18.5505,22.572
Formaldehyde,2.765914,,,,,,,,,0,3.4545,6.909
Acetaldehyde,0,,,,,,,,,0,1.0915,2.183
Isovaleraldehyde,27.57978,,,,,,,,,24.107,27.621,31.135
Hexaldehyde,24.09586,,,,,,,,,20.035,24.0305,28.026
m_p-Tolualdehyde,0,,,,,,,,,0,0.941,1.882
Phenylacetaldehyde,30.36474,,,,,,,,,26.886,30.577,34.268
Cyclohexanone,9.985265,,,,,,,,,7.673,9.997999,12.323
Methyl acetate,5.017447,,,,,,,,,3.913,5.0715,6.23
n-Butyl acetate,0,,,,,,,,,0,0.1915,0.383
Diethylphthalate,4.569414,,,,,,,,,1.908,3.7975,5.687
D5-Siloxane,0,,,,,,,,,0,0.113,0.226

Percent of Species Sum for Factor 4,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,2.144164,,,,,,,,,0.154,2.1645,4.175
Chloroform,2.40923,,,,,,,,,0.756,2.4305,4.105
Trichlorofluoromethane,7.221325,,,,,,,,,5.601,7.1895,8.778
Dichlorodifluoromethane,0,,,,,,,,,0,0.4765,0.953
Carbon Tetrachloride,0.3293559,,,,,,,,,0,1.1795,2.359
1_1_2-Trichlorotrifluoroethane,6.532058,,,,,,,,,4.276,6.5925,8.909
1_2-Dichloro-1_1_2_2-tetrafluoroethane,1.585307,,,,,,,,,0,1.835,3.67
Tetrachloroethene,7.534085,,,,,,,,,5.807,7.597,9.387
1_2-Dichlorobenzene,73.46345,,,,,,,,,69.812,73.5105,77.209
1_4-Dichlorobenzene,3.601525,,,,,,,,,0.467,2.441,4.415
PCBTF,4.744223,,,,,,,,,3.469,4.7285,5.988
N-Butane,18.08586,,,,,,,,,15.431,17.8735,20.316
Isobutane,0,,,,,,,,,0,0.509,1.018
N-Pentane,4.442713,,,,,,,,,0.656,3.076,5.496
Isopentane,6.72828,,,,,,,,,5.32,6.518001,7.716
2-Methyl pentane,0,,,,,,,,,0,0.4265,0.853
Butene,12.24961,,,,,,,,,9.97,12.2485,14.527
Propylene,10.52666,,,,,,,,,7.12,10.6015,14.083
cis-2-Pentene,0,,,,,,,,,0,0.13,0.26
Isoprene,5.782668,,,,,,,,,3.494,5.4065,7.319
alpha-Pinene,6.000408,,,,,,,,,3.309,5.943,8.577
MVK,5.399889,,,,,,,,,3.348,5.076,6.804
Benzene,0,,,,,,,,,0,0.5115,1.023
Toluene,7.54025,,,,,,,,,6.379,7.511,8.643
Ethylbenzene,7.733066,,,,,,,,,6.528,7.695,8.862
Propylbenzene,7.275782,,,,,,,,,5.719,7.268,8.817
m_p-Xylene,21.77195,,,,,,,,,19.545,21.431,23.317
o-Xylene,10.99978,,,,,,,,,9.537,10.912,12.287
p-Isopropyl Toluene,0,,,,,,,,,0,0.439,0.878
Naphthalene,0,,,,,,,,,0,0.0805,0.161
Methanol,0.9300258,,,,,,,,,0,1.222,2.444
Ethanol,1.836707,,,,,,,,,0,1.7105,3.421
Phenol,7.19799,,,,,,,,,4.792,7.226,9.66
Formaldehyde,8.876427,,,,,,,,,4.49,8.063499,11.637
Acetaldehyde,8.436904,,,,,,,,,4.772,7.9905,11.209
Isovaleraldehyde,28.64855,,,,,,,,,23.972,28.6645,33.357
Hexaldehyde,35.17997,,,,,,,,,29.859,35.173,40.487
m_p-Tolualdehyde,10.77654,,,,,,,,,6.791,9.994,13.197
Phenylacetaldehyde,1.142022,,,,,,,,,0,2.2845,4.569
Cyclohexanone,8.364768,,,,,,,,,5.699,8.3455,10.992
Methyl acetate,0,,,,,,,,,0,0.192,0.384
n-Butyl acetate,3.069643,,,,,,,,,1.369,3.2345,5.1
Diethylphthalate,1.004739,,,,,,,,,0,1.176,2.352
D5-Siloxane,7.307624,,,,,,,,,6.23,7.1715,8.113

Percent of Species Sum for Factor 5,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,3.973507,,,,,,,,,2.565,3.9365,5.308
Chloroform,0.8266755,,,,,,,,,0,1.241,2.482
Trichlorofluoromethane,1.275236,,,,,,,,,0,1.3265,2.653
Dichlorodifluoromethane,3.578644,,,,,,,,,2.198,3.5935,4.989
Carbon Tetrachloride,0.6396472,,,,,,,,,0,1.043,2.086
1_1_2-Trichlorotrifluoroethane,1.753833,,,,,,,,,0.31,1.761,3.212
1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.218663,,,,,,,,,1.681,3.1255,4.57
Tetrachloroethene,1.599238,,,,,,,,,0.375,1.6575,2.94
1_2-Dichlorobenzene,0,,,,,,,,,0,0.292,0.584
1_4-Dichlorobenzene,1.360497,,,,,,,,,0,1.165,2.33
PCBTF,4.601962,,,,,,,,,2.646,4.321,5.996
N-Butane,0.2612066,,,,,,,,,0,0.909,1.818
Isobutane,0.7402897,,,,,,,,,0,1.7645,3.529
N-Pentane,0.4782587,,,,,,,,,0,0.486,0.972
Isopentane,0,,,,,,,,,0,0.83,1.66
2-Methyl pentane,0.7904203,,,,,,,,,0,1.491,2.982
Butene,0.4317425,,,,,,,,,0,0.938,1.876
Propylene,0,,,,,,,,,0,0.482,0.964
cis-2-Pentene,0,,,,,,,,,0,0.1645,0.329
Isoprene,4.025281,,,,,,,,,0,4.2135,8.427
alpha-Pinene,3.5528,,,,,,,,,0,3.4705,6.941
MVK,3.455631,,,,,,,,,0,3.7365,7.473
Benzene,0,,,,,,,,,0,0.565,1.13
Toluene,0.9450395,,,,,,,,,0,1.2315,2.463
Ethylbenzene,1.267067,,,,,,,,,0.297,1.582,2.867
Propylbenzene,0.9361504,,,,,,,,,0,1.2675,2.535
m_p-Xylene,0.3029531,,,,,,,,,0,1.1595,2.319
o-Xylene,0.9237235,,,,,,,,,0,1.448,2.896
p-Isopropyl Toluene,0,,,,,,,,,0,0.67,1.34
Naphthalene,3.519937,,,,,,,,,1.185,3.755,6.325
Methanol,86.29194,,,,,,,,,85.456,89.251,93.046
Ethanol,0.8433373,,,,,,,,,0,1.2915,2.583
Phenol,1.787073,,,,,,,,,0,2.341,4.682
Formaldehyde,1.625862,,,,,,,,,0,2.4215,4.843
Acetaldehyde,0.5679602,,,,,,,,,0,1.681,3.362
Isovaleraldehyde,0.4798562,,,,,,,,,0,1.16,2.32
Hexaldehyde,0,,,,,,,,,0,0.523,1.046
m_p-Tolualdehyde,1.464962,,,,,,,,,0,2.214,4.428
Phenylacetaldehyde,2.256295,,,,,,,,,0,2.2115,4.423
Cyclohexanone,2.147808,,,,,,,,,0,2.375,4.75
Methyl acetate,0.9487734,,,,,,,,,0,1.218,2.436
n-Butyl acetate,2.415439,,,,,,,,,0.691,2.3115,3.932
Diethylphthalate,0.687311,,,,,,,,,0,2.603,5.206
D5-Siloxane,0,,,,,,,,,0,1.211,2.422

Percent of Species Sum for Factor 6,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,1.238393,,,,,,,,,0,1.9305,3.861
Chloroform,7.507126,,,,,,,,,4.686,7.7235,10.761
Trichlorofluoromethane,1.759472,,,,,,,,,0,2.188,4.376
Dichlorodifluoromethane,0,,,,,,,,,0,0.571,1.142
Carbon Tetrachloride,2.603105,,,,,,,,,0.08,2.8755,5.671
1_1_2-Trichlorotrifluoroethane,2.478373,,,,,,,,,0,2.5625,5.125
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0,,,,,,,,,0,0.559,1.118
Tetrachloroethene,3.202637,,,,,,,,,0.953,3.3925,5.832
1_2-Dichlorobenzene,0,,,,,,,,,0,0.318,0.636
1_4-Dichlorobenzene,4.105449,,,,,,,,,0,3.1575,6.315
PCBTF,0,,,,,,,,,0,1.795,3.59
N-Butane,1.477615,,,,,,,,,0,1.6375,3.275
Isobutane,0,,,,,,,,,0,1.379,2.758
N-Pentane,0,,,,,,,,,0,0.9605,1.921
Isopentane,2.905873,,,,,,,,,0.908,3.0155,5.123
2-Methyl pentane,0,,,,,,,,,0,0.7950001,1.59
Butene,5.76146,,,,,,,,,3.361,5.79,8.219
Propylene,0,,,,,,,,,0,0.4475,0.895
cis-2-Pentene,3.749861,,,,,,,,,0.815,3.833,6.851
Isoprene,2.186018,,,,,,,,,0,5.231,10.462
alpha-Pinene,2.577348,,,,,,,,,0,4.854,9.708
MVK,4.404589,,,,,,,,,0,6.3925,12.785
Benzene,6.451763,,,,,,,,,2.029,6.512,10.995
Toluene,2.287142,,,,,,,,,0.471,2.8165,5.162
Ethylbenzene,1.386731,,,,,,,,,0,2.188,4.376
Propylbenzene,0.4710771,,,,,,,,,0,1.753,3.506
m_p-Xylene,0,,,,,,,,,0,1.7475,3.495
o-Xylene,0.7302355,,,,,,,,,0,2.1565,4.313
p-Isopropyl Toluene,9.270391,,,,,,,,,5.677,9.401501,13.126
Naphthalene,3.710459,,,,,,,,,0.795,4.8685,8.942
Methanol,0.05562267,,,,,,,,,0,4.2575,8.515
Ethanol,83.1201,,,,,,,,,81.952,86.6175,91.283
Phenol,1.178593,,,,,,,,,0,3.223,6.446
Formaldehyde,5.240929,,,,,,,,,0,5.709,11.418
Acetaldehyde,4.693895,,,,,,,,,0.192,4.96,9.728
Isovaleraldehyde,2.168284,,,,,,,,,0,2.696,5.392
Hexaldehyde,0,,,,,,,,,0,0.7355,1.471
m_p-Tolualdehyde,0,,,,,,,,,0,0.958,1.916
Phenylacetaldehyde,0,,,,,,,,,0,1.1895,2.379
Cyclohexanone,6.215448,,,,,,,,,3.167,6.5995,10.032
Methyl acetate,7.251457,,,,,,,,,4.549,7.422,10.295
n-Butyl acetate,4.100627,,,,,,,,,1.898,4.5405,7.183
Diethylphthalate,0,,,,,,,,,0,1.344,2.688
D5-Siloxane,5.165723,,,,,,,,,1.786,6.1795,10.573

Percent of Species Sum for Factor 7,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,3.604252,,,,,,,,,1.918,3.6,5.282
Chloroform,3.549171,,,,,,,,,2.105,3.5185,4.932
Trichlorofluoromethane,0,,,,,,,,,0,0.2065,0.413
Dichlorodifluoromethane,9.709961,,,,,,,,,7.853,9.742,11.631
Carbon Tetrachloride,4.439635,,,,,,,,,2.473,4.2255,5.978
1_1_2-Trichlorotrifluoroethane,1.742878,,,,,,,,,0,1.888,3.776
1_2-Dichloro-1_1_2_2-tetrafluoroethane,7.302081,,,,,,,,,5.053,7.271,9.489
Tetrachloroethene,4.864637,,,,,,,,,3.589,4.8605,6.132
1_2-Dichlorobenzene,11.16349,,,,,,,,,5.878,11.2915,16.705
1_4-Dichlorobenzene,82.24693,,,,,,,,,81.24,84.1285,87.017
PCBTF,0.1589712,,,,,,,,,0,0.73,1.46
N-Butane,3.240946,,,,,,,,,1.485,3.3615,5.238
Isobutane,6.25842,,,,,,,,,5.242,6.2975,7.353
N-Pentane,0,,,,,,,,,0,0.42,0.84
Isopentane,1.234406,,,,,,,,,0.503,1.3065,2.11
2-Methyl pentane,0,,,,,,,,,0,0.2395,0.479
Butene,1.771417,,,,,,,,,0,1.838,3.676
Propylene,21.27627,,,,,,,,,18.602,21.2045,23.807
cis-2-Pentene,1.58728,,,,,,,,,0,1.644,3.288
Isoprene,0,,,,,,,,,0,0.988,1.976
alpha-Pinene,1.716851,,,,,,,,,0,1.911,3.822
MVK,0,,,,,,,,,0,0.808,1.616
Benzene,0,,,,,,,,,0,0.521,1.042
Toluene,0.7276699,,,,,,,,,0.104,0.926,1.748
Ethylbenzene,0.5968211,,,,,,,,,0,0.8190001,1.638
Propylbenzene,2.027539,,,,,,,,,1.007,2.1305,3.254
m_p-Xylene,0,,,,,,,,,0,0.9745,1.949
o-Xylene,0.3781551,,,,,,,,,0,0.8625,1.725
p-Isopropyl Toluene,2.823949,,,,,,,,,1.913,2.836,3.759
Naphthalene,0,,,,,,,,,0,0.064,0.128
Methanol,0.987527,,,,,,,,,0.001,1.1185,2.236
Ethanol,0.5707804,,,,,,,,,0,0.9220001,1.844
Phenol,4.389268,,,,,,,,,2.568,4.3395,6.111
Formaldehyde,0.4584108,,,,,,,,,0,1.869,3.738
Acetaldehyde,0.9546896,,,,,,,,,0,1.8215,3.643
Isovaleraldehyde,3.625356,,,,,,,,,0,3.628,7.256
Hexaldehyde,5.12809,,,,,,,,,0.748,5.171,9.594
m_p-Tolualdehyde,0,,,,,,,,,0,1.3465,2.693
Phenylacetaldehyde,16.82049,,,,,,,,,14.197,16.5085,18.82
Cyclohexanone,3.713768,,,,,,,,,1.895,3.735,5.575
Methyl acetate,0,,,,,,,,,0,0.1785,0.357
n-Butyl acetate,0.009190271,,,,,,,,,0,0.653,1.306
Diethylphthalate,0.2321908,,,,,,,,,0,0.747,1.494
D5-Siloxane,4.160975,,,,,,,,,3.293,4.2235,5.154

Percent of Species Sum for Factor 8,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,2.23088,,,,,,,,,0.243,2.192,4.141
Chloroform,2.605279,,,,,,,,,0.631,2.6705,4.71
Trichlorofluoromethane,5.085396,,,,,,,,,2.747,5.0345,7.322
Dichlorodifluoromethane,4.18284,,,,,,,,,0.774,4.1545,7.535
Carbon Tetrachloride,5.90685,,,,,,,,,3.278,5.7825,8.287
1_1_2-Trichlorotrifluoroethane,4.653734,,,,,,,,,1.885,4.518,7.151
1_2-Dichloro-1_1_2_2-tetrafluoroethane,4.547079,,,,,,,,,1.637,4.329,7.021
Tetrachloroethene,0.4823192,,,,,,,,,0,1.1055,2.211
1_2-Dichlorobenzene,0,,,,,,,,,0,0.199,0.398
1_4-Dichlorobenzene,0,,,,,,,,,0,0.6645,1.329
PCBTF,2.290108,,,,,,,,,0.398,2.218,4.038
N-Butane,0,,,,,,,,,0,0.274,0.548
Isobutane,0,,,,,,,,,0,0.6155,1.231
N-Pentane,0,,,,,,,,,0,0.873,1.746
Isopentane,4.350066,,,,,,,,,2.908,4.3715,5.835
2-Methyl pentane,3.167547,,,,,,,,,1.489,3.0595,4.63
Butene,0,,,,,,,,,0,0.6735,1.347
Propylene,5.050243,,,,,,,,,2.946,5.2865,7.627
cis-2-Pentene,0,,,,,,,,,0,0.4285,0.857
Isoprene,4.520044,,,,,,,,,0,4.562,9.124
alpha-Pinene,3.356036,,,,,,,,,0,3.859,7.718
MVK,4.112624,,,,,,,,,0,4.2475,8.495
Benzene,0,,,,,,,,,0,0.4305,0.861
Toluene,1.039379,,,,,,,,,0,1.5875,3.175
Ethylbenzene,1.417431,,,,,,,,,0,1.841,3.682
Propylbenzene,1.906114,,,,,,,,,0.174,2.2305,4.287
m_p-Xylene,2.580659,,,,,,,,,0.388,2.7955,5.203
o-Xylene,2.48782,,,,,,,,,0.527,2.878,5.229
p-Isopropyl Toluene,9.605442,,,,,,,,,7.07,9.441,11.812
