
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
2,09/12/21,-4.162500E-002,1.058900E+000,-1.650400E-001,-1.432900E-001,8.326600E-002,2.145600E+000,2.435400E-001,1.121100E+000
2,09/13/21,2.529200E+000,5.831800E-001,2.844600E-001,-1.693300E-001,4.236400E-001,2.146800E+000,5.506800E-001,1.671300E+000
2,09/14/21,6.422900E+000,6.227100E-001,7.473200E-001,-1.510700E-001,5.254900E-001,1.332500E+000,1.337900E+000,1.154300E+000
2,09/15/21,3.859000E+000,1.484400E-001,1.237600E+000,-1.775600E-001,1.239700E+000,8.882600E-001,2.337600E+000,1.689700E+000
2,09/16/21,3.047700E+000,1.173600E-001,1.814700E+000,-2.000000E-001,1.452800E+000,7.235200E-001,2.753000E+000,1.918000E+000
2,09/17/21,1.326100E+000,4.226300E-001,1.524600E+000,-1.661600E-001,1.474800E+000,5.060200E-002,3.056700E+000,1.109500E+000
2,09/18/21,9.565300E-001,4.378600E-001,9.727600E-001,-1.504800E-001,8.679200E-001,9.292500E-001,2.654100E+000,1.297800E+000
2,09/19/21,7.892500E-001,1.023500E+000,5.096100E-001,-1.593500E-001,7.787900E-001,7.058100E-001,7.119900E-001,9.912100E-001
2,09/20/21,1.193900E+000,2.388400E-001,1.082700E+000,-1.676300E-001,9.573000E-001,1.482900E+000,1.888600E+000,1.433400E+000
2,09/21/21,3.214200E-001,1.252200E+000,-1.744600E-001,-1.334600E-001,-2.000000E-001,1.987100E+000,5.717300E-001,1.403900E+000
2,09/22/21,2.261900E-001,2.507200E-001,3.203200E-001,-1.511900E-001,6.693700E-001,2.402900E+000,9.874100E-001,1.189300E+000
2,09/23/21,1.399300E-001,8.653500E-001,4.112500E-001,-1.617300E-001,6.154000E-001,1.498600E+000,1.538900E+000,1.320700E+000
2,09/24/21,8.974100E+000,3.839800E-001,1.302700E+000,-1.611200E-001,1.134200E+000,1.388800E-001,2.458300E+000,1.575400E+000
2,09/25/21,-1.047400E-002,9.519500E-002,-9.808800E-003,-3.454600E-003,1.618600E-002,1.460200E-001,-4.075500E-002,3.367200E-002
2,09/26/21,-1.244500E-002,9.645100E-002,-1.233100E-002,-4.806700E-003,1.243900E-002,2.218000E-001,-6.284000E-002,3.439100E-002
2,09/27/21,-1.149700E-001,1.156100E+000,9.603400E-001,-9.708100E-002,4.611600E-001,6.517500E-001,1.333000E+000,-5.760300E-002
2,09/28/21,-9.504600E-002,8.526000E-001,1.741800E-001,-9.242700E-002,5.744100E-001,4.852600E-001,1.362900E+000,-3.382100E-002
2,09/29/21,2.140100E+000,1.021100E+000,-1.253300E-001,-7.895700E-002,5.998200E-001,5.796900E-001,7.524700E-001,-3.900300E-002
2,09/30/21,2.691800E+000,1.699200E+000,-1.833600E-001,-1.311400E-001,-2.000000E-001,5.028400E-001,2.065900E-001,1.132500E+000
2,10/01/21,3.479500E-001,1.393600E+000,-1.871200E-001,-1.389100E-001,1.278100E-001,1.066600E+000,5.724900E-001,9.643200E-001
2,10/02/21,1.730800E-001,1.741700E+000,-1.881300E-001,-1.370000E-001,-8.534800E-002,1.299500E+000,3.886600E-001,7.309000E-001
2,10/03/21,4.650500E-001,1.028000E+000,-1.133900E-001,-1.266200E-001,-2.000000E-001,2.379700E+000,5.879000E-001,9.602800E-001
2,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,10/05/21,3.693200E-001,3.856000E+000,7.569600E-001,-2.000000E-001,-6.555300E-002,1.301300E-002,-2.832800E-002,-1.540500E-001
2,10/06/21,-7.212500E-002,2.946800E+000,7.073000E+000,8.234900E+000,-4.488600E-002,-2.000000E-001,5.767700E-001,4.911700E-001
2,10/07/21,-8.045200E-002,3.117900E+000,2.154800E+000,4.333300E+000,5.667000E-002,6.943800E-002,-1.578400E-001,-1.518000E-001
2,10/08/21,-2.045500E-002,2.581000E-001,-1.915700E-002,-1.204500E-002,1.153600E-002,1.619700E-001,-3.824700E-002,2.627700E-002
2,10/09/21,-2.000000E-001,3.057300E+000,5.094400E+000,5.444200E+000,1.262800E-002,-2.000000E-001,-2.000000E-001,-2.000000E-001
2,10/10/21,4.714200E-001,2.613700E+000,2.195700E+000,5.631000E+000,-1.997100E-001,4.256000E-001,3.217000E-001,2.974800E-001
2,10/11/21,-1.882300E-001,4.312100E+000,2.381700E+000,1.629400E+000,-2.000000E-001,1.176700E-002,-2.000000E-001,-2.000000E-001
2,10/12/21,-1.808700E-001,4.018000E+000,6.562400E-001,-2.000000E-001,8.655300E-003,-1.832400E-001,-1.190400E-001,5.748100E-002
2,10/13/21,-2.000000E-001,3.559900E+000,1.622600E+000,-1.426500E-001,-1.474900E-003,2.315000E-003,2.543900E-001,2.512800E-002
2,10/14/21,-1.936500E-001,3.496600E+000,3.042400E+000,4.522300E+000,-7.226600E-003,-2.000000E-001,1.517500E-001,2.543300E-002
2,10/15/21,-7.355700E-002,1.202100E+000,-1.058900E-001,-6.644400E-002,2.192000E-001,-8.724700E-002,6.297500E-002,-2.671700E-002
