
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
4,08/29/21,4.790600E-001,8.253400E-001,2.761800E+000,8.444300E-001,7.004800E-002,1.034700E+000,6.699400E-001,1.913200E+000,7.895800E-001,6.741600E-001,1.531200E-001
4,08/30/21,-1.979000E-002,4.884800E-001,4.503200E-001,-1.395100E-001,-1.722000E-002,4.865200E-002,-2.000000E-001,-9.774800E-003,2.378600E-002,-1.100100E-001,6.962300E-004
4,08/31/21,5.966900E-001,2.696900E+000,-2.000000E-001,2.842800E+000,1.272200E-001,2.438300E+000,7.850600E-001,1.550700E+000,5.771600E-001,2.168900E+000,1.740700E+000
4,09/01/21,-2.000000E-001,8.738900E-001,-8.129300E-002,8.412200E-001,6.359100E-001,9.119300E-001,2.607400E+000,1.527100E+000,1.091700E+000,1.133000E+000,4.600500E-001
4,09/02/21,3.016200E-001,2.243200E+000,-2.000000E-001,1.743500E+000,-9.297800E-002,1.937100E+000,2.143400E+000,2.429000E+000,2.776300E-002,1.509000E+000,7.593500E-001
4,09/03/21,6.820700E-001,5.070300E-001,1.214100E+000,4.963700E-001,1.743400E-001,1.489600E+000,9.184200E-001,2.042600E+000,6.386000E-001,1.116100E+000,2.768900E-001
4,09/04/21,-1.782300E-002,4.489000E-001,4.118200E-001,-1.286000E-001,-1.516600E-002,4.429600E-002,-1.925100E-001,-5.578800E-003,2.234900E-002,-9.812000E-002,1.508300E-003
4,09/05/21,1.540800E-001,1.056800E+000,2.114300E+000,-7.801800E-003,7.211500E-002,1.559200E-001,1.034200E+000,1.139700E+000,5.267400E-001,1.181800E-001,-2.000000E-001
4,09/06/21,3.631200E-001,1.209200E+000,2.088400E+000,8.196700E-001,-3.414600E-002,2.694500E+000,2.271100E-001,2.043400E+000,3.748900E-001,9.307600E-001,8.689500E-001
4,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/08/21,2.971900E-001,8.638300E-001,1.705800E+000,2.233700E+000,2.405600E-001,2.317800E+000,-2.000000E-001,1.673300E+000,9.672200E-001,2.162500E+000,2.097600E+000
4,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/11/21,3.248400E-001,2.295000E+000,2.178100E+000,3.790500E-001,5.251900E-001,2.654200E-001,3.496100E-002,2.139400E+000,-1.307200E-001,5.795000E-001,-2.000000E-001
4,09/12/21,-3.038900E-002,1.771000E+000,2.467000E+000,-1.847400E-001,-1.509100E-001,5.356700E-002,7.529500E-001,9.132000E-001,2.481900E-002,-1.029000E-001,-1.746900E-001
4,09/13/21,2.572600E+000,1.821400E+000,2.153100E+000,1.060400E-001,-1.842300E-001,6.263900E-001,2.778200E-001,1.475000E+000,-3.523300E-003,3.977300E-001,2.105200E-001
4,09/14/21,6.506800E+000,2.213600E+000,1.145800E+000,1.050800E+000,-2.000000E-001,1.640000E+000,1.503200E-001,9.595800E-001,-2.012500E-002,5.038500E-001,5.324700E-001
4,09/15/21,3.856100E+000,1.879700E+000,8.728100E-001,2.149000E+000,1.190300E-001,1.545900E+000,2.441900E-002,1.596200E+000,-1.648400E-001,1.330200E+000,1.056800E+000
4,09/16/21,3.010500E+000,2.005400E+000,7.560800E-001,2.530900E+000,2.099900E-001,2.563200E+000,6.908000E-002,1.865800E+000,-2.000000E-001,1.416200E+000,1.349600E+000
4,09/17/21,1.234700E+000,2.361200E+000,-2.000000E-001,2.315800E+000,6.615700E-002,2.694400E+000,8.122000E-001,9.178800E-001,-1.979500E-001,1.540200E+000,1.083900E+000
4,09/18/21,9.162700E-001,1.886100E+000,6.938300E-001,2.569400E+000,2.278000E-001,1.508700E+000,6.204300E-001,1.178700E+000,-1.558100E-001,8.074600E-001,7.196800E-001
