
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,09/01/21,-1.474500E-001,2.130700E+000,5.755600E-001,1.495100E+000,-1.158200E-001,1.149400E+000,5.500700E-001,1.152700E+000,8.757300E-001,1.077100E+000
11,09/02/21,3.570100E-001,1.858000E+000,-2.000000E-001,2.493100E+000,7.201300E-002,2.811400E+000,9.083500E-001,2.670500E+000,8.389300E-001,4.411900E-002
11,09/03/21,6.915600E-001,7.081200E-001,1.292300E-001,1.902200E+000,9.671100E-001,1.483600E+000,4.432600E-001,4.147100E-001,1.190300E+000,5.704200E-001
11,09/04/21,-2.832200E-002,-1.653000E-001,-8.516000E-003,2.730600E-002,9.236700E-001,1.957200E-002,-6.021500E-003,-3.706300E-002,-2.557600E-002,1.600000E-002
11,09/05/21,1.384900E-001,1.256800E+000,1.353600E-001,1.093300E+000,2.400400E+000,4.414600E-001,-1.798900E-001,-2.000000E-001,5.789300E-001,4.135200E-001
11,09/06/21,3.678000E-001,2.874000E-001,-7.091600E-002,1.927800E+000,1.958600E+000,2.605500E+000,1.099700E+000,6.291400E-001,1.234200E+000,2.983100E-001
11,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/08/21,3.120400E-001,-2.000000E-001,1.873000E-001,1.642700E+000,1.067400E+000,2.229000E+000,2.224100E+000,2.127100E+000,2.060500E+000,9.062600E-001
11,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/11/21,3.327700E-001,5.203800E-001,5.666600E-001,2.137100E+000,2.490800E+000,1.032700E+000,-2.000000E-001,7.011000E-001,8.599100E-001,-1.906000E-001
11,09/12/21,-4.442800E-002,1.100800E+000,-8.711300E-002,9.558400E-001,3.105300E+000,2.897500E-001,-1.785900E-001,-1.643700E-001,4.619900E-001,-7.806600E-002
11,09/13/21,2.528000E+000,7.952000E-001,-1.849200E-001,1.502200E+000,2.731500E+000,8.822000E-001,2.469300E-001,1.429400E-001,6.613800E-001,-8.565100E-002
