**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 59

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Phenylacetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00908,  0.00024,  0.00136,  5.69240,  0.00000
Cyclohexanone,  0.00073,  0.00036,  0.00074,  0.00075,  0.00088,  0.00110,  0.00079,  0.00012,  0.15581,  0.16888
Methyl acetate,  0.01852,  0.00000,  0.01412,  0.01819,  0.01872,  0.06448,  0.01921,  0.01037,  0.53981,  0.55995
n-Butyl acetate,  0.04921,  0.00559,  0.03874,  0.04883,  0.04933,  0.07348,  0.04388,  0.00986,  0.22465,  0.20031
D5-Siloxane,  0.00268,  0.00000,  0.00132,  0.00253,  0.02456,  0.06002,  0.01333,  0.01828,  1.37191,  6.83184

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00779,  0.00023,  0.00777,  0.00785,  0.01569,  0.03223,  0.01150,  0.00737,  0.64098,  0.94621
Chloroform,  0.00024,  0.00000,  0.00020,  0.00023,  0.00292,  0.00634,  0.00138,  0.00178,  1.29361,  7.57187
Trichlorofluoromethane,  0.03967,  0.00632,  0.03824,  0.03955,  0.05303,  0.10473,  0.04528,  0.01972,  0.43550,  0.49706
Dichlorodifluoromethane,  0.04161,  0.00000,  0.04156,  0.04256,  0.06734,  0.15069,  0.04988,  0.02737,  0.54880,  0.65796
Carbon Tetrachloride,  0.00956,  0.00049,  0.00949,  0.00956,  0.01497,  0.02740,  0.01188,  0.00566,  0.47659,  0.59194
1_1_2-Trichlorotrifluoroethane,  0.01095,  0.00000,  0.01058,  0.01090,  0.01566,  0.03086,  0.01315,  0.00649,  0.49338,  0.59275
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00220,  0.00002,  0.00219,  0.00221,  0.00319,  0.00672,  0.00262,  0.00125,  0.47623,  0.56895
