
**** Error Estimation Summary ****

BS-DISP Displaced Species:
o-Xylene,0.0037876,0,0.002094125,0.00470425,0.007410925,0.013595,0,0.00686025,0.0137205,0.0026119,0.00384515,0.0050784,
p-Isopropyl Toluene,0.000438,0,0,0,0.0005521725,0.001857495,0,0.0015602,0.00312039999999999,0,0.00046013,0.00092026,
Naphthalene,0,0,0,0,0,0.000330937500000002,-5.23499999999999E-22,0.0011857,0.00237139999999999,0,2.9016E-05,5.8032E-05,
Methanol,7.3742E-11,0,0,0.17016,0.7426175,2.241705,-4.0632E-18,1.576425,3.15285,-4.4979E-34,0.5661,1.1322,
Ethanol,0.079021,0,0,0.0380495,0.1442325,0.2696565,0,0.27248,0.544959999999999,0,0.084525,0.16905,
Phenol,0,0,0,0,0,0.03144105,0,0.02687075,0.0537414999999999,0,0.00265975,0.0053195,
Formaldehyde,0.13659,0,0,0.05872,0.173785,0.438514000000001,0,0.3580925,0.716185,0,0.16453,0.32906,
Acetaldehyde,0.046657,0,0,0.0193145,0.07073625,0.232555,0,0.2069125,0.413825,0,0.066085,0.13217,
Isovaleraldehyde,0,0,0,0.000391135,0.003903975,0.0110103,0,0.00895925,0.0179185,0,0.0007096,0.0014192,
Hexaldehyde,0,0,0,0,0.00445675,0.0322636,0,0.02466,0.04932,0,0.00092245,0.0018449,
m_p-Tolualdehyde,2.0758E-05,0,0,2.18265E-05,9.2252E-05,0.0001941295,-2.1474E-21,0.0001186525,0.000237305,0,4.66725E-05,9.3345E-05,
Phenylacetaldehyde,0.0059294,0,0,0.00093069,0.0088996,0.0241468,-1.2375E-21,0.0134405,0.026881,0,0.0065005,0.013001,
Cyclohexanone,0,0,0,0,8.56935E-05,0.0002300365,0,0.0001612925,0.000322585,0,9.667E-06,1.9334E-05,
Methyl acetate,0.0046917,0,0.002267975,0.010143,0.0175715,0.0331124,-1.1215E-20,0.03796875,0.0759374999999999,0,0.005609,0.011218,
n-Butyl acetate,0.014374,0.0003573145,0.004736775,0.0093977,0.02027825,0.04147405,0,0.029072,0.058144,0.010885,0.014708,0.018531,
D5-Siloxane,0.013052,0,0.00408685,0.00953625,0.01737925,0.03621655,0,0.0173315,0.034663,0.0084814,0.0130027,0.017524,

Concentrations for Plant decomposition,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0043121,0.00267292,0.0042739,0.0052566,0.0069379,0.00947688,0.00192925,0.01286887,0.0238085,0.0024689,0.0042998,0.0061307,
Chloroform,0.00090702,0.000275098,0.00086638,0.0011216,0.0014367,0.0023195,5.48245E-05,0.001636662,0.00321849999999999,0.00047331,0.000893555,0.0013138,
Trichlorofluoromethane,0.0058287,0,0.0032397,0.00833,0.014228,0.023564,0,0.01513775,0.0302754999999998,0.0018162,0.0061231,0.01043,
Dichlorodifluoromethane,0.019459,0.0119054,0.021541,0.027481,0.035831,0.0458626,0.00873625,0.02998712,0.051238,0.012341,0.0189425,0.025544,
Carbon Tetrachloride,0.0012164,0,0.0012978,0.0023046,0.0034387,0.00699474,0,0.004183175,0.00836634999999998,0.00014887,0.001307435,0.002466,
1_1_2-Trichlorotrifluoroethane,0.00231,0.00243704,0.0032549,0.0040726,0.005275,0.0077411,0.00173545,0.005761825,0.00978819999999997,0.0010399,0.00237865,0.0037174,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00038348,0,0.00050291,0.00070583,0.00092026,0.00149228,0,0.00119595,0.0023919,0.00015411,0.000386235,0.00061836,
Tetrachloroethene,0.00023322,3.16022E-05,0.00013841,0.00019869,0.0002618,0.000490244,7.9325E-06,0.0004571337,0.000906335,0.00014116,0.00023129,0.00032142,
1_2-Dichlorobenzene,0,0,0,0,1.9863E-05,0.000199508,0,0.00012459,0.000249179999999999,0,3.3979E-05,6.7958E-05,
1_4-Dichlorobenzene,5.927E-05,0,0,5.5417E-05,0.00010174,0.000347548,0,0.0002701825,0.000540364999999994,3.3614E-05,8.5532E-05,0.00013745,
PCBTF,0.00081288,0.000195478,0.00037054,0.00054941,0.0007988,0.00121576,9.3936E-05,0.000773393,0.00145285,0.00058912,0.000774715,0.00096031,
N-Butane,0.0061338,0,0,0.0022859,0.0070753,0.0140084,-1.15538E-19,0.0154015,0.0308029999999999,0,0.006,0.012,
Isobutane,0.0062653,0,0,0.0021859,0.0063551,0.0141258,0,0.0093865,0.0187729999999999,-1.4815E-18,0.005178,0.010356,
N-Pentane,0.0022651,0,0,0,0.0017375,0.00421896,0,0.00644775,0.0128955,0,0.0018183,0.0036366,
Isopentane,0.011679,0.00153444,0.0060283,0.009443,0.013709,0.0247868,0.00051387,0.02533294,0.050152,0.0065659,0.01135545,0.016145,
2-Methyl pentane,0.0053148,0,0.0021464,0.0061104,0.012287,0.024063,0,0.0184795,0.0369589999999999,0,0.0053835,0.010767,
Butene,0.0027791,0,0.00095016,0.0026326,0.0045272,0.0110198,0,0.007391,0.014782,-5.316E-19,0.0031042,0.0062084,
Propylene,0.01199,0,0.0041742,0.0083144,0.012247,0.0273156,0,0.0152755,0.030551,0.0017788,0.0104799,0.019181,
cis-2-Pentene,0,0,0,0,1.4524E-05,0.00046741,-1.09665E-21,0.0005339375,0.00106787499999999,0,2.445E-05,4.89E-05,
Isoprene,0.033061,0.00393838,0.019323,0.034328,0.055165,0.0792164,0,0.0519525,0.103905,0.0041905,0.03638625,0.068582,
alpha-Pinene,0.0053206,0.00128174,0.0038123,0.0061481,0.010175,0.0151556,0,0.01049925,0.0209985,0,0.005882,0.011764,
MVK,0.015122,0,0.008007,0.016019,0.022756,0.037695,0,0.02617825,0.0523565,0.0017643,0.01672065,0.031677,
Benzene,0,0,0,0,0.0027413,0.0338658000000001,0,0.034874,0.0697479999999999,0,0.00130725,0.0026145,
Toluene,0.013267,0.000397616,0.0052967,0.0083107,0.011773,0.0195168,0,0.01321775,0.0264355,0.0061306,0.0122888,0.018447,
Ethylbenzene,0.0024916,0.000363144,0.0010068,0.0016222,0.0021449,0.00360176,0.00035402,0.002290585,0.00422715,0.0013146,0.0023363,0.003358,
Propylbenzene,0.00049638,0,0.00020609,0.00035984,0.00047923,0.000839152000000001,0,0.00051922,0.00103844,0.0002295,0.000481985,0.00073447,
m_p-Xylene,0.0028353,0,9.3343E-05,0.0012573,0.0028562,0.00466912,-2.46199999999999E-22,0.00287515,0.00575029999999999,0.0010927,0.0026027,0.0041127,
o-Xylene,0.0024318,2.15838E-05,0.00056633,0.0011918,0.0020023,0.00365274,7.9034E-05,0.002234042,0.00438905,0.0011391,0.00226175,0.0033844,
p-Isopropyl Toluene,0.00086632,0,0.00041985,0.00076826,0.0012544,0.0022527,0,0.000947125,0.00189425,0.00043989,0.000912895,0.0013859,
Naphthalene,0.0016741,0.000422658,0.0011429,0.0015429,0.0020184,0.00286846,0,0.00164875,0.0032975,0.0011411,0.00171795,0.0022948,
Methanol,56.309,49.9796,53.566,55.011,57.402,60.3228,0.0944395,30.15697,60.2195,54.797,57.625,60.453,
Ethanol,0,0,0,0.017023,0.092388,0.249714,-1.1835E-18,0.1196025,0.239205,0,0.072645,0.14529,
Phenol,0.0056831,0,0.0021788,0.011541,0.018093,0.032345,0,0.022764,0.045528,0,0.0090145,0.018029,
Formaldehyde,0.071633,0,0,0.068497,0.15562,0.332232,0,0.2283675,0.456735,0,0.11197,0.22394,
Acetaldehyde,0.061948,0,0.0070798,0.037217,0.074275,0.147796,0,0.10025,0.2005,0,0.068975,0.13795,
