**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 16

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Phenol,  0.13070,  0.09743,  0.13170,  0.16080,  0.16380,  0.19254,  0.15466,  0.02578,  0.16669,  0.19725
Methyl acetate,  0.02466,  0.00000,  0.01384,  0.01784,  0.02466,  0.03308,  0.01777,  0.00796,  0.44775,  0.32272
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00369,  0.00018,  0.00082,  4.47214,  0.00000
D5-Siloxane,  0.01365,  0.00000,  0.00108,  0.00161,  0.01364,  0.02001,  0.00618,  0.00669,  1.08148,  0.48989

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00554,  0.00447,  0.00535,  0.00543,  0.00551,  0.00689,  0.00542,  0.00052,  0.09596,  0.09384
Chloroform,  0.00068,  0.00037,  0.00065,  0.00066,  0.00069,  0.00114,  0.00068,  0.00014,  0.19805,  0.19769
Trichlorofluoromethane,  0.00808,  0.00381,  0.00748,  0.00831,  0.00841,  0.01103,  0.00799,  0.00130,  0.16218,  0.16035
Dichlorodifluoromethane,  0.01541,  0.00877,  0.01456,  0.01519,  0.01570,  0.02643,  0.01522,  0.00331,  0.21773,  0.21514
Carbon Tetrachloride,  0.00197,  0.00000,  0.00158,  0.00187,  0.00199,  0.00275,  0.00172,  0.00055,  0.31736,  0.27743
1_1_2-Trichlorotrifluoroethane,  0.00257,  0.00000,  0.00236,  0.00266,  0.00269,  0.00338,  0.00243,  0.00070,  0.28908,  0.27364
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00057,  0.00028,  0.00049,  0.00059,  0.00060,  0.00154,  0.00060,  0.00024,  0.39889,  0.41702
