
Residuals from Base Run #11 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Methyl acetate,n-Butyl acetate,D5-Siloxane
11,07/30/21,-4.476000E-002,-5.648000E-003,6.471000E-004,3.175000E-002,-1.512000E-002,-1.996000E-003,4.953000E-004,-1.011000E-003,5.929000E-005,-4.100000E-005,1.131000E-003,3.805000E-002,-7.514000E-004,-8.957000E-004,8.087000E-003,-2.393000E-002,-1.732000E-002,3.460000E-003,-5.183000E-004,1.658000E-001,2.149000E-002,6.272000E-002,-8.019000E-002,1.635000E-002,-1.108000E-003,1.478000E-003,1.792000E-002,7.164000E-003,3.307000E-003,7.934000E-004,-8.371000E-002,-7.696000E-001,6.373000E-002,4.521000E-002,3.497000E-002,-1.658000E-002
11,07/31/21,-2.758000E-002,-2.584000E-003,2.461000E-002,-3.499000E-002,1.628000E-002,2.250000E-003,7.428000E-004,-1.542000E-004,-1.552000E-004,1.136000E-004,9.085000E-004,3.254000E-002,-4.570000E-002,1.669000E-002,6.649000E-002,5.084000E-002,-8.125000E-003,-3.946000E-002,1.283000E-003,1.498000E-001,1.847000E-002,4.456000E-002,-3.614000E-002,3.044000E-002,4.824000E-004,2.306000E-004,1.267000E-003,2.732000E-003,-4.777000E-003,-1.258000E-003,3.952000E-001,-1.169000E-001,-1.537000E-002,-6.247000E-002,2.938000E-002,-4.151000E-003
11,08/01/21,-2.956000E-002,-1.818000E-003,-2.686000E-002,1.908000E-001,-4.583000E-003,-1.146000E-002,3.857000E-003,9.519000E-004,3.449000E-004,-1.210000E-004,-1.673000E-003,-1.192000E-001,5.486000E-002,5.925000E-002,-6.770000E-002,7.121000E-002,-1.071000E-002,-1.117000E-001,4.345000E-004,-3.990000E-002,-7.526000E-003,-2.367000E-002,1.546000E-002,5.558000E-002,7.062000E-003,9.944000E-004,-5.143000E-003,2.324000E-003,2.528000E-003,1.063000E-003,4.096000E-002,1.166000E-003,2.024000E-002,-3.375000E-002,2.424000E-002,-1.341000E-003
11,08/02/21,-2.634000E-002,-4.280000E-003,1.991000E-002,-2.203000E-002,4.861000E-003,6.018000E-003,-1.252000E-003,9.658000E-004,-3.938000E-005,1.398000E-004,-1.355000E-003,8.291000E-002,2.699000E-002,-4.350000E-003,2.391000E-002,-1.072000E-002,2.333000E-002,-1.461000E-001,4.988000E-004,8.372000E-002,8.900000E-003,6.220000E-002,8.415000E-003,5.105000E-002,7.290000E-003,9.933000E-004,1.448000E-002,9.086000E-003,4.687000E-004,1.393000E-003,3.526000E-005,8.933000E-004,-3.743000E-002,-4.328000E-002,-4.834000E-004,-8.733000E-003
11,08/03/21,-1.280000E-002,-9.115000E-003,-3.536000E-002,-3.507000E-002,4.609000E-003,-1.000000E-002,2.486000E-003,2.887000E-003,2.140000E-005,-2.110000E-005,-1.411000E-003,-5.110000E-002,-6.735000E-002,2.979000E-002,5.182000E-002,2.972000E-001,-2.024000E-003,6.570000E-002,7.785000E-003,1.358000E-002,-3.109000E-003,1.072000E-002,2.266000E-002,3.286000E-001,6.360000E-002,1.610000E-002,1.422000E-001,9.777000E-002,2.878000E-002,3.581000E-002,9.544000E-005,-3.842000E-002,-1.675000E-002,-7.371000E-002,-1.356000E-002,-1.131000E-002
11,08/04/21,6.568000E-003,-4.908000E-003,1.841000E-002,-2.171000E-002,3.483000E-003,-7.718000E-003,1.188000E-003,4.996000E-004,-7.465000E-005,5.835000E-005,2.865000E-003,3.163000E-002,1.724000E-005,1.865000E-002,-5.280000E-002,-5.110000E-002,-1.770000E-002,-6.006000E-002,-1.905000E-003,1.598000E-001,2.051000E-002,7.032000E-002,-1.646000E-001,2.914000E-002,6.782000E-003,-1.706000E-004,1.321000E-002,9.422000E-003,-5.572000E-004,-1.751000E-003,-3.158000E-002,-1.087000E-001,4.666000E-002,-1.728000E-002,5.196000E-002,-2.551000E-002
11,08/05/21,-1.508000E-002,-6.788000E-003,5.352000E-003,-5.267000E-004,-8.097000E-003,-1.338000E-002,3.537000E-004,1.076000E-003,2.690000E-004,-2.660000E-004,5.580000E-003,2.057000E-001,-1.142000E-004,-7.438000E-003,-1.171000E-002,-7.773000E-002,-4.317000E-002,-8.374000E-003,6.905000E-004,2.734000E-001,3.340000E-002,1.291000E-001,-1.149000E-001,5.757000E-001,6.786000E-003,-6.305000E-004,1.060000E-002,5.520000E-003,-2.077000E-003,-1.134000E-003,-1.501000E-002,-1.556000E-001,7.134000E-002,-4.051000E-002,1.416000E-001,-3.145000E-002
11,08/06/21,1.106000E-002,4.653000E-003,-3.503000E-002,2.295000E-002,-1.131000E-002,-7.206000E-003,-6.270000E-005,4.006000E-004,5.806000E-005,-1.180000E-004,5.122000E-003,5.459000E-002,7.859000E-003,-5.678000E-003,-6.267000E-002,-7.700000E-002,3.259000E-002,-2.070000E-002,-2.982000E-004,5.073000E-002,1.174000E-002,2.914000E-002,-5.666000E-002,2.020000E-002,3.011000E-003,-1.722000E-003,-6.055000E-003,9.245000E-004,3.999000E-003,-5.445000E-003,1.137000E-006,-9.650000E-004,1.411000E-001,-4.159000E-003,3.703000E-002,2.410000E-003
11,08/07/21,-7.731000E-003,6.894000E-003,-1.940000E-002,2.662000E-002,-9.183000E-004,-7.810000E-003,1.683000E-004,1.283000E-003,8.839000E-005,-9.055000E-005,4.268000E-003,-3.082000E-002,3.566000E-002,-3.636000E-003,1.698000E-002,-4.479000E-002,-1.342000E-002,3.846000E-002,8.547000E-004,-3.776000E-002,-3.842000E-003,-2.106000E-002,-4.195000E-002,2.502000E-002,1.630000E-003,8.481000E-005,-9.292000E-003,-3.906000E-003,-1.773000E-003,-4.288000E-003,-2.151000E-005,7.996000E-002,1.222000E-001,1.412000E-002,-1.919000E-002,1.872000E-002
11,08/08/21,-6.524000E-003,1.419000E-002,9.734000E-004,7.776000E-003,2.282000E-002,2.125000E-003,-1.715000E-003,2.330000E-003,3.345000E-005,1.061000E-004,-2.085000E-003,-8.200000E-002,-4.208000E-003,1.924000E-002,-4.610000E-002,-5.643000E-003,-2.942000E-002,-2.735000E-002,1.497000E-003,-5.724000E-002,-5.759000E-004,-4.794000E-002,3.315000E-002,1.604000E-002,1.861000E-003,-4.356000E-004,-7.330000E-003,-2.421000E-003,-2.287000E-003,-1.429000E-004,3.486000E-001,4.660000E-002,1.641000E-001,5.200000E-003,2.891000E-002,5.515000E-002
