**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Naphthalene,  0.00447,  0.00086,  0.00254,  0.00450,  0.00492,  0.00546,  0.00393,  0.00131,  0.33248,  0.29213
Methanol,  0.52820,  0.00000,  0.00000,  0.93617,  1.39680,  2.52120,  0.90482,  0.84262,  0.93126,  1.59527
Ethanol,  0.10622,  0.00000,  0.00000,  0.00000,  0.10471,  0.20692,  0.04720,  0.06320,  1.33905,  0.59502
Phenol,  0.05920,  0.01535,  0.02871,  0.05820,  0.05916,  0.06331,  0.04561,  0.01732,  0.37974,  0.29258
Methyl acetate,  0.14017,  0.11202,  0.13781,  0.14043,  0.14240,  0.15399,  0.13786,  0.01033,  0.07491,  0.07368
n-Butyl acetate,  0.07618,  0.02674,  0.05458,  0.06978,  0.07648,  0.08048,  0.06332,  0.01575,  0.24879,  0.20679
D5-Siloxane,  0.01370,  0.00000,  0.01404,  0.02234,  0.02751,  0.03466,  0.02016,  0.01000,  0.49623,  0.73029

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02353,  0.00813,  0.00885,  0.02038,  0.02348,  0.02353,  0.01719,  0.00653,  0.37963,  0.27741
Chloroform,  0.00358,  0.00054,  0.00183,  0.00281,  0.00358,  0.00359,  0.00245,  0.00118,  0.47929,  0.32851
Trichlorofluoromethane,  0.06583,  0.00662,  0.01567,  0.02504,  0.06568,  0.06583,  0.03426,  0.02499,  0.72938,  0.37959
Dichlorodifluoromethane,  0.17193,  0.00000,  0.00044,  0.01796,  0.17169,  0.17193,  0.06893,  0.07912,  1.14780,  0.46017
Carbon Tetrachloride,  0.02096,  0.00000,  0.00089,  0.00302,  0.02092,  0.02096,  0.00889,  0.00924,  1.03946,  0.44093
1_1_2-Trichlorotrifluoroethane,  0.02498,  0.00000,  0.00000,  0.00134,  0.02492,  0.02498,  0.00998,  0.01175,  1.17709,  0.47039
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00652,  0.00008,  0.00046,  0.00223,  0.00650,  0.00652,  0.00317,  0.00267,  0.84092,  0.40891
Tetrachloroethene,  0.00034,  0.00025,  0.00034,  0.00054,  0.00115,  0.00127,  0.00070,  0.00039,  0.55078,  1.14699
1_2-Dichlorobenzene,  0.00020,  0.00000,  0.00000,  0.00016,  0.00020,  0.00461,  0.00057,  0.00134,  2.35717,  6.75314
1_4-Dichlorobenzene,  0.00014,  0.00000,  0.00003,  0.00012,  0.00014,  0.00233,  0.00021,  0.00050,  2.37325,  3.64697
PCBTF,  0.00010,  0.00010,  0.00010,  0.00186,  0.00353,  0.00400,  0.00186,  0.00166,  0.89506, 16.83013
N-Butane,  0.05658,  0.00861,  0.02231,  0.05664,  0.09270,  0.13933,  0.06178,  0.04012,  0.64947,  0.70913
Isobutane,  0.00204,  0.00000,  0.00000,  0.00000,  0.00198,  0.00204,  0.00071,  0.00097,  1.35322,  0.47285
N-Pentane,  0.00452,  0.00000,  0.00274,  0.00453,  0.05511,  0.06592,  0.02078,  0.02605,  1.25363,  5.76763
Isopentane,  0.00000,  0.00000,  0.00000,  0.02514,  0.04291,  0.04892,  0.02138,  0.01925,  0.90041,  0.00000
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.00451,  0.02234,  0.05075,  0.01132,  0.01526,  1.34824,  0.00000
Butene,  0.02475,  0.00663,  0.01271,  0.02476,  0.03892,  0.05215,  0.02579,  0.01424,  0.55220,  0.57561
Propylene,  0.09417,  0.00000,  0.01849,  0.07515,  0.09419,  0.10706,  0.06210,  0.04018,  0.64699,  0.42667
cis-2-Pentene,  0.00106,  0.00000,  0.00000,  0.00106,  0.00173,  0.00183,  0.00097,  0.00072,  0.74290,  0.67719
Isoprene,  0.05088,  0.01508,  0.01738,  0.04815,  0.04931,  0.05088,  0.03769,  0.01514,  0.40172,  0.29758
alpha-Pinene,  0.01925,  0.00000,  0.00000,  0.01384,  0.01897,  0.01925,  0.01114,  0.00803,  0.72062,  0.41689
MVK,  0.01881,  0.00645,  0.00774,  0.01803,  0.01839,  0.02116,  0.01458,  0.00533,  0.36543,  0.28328
Benzene,  0.01964,  0.00000,  0.01980,  0.01993,  0.03355,  0.06742,  0.02784,  0.01789,  0.64268,  0.91130
Toluene,  0.01202,  0.01182,  0.01225,  0.05596,  0.08997,  0.11364,  0.05528,  0.04195,  0.75882,  3.48926
Ethylbenzene,  0.00186,  0.00167,  0.00189,  0.00836,  0.01354,  0.01895,  0.00868,  0.00685,  0.78837,  3.68243
Propylbenzene,  0.00034,  0.00029,  0.00035,  0.00162,  0.00257,  0.00376,  0.00167,  0.00135,  0.80397,  3.90495
m_p-Xylene,  0.00354,  0.00354,  0.00357,  0.01686,  0.01792,  0.02915,  0.01386,  0.00985,  0.71044,  2.78293
o-Xylene,  0.00193,  0.00193,  0.00196,  0.00864,  0.01403,  0.02094,  0.00906,  0.00739,  0.81518,  3.82386
p-Isopropyl Toluene,  0.00042,  0.00000,  0.00000,  0.00010,  0.00040,  0.00129,  0.00025,  0.00033,  1.32168,  0.77679
Naphthalene,  0.00049,  0.00000,  0.00000,  0.00048,  0.00122,  0.00555,  0.00137,  0.00215,  1.57216,  4.38165
Methanol,  3.74420,  0.00000,  0.44417,  1.47395,  2.57895,  3.74420,  1.56924,  1.11941,  0.71334,  0.29897
Ethanol,  0.23057,  0.00000,  0.05115,  0.23084,  0.23405,  0.34027,  0.18461,  0.11467,  0.62116,  0.49734
Phenol,  0.07437,  0.00603,  0.02039,  0.03602,  0.07381,  0.07437,  0.04354,  0.02619,  0.60151,  0.35217
Methyl acetate,  0.00339,  0.00030,  0.00351,  0.01200,  0.02130,  0.04080,  0.01260,  0.01103,  0.87575,  3.25536
n-Butyl acetate,  0.00230,  0.00230,  0.00248,  0.02930,  0.05285,  0.06305,  0.02818,  0.02471,  0.87682, 10.72194
D5-Siloxane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00492,  0.02414,  0.00287,  0.00548,  1.91105,  0.00000

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00047,  0.00000,  0.00000,  0.00046,  0.00051,  0.00071,  0.00029,  0.00027,  0.94430,  0.58033
Chloroform,  0.00107,  0.00000,  0.00047,  0.00094,  0.00107,  0.00109,  0.00078,  0.00033,  0.42353,  0.30802
Trichlorofluoromethane,  0.00363,  0.00000,  0.00087,  0.00364,  0.00368,  0.00413,  0.00245,  0.00156,  0.63630,  0.42951
Dichlorodifluoromethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00923,  0.00087,  0.00259,  2.99169,  0.00000
Carbon Tetrachloride,  0.00181,  0.00038,  0.00089,  0.00181,  0.00184,  0.00202,  0.00140,  0.00059,  0.42350,  0.32876
1_1_2-Trichlorotrifluoroethane,  0.00239,  0.00010,  0.00084,  0.00175,  0.00240,  0.00244,  0.00163,  0.00074,  0.45535,  0.30993
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00005,  0.00000,  0.00000,  0.00000,  0.00005,  0.00005,  0.00002,  0.00002,  1.30661,  0.48203
Tetrachloroethene,  0.00006,  0.00006,  0.00006,  0.00008,  0.00027,  0.00030,  0.00014,  0.00010,  0.72767,  1.57968
1_2-Dichlorobenzene,  0.00013,  0.00000,  0.00004,  0.00010,  0.00013,  0.00014,  0.00008,  0.00005,  0.61918,  0.38528
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00015,  0.00076,  0.00008,  0.00018,  2.20783,  0.00000
PCBTF,  0.00026,  0.00000,  0.00011,  0.00027,  0.00074,  0.00131,  0.00039,  0.00036,  0.91782,  1.39974
N-Butane,  0.00632,  0.00630,  0.00634,  0.00771,  0.01193,  0.02228,  0.00962,  0.00468,  0.48671,  0.74086
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01577,  0.00091,  0.00354,  3.87404,  0.00000
N-Pentane,  0.00315,  0.00000,  0.00000,  0.00221,  0.00310,  0.00675,  0.00179,  0.00184,  1.03074,  0.58546
Isopentane,  0.01082,  0.01081,  0.01086,  0.01911,  0.02574,  0.03669,  0.02062,  0.00974,  0.47231,  0.90029
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.00545,  0.01527,  0.02340,  0.00862,  0.00917,  1.06432,  0.00000
Butene,  0.01431,  0.01418,  0.01430,  0.01524,  0.01603,  0.02089,  0.01559,  0.00174,  0.11173,  0.12169
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02528,  0.00240,  0.00655,  2.72241,  0.00000
cis-2-Pentene,  0.00028,  0.00013,  0.00028,  0.00039,  0.00074,  0.00078,  0.00048,  0.00024,  0.50027,  0.84809
Isoprene,  0.07581,  0.07449,  0.07522,  0.12062,  0.14874,  0.18435,  0.12152,  0.04349,  0.35788,  0.57372
alpha-Pinene,  0.01405,  0.01210,  0.01387,  0.02011,  0.02515,  0.03116,  0.02062,  0.00684,  0.33168,  0.48699
MVK,  0.04559,  0.04504,  0.04532,  0.06424,  0.07514,  0.08998,  0.06405,  0.01759,  0.27460,  0.38576
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.00626,  0.00235,  0.00542,  0.00642,  0.02195,  0.03553,  0.01162,  0.01005,  0.86454,  1.60445
Ethylbenzene,  0.00055,  0.00035,  0.00057,  0.00063,  0.00337,  0.00632,  0.00165,  0.00175,  1.05812,  3.17089
Propylbenzene,  0.00000,  0.00000,  0.00000,  0.00017,  0.00077,  0.00128,  0.00033,  0.00042,  1.27463,  0.00000
m_p-Xylene,  0.00030,  0.00000,  0.00000,  0.00030,  0.00366,  0.00821,  0.00155,  0.00226,  1.45868,  7.65785
o-Xylene,  0.00021,  0.00017,  0.00023,  0.00023,  0.00336,  0.00721,  0.00145,  0.00201,  1.38698,  9.38179
p-Isopropyl Toluene,  0.00270,  0.00268,  0.00269,  0.00409,  0.00514,  0.00594,  0.00410,  0.00128,  0.31320,  0.47564
Naphthalene,  0.00063,  0.00060,  0.00062,  0.00109,  0.00254,  0.00343,  0.00144,  0.00092,  0.63723,  1.46801
Methanol,  3.36190,  0.37508,  2.11505,  2.46980,  3.32928,  3.87590,  2.54144,  0.91422,  0.35973,  0.27194
Ethanol,  4.84480,  4.15650,  4.49523,  4.84440,  4.84840,  4.98930,  4.69492,  0.22419,  0.04775,  0.04627
Phenol,  0.01887,  0.01561,  0.01854,  0.02423,  0.03124,  0.04723,  0.02722,  0.01118,  0.41084,  0.59280
Methyl acetate,  0.00675,  0.00000,  0.00173,  0.00680,  0.00711,  0.00999,  0.00498,  0.00302,  0.60742,  0.44749
n-Butyl acetate,  0.00700,  0.00000,  0.00047,  0.00709,  0.00752,  0.01473,  0.00547,  0.00396,  0.72347,  0.56517
D5-Siloxane,  0.00291,  0.00274,  0.00283,  0.00889,  0.01467,  0.01814,  0.00900,  0.00531,  0.59022,  1.82909

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00551,  0.00341,  0.00501,  0.00538,  0.00551,  0.00675,  0.00530,  0.00060,  0.11243,  0.10802
Chloroform,  0.00068,  0.00033,  0.00066,  0.00067,  0.00068,  0.00082,  0.00066,  0.00009,  0.13032,  0.12633
Trichlorofluoromethane,  0.00803,  0.00353,  0.00758,  0.00820,  0.00850,  0.01149,  0.00800,  0.00141,  0.17573,  0.17495
Dichlorodifluoromethane,  0.01520,  0.00587,  0.01463,  0.01524,  0.01546,  0.02140,  0.01465,  0.00297,  0.20290,  0.19560
Carbon Tetrachloride,  0.00194,  0.00046,  0.00152,  0.00188,  0.00200,  0.00292,  0.00178,  0.00046,  0.25591,  0.23435
1_1_2-Trichlorotrifluoroethane,  0.00255,  0.00111,  0.00245,  0.00264,  0.00273,  0.00371,  0.00257,  0.00047,  0.18329,  0.18443
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00057,  0.00020,  0.00047,  0.00058,  0.00060,  0.00083,  0.00054,  0.00013,  0.23655,  0.22514
Tetrachloroethene,  0.00015,  0.00005,  0.00006,  0.00011,  0.00015,  0.00022,  0.00011,  0.00005,  0.49885,  0.34585
1_2-Dichlorobenzene,  0.00001,  0.00000,  0.00000,  0.00000,  0.00005,  0.00009,  0.00002,  0.00003,  1.47478,  2.52215
1_4-Dichlorobenzene,  0.00007,  0.00003,  0.00003,  0.00006,  0.00010,  0.00028,  0.00007,  0.00006,  0.76357,  0.85386
PCBTF,  0.00068,  0.00049,  0.00051,  0.00057,  0.00068,  0.00085,  0.00061,  0.00011,  0.18186,  0.16228
N-Butane,  0.00601,  0.00099,  0.00221,  0.00483,  0.00625,  0.00696,  0.00457,  0.00192,  0.41974,  0.31873
Isobutane,  0.00868,  0.00126,  0.00329,  0.00605,  0.00839,  0.00868,  0.00570,  0.00246,  0.43244,  0.28370
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00013,  0.00047,  0.00141,  0.00026,  0.00035,  1.36156,  0.00000
Isopentane,  0.01060,  0.00333,  0.00449,  0.00851,  0.00963,  0.01082,  0.00745,  0.00271,  0.36388,  0.25565
2-Methyl pentane,  0.01316,  0.00536,  0.00730,  0.01127,  0.01227,  0.01316,  0.01019,  0.00274,  0.26867,  0.20796
