**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Carbon Tetrachloride,  0.00129,  0.00000,  0.00066,  0.00094,  0.00129,  0.00129,  0.00085,  0.00046,  0.53657,  0.35567
1_1_2-Trichlorotrifluoroethane,  0.00168,  0.00000,  0.00089,  0.00135,  0.00169,  0.00184,  0.00122,  0.00056,  0.46251,  0.33628
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Tetrachloroethene,  0.00013,  0.00000,  0.00004,  0.00011,  0.00013,  0.00013,  0.00009,  0.00005,  0.56497,  0.37069
1_2-Dichlorobenzene,  0.00012,  0.00000,  0.00003,  0.00012,  0.00016,  0.00023,  0.00011,  0.00007,  0.65157,  0.57492
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00027,  0.00066,  0.00013,  0.00024,  1.79645,  0.00000
PCBTF,  0.00075,  0.00027,  0.00074,  0.00076,  0.00090,  0.00114,  0.00077,  0.00025,  0.31857,  0.32678
N-Butane,  0.00875,  0.00553,  0.00745,  0.00869,  0.00892,  0.01703,  0.00940,  0.00344,  0.36634,  0.39326
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00263,  0.00716,  0.00120,  0.00208,  1.73998,  0.00000
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00583,  0.00083,  0.00186,  2.25056,  0.00000
Isopentane,  0.01986,  0.00279,  0.00438,  0.01974,  0.02028,  0.02768,  0.01498,  0.00857,  0.57233,  0.43175
2-Methyl pentane,  0.01830,  0.00393,  0.00925,  0.01199,  0.01821,  0.01892,  0.01296,  0.00519,  0.40098,  0.28393
Butene,  0.01351,  0.00814,  0.00901,  0.01333,  0.01352,  0.01562,  0.01201,  0.00262,  0.21777,  0.19362
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00258,  0.00023,  0.00064,  2.75599,  0.00000
cis-2-Pentene,  0.00036,  0.00031,  0.00036,  0.00047,  0.00056,  0.00076,  0.00047,  0.00012,  0.26424,  0.34236
Isoprene,  0.05069,  0.04986,  0.05074,  0.05757,  0.09912,  0.15769,  0.07400,  0.03100,  0.41886,  0.61155
alpha-Pinene,  0.00957,  0.00944,  0.00958,  0.01120,  0.01779,  0.02655,  0.01354,  0.00490,  0.36227,  0.51249
MVK,  0.03136,  0.03098,  0.03139,  0.03574,  0.05630,  0.07839,  0.04283,  0.01413,  0.32996,  0.45057
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.00823,  0.00150,  0.00809,  0.00820,  0.00859,  0.01793,  0.00830,  0.00349,  0.42041,  0.42374
Ethylbenzene,  0.00111,  0.00025,  0.00083,  0.00110,  0.00114,  0.00251,  0.00102,  0.00053,  0.51506,  0.47259
Propylbenzene,  0.00009,  0.00000,  0.00000,  0.00009,  0.00010,  0.00058,  0.00010,  0.00014,  1.44016,  1.50869
m_p-Xylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00246,  0.00022,  0.00066,  2.98952,  0.00000
o-Xylene,  0.00073,  0.00000,  0.00030,  0.00065,  0.00073,  0.00236,  0.00061,  0.00056,  0.92597,  0.77132
p-Isopropyl Toluene,  0.00278,  0.00218,  0.00260,  0.00278,  0.00305,  0.00513,  0.00293,  0.00072,  0.24452,  0.25799
Naphthalene,  0.00091,  0.00003,  0.00014,  0.00089,  0.00092,  0.00150,  0.00066,  0.00042,  0.64559,  0.46478
Methanol,  1.15920,  0.05650,  1.00870,  1.70050,  2.27190,  2.90590,  1.64098,  0.79148,  0.48232,  0.68278
Ethanol,  4.66810,  4.10930,  4.61790,  4.65540,  4.66810,  4.77290,  4.62441,  0.12747,  0.02756,  0.02731
Phenol,  0.00000,  0.00000,  0.00000,  0.00000,  0.01235,  0.03172,  0.00687,  0.01046,  1.52295,  0.00000
Isovaleraldehyde,  0.00525,  0.00368,  0.00525,  0.00527,  0.00618,  0.00711,  0.00552,  0.00085,  0.15467,  0.16244
Hexaldehyde,  0.01023,  0.00527,  0.01016,  0.01025,  0.01461,  0.01784,  0.01162,  0.00315,  0.27113,  0.30800
m_p-Tolualdehyde,  0.00007,  0.00005,  0.00006,  0.00007,  0.00009,  0.00014,  0.00008,  0.00002,  0.31463,  0.35447
Phenylacetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00165,  0.00008,  0.00037,  4.47214,  0.00000
Cyclohexanone,  0.00029,  0.00017,  0.00026,  0.00028,  0.00029,  0.00036,  0.00028,  0.00004,  0.14957,  0.14116
Methyl acetate,  0.01036,  0.00000,  0.00354,  0.00812,  0.01034,  0.01109,  0.00676,  0.00400,  0.59231,  0.38661
