
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,08/25/21,3.596700E-001,1.910800E+000,-1.714600E-001,1.006900E+000,-1.786300E-001,1.646800E+000,1.592600E+000,9.096700E-001,7.497700E-001,1.770800E+000
6,08/26/21,5.551200E-001,5.214700E-001,-1.558200E-001,-4.259300E-003,1.480000E+000,1.100100E+000,5.982600E-001,7.140700E-001,1.187400E+000,2.570900E+000
6,08/27/21,-1.985400E-001,5.238800E-001,1.803000E+000,6.039300E-001,-1.755900E-001,1.201100E+000,1.378100E+000,-1.678400E-001,9.848600E-001,2.463000E+000
6,08/28/21,2.437700E-003,4.996600E-001,2.240900E+000,9.285200E-001,2.315300E-001,1.498100E+000,1.967000E+000,4.837700E-001,3.190800E-001,2.837400E+000
6,08/29/21,1.357700E-001,1.110700E-001,1.821300E+000,2.491800E-001,4.711500E-001,1.276700E+000,1.321800E+000,6.384200E-001,8.236200E-001,2.634500E+000
6,08/30/21,-1.468700E-002,-4.353900E-002,3.995200E-002,-1.487600E-003,-1.374600E-002,-4.290500E-002,2.574500E-002,2.095300E-002,-2.000000E-001,1.140900E+000
6,08/31/21,4.630900E-002,3.556600E+000,1.737300E+000,1.742000E+000,6.135600E-001,1.422800E+000,3.505700E+000,6.246000E-001,5.117800E-001,-6.535800E-002
6,09/01/21,5.753500E-001,1.131300E+000,1.484500E+000,5.484800E-001,-1.979700E-001,9.050800E-001,1.096600E+000,1.076100E+000,2.071700E+000,-1.394800E-001
6,09/02/21,-2.000000E-001,2.705500E+000,2.505300E+000,9.176600E-001,2.739400E-001,8.217400E-001,2.794700E+000,4.414100E-002,1.865200E+000,-3.727100E-002
6,09/03/21,1.297200E-001,4.344400E-001,1.877200E+000,4.314400E-001,6.684800E-001,1.196700E+000,1.432900E+000,5.654000E-001,7.439000E-001,9.138900E-001
6,09/04/21,-1.218000E-002,-3.530300E-002,3.902800E-002,-1.254600E-003,-1.245600E-002,-3.440400E-002,2.022900E-002,1.813300E-002,-1.647000E-001,9.875000E-001
6,09/05/21,1.279200E-001,-1.906400E-001,1.122300E+000,-1.783400E-001,1.542700E-001,5.705800E-001,4.218900E-001,4.104600E-001,1.258900E+000,2.424300E+000
6,09/06/21,-7.251800E-002,6.767800E-001,1.915300E+000,1.098000E+000,3.452400E-001,1.196000E+000,2.628900E+000,3.028600E-001,3.533800E-001,1.949400E+000
6,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/08/21,1.884600E-001,2.132700E+000,1.628700E+000,2.204000E+000,2.784400E-001,2.037600E+000,2.346300E+000,9.212900E-001,-2.000000E-001,1.189500E+000
6,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/11/21,5.570400E-001,7.473100E-001,2.195900E+000,-2.000000E-001,3.237600E-001,8.156200E-001,1.048700E+000,-1.967500E-001,5.854500E-001,2.535800E+000
6,09/12/21,-9.663700E-002,-1.403400E-001,1.009200E+000,-1.689700E-001,-1.785000E-002,4.423500E-001,2.841000E-001,-8.193300E-002,1.132600E+000,3.104200E+000
6,09/13/21,-1.886800E-001,1.787400E-001,1.540800E+000,2.535100E-001,2.569100E+000,6.462500E-001,8.141800E-001,-8.964500E-002,8.668700E-001,2.679600E+000
6,09/14/21,-1.942800E-001,1.054100E+000,1.097000E+000,5.963500E-001,6.280600E+000,2.861100E-001,1.932100E+000,-5.700600E-002,9.326300E-001,2.034700E+000
6,09/15/21,1.073000E-001,2.162500E+000,1.712300E+000,1.085500E+000,3.829500E+000,1.049700E+000,2.020500E+000,-1.776500E-001,3.506800E-001,1.118400E+000
6,09/16/21,1.903400E-001,2.456200E+000,1.964100E+000,1.465700E+000,2.993700E+000,1.103400E+000,3.134600E+000,-2.000000E-001,3.023300E-001,8.291200E-001
6,09/17/21,2.532100E-002,2.991400E+000,1.103900E+000,1.256700E+000,1.240300E+000,8.868200E-001,3.365000E+000,-1.627200E-001,6.290300E-001,1.017700E-001
6,09/18/21,2.923900E-001,2.214100E+000,1.307000E+000,7.230500E-001,9.161100E-001,7.628100E-001,2.290900E+000,-1.784100E-001,6.923300E-001,8.743700E-001
6,09/19/21,4.024500E-001,7.751100E-001,9.895900E-001,3.804000E-001,7.760800E-001,5.928900E-001,1.674900E+000,-1.966800E-001,1.313200E+000,5.435300E-001
6,09/20/21,-2.000000E-001,1.573700E+000,1.357800E+000,9.660600E-001,1.190100E+000,1.015700E+000,1.671200E+000,-1.343100E-001,5.470900E-001,1.549700E+000
6,09/21/21,1.384200E-001,-6.139600E-002,1.275500E+000,-1.666300E-001,3.549500E-001,2.312500E-001,1.823200E-001,-1.062300E-001,1.407400E+000,2.763300E+000
6,09/22/21,-1.353900E-001,6.776900E-001,1.117100E+000,2.164100E-001,2.339100E-001,9.106200E-001,1.376800E+000,-1.142900E-001,5.914200E-001,2.246700E+000
6,09/23/21,1.162400E-001,1.475500E+000,1.240400E+000,3.605300E-001,1.153800E-001,6.442300E-001,1.058300E+000,-1.486200E-001,1.091300E+000,1.989000E+000
6,09/24/21,-3.980700E-002,2.204300E+000,1.578100E+000,1.064400E+000,8.447500E+000,5.282500E-001,3.095000E+000,-1.019400E-001,5.454900E-001,7.987100E-001
