Mapping of bootstrap factors to base factors

,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0


Bootstrapping and Pulling Results.  Includes adjustment for measurement errors.
There is a block of rows for each species.
Columns are:  Original Factor, m Smallest Bootstraps, m Largest Bootstraps, Each Bootstrap

0.223147E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.120883E+00,0.122063E+00,0.128032E+00,0.135014E+00,0.143807E+00,0.165242E+00,0.223147E-01,0.000000E+00,0.143807E+00,0.892114E-02,0.612796E-01,0.954202E-02,0.285335E-02,0.224633E-01,0.652904E-02,0.182409E-01,0.203125E-01,0.356990E-01,0.414245E-01,0.404469E-01,0.122063E+00,0.000000E+00,0.298631E-01,0.437253E-01,0.120493E-01,0.000000E+00,0.000000E+00,0.221498E-01,0.455613E-01,0.000000E+00,0.235087E-01,0.206066E-01,0.291994E-01,0.128032E+00,0.000000E+00,0.441680E-01,0.249695E-01,0.186053E-01,0.135014E+00,0.120883E+00,0.102010E+00,0.386489E-01,0.000000E+00,0.700825E-01,0.970168E-01,0.143233E-01,0.000000E+00,0.000000E+00,0.101150E-01,0.164329E-01,0.292108E-01,0.238890E-01,0.523288E-01,0.364991E-01,0.165242E+00,0.609503E-03,0.246652E-01,
0.329509E+00,0.209443E-01,0.538423E-01,0.690515E-01,0.130204E+00,0.147671E+00,0.179648E+00,0.329037E+00,0.329509E+00,0.338754E+00,0.356099E+00,0.372943E+00,0.414265E+00,0.329509E+00,0.213356E+00,0.147671E+00,0.222559E+00,0.321385E+00,0.356099E+00,0.251496E+00,0.187588E+00,0.192818E+00,0.274647E+00,0.414265E+00,0.297597E+00,0.265347E+00,0.130204E+00,0.261841E+00,0.372943E+00,0.255043E+00,0.278927E+00,0.236636E+00,0.288425E+00,0.690515E-01,0.246560E+00,0.338754E+00,0.310277E+00,0.299142E+00,0.318759E+00,0.265212E+00,0.225135E+00,0.538423E-01,0.253728E+00,0.209443E-01,0.250642E+00,0.225776E+00,0.236404E+00,0.329037E+00,0.279123E+00,0.291782E+00,0.306482E+00,0.255951E+00,0.300804E+00,0.222598E+00,0.254972E+00,0.249499E+00,0.245865E+00,0.183844E+00,0.291584E+00,0.291478E+00,0.257569E+00,0.276622E+00,0.179648E+00,0.216026E+00,
0.265376E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.744820E-01,0.946989E-01,0.113694E+00,0.124674E+00,0.178218E+00,0.180057E+00,0.265376E-01,0.719655E-02,0.000000E+00,0.124674E+00,0.113694E+00,0.646314E-01,0.789232E-02,0.000000E+00,0.000000E+00,0.237135E-01,0.946989E-01,0.109890E-01,0.223053E-01,0.138753E-02,0.144899E-01,0.214725E-01,0.000000E+00,0.249267E-02,0.000000E+00,0.724768E-01,0.000000E+00,0.267010E-03,0.285559E-01,0.180057E+00,0.126175E-01,0.000000E+00,0.336146E-01,0.464278E-01,0.000000E+00,0.683844E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.259971E-01,0.161899E-01,0.164171E-01,0.486136E-02,0.214681E-01,0.000000E+00,0.149624E-01,0.000000E+00,0.591624E-01,0.000000E+00,0.744820E-01,0.000000E+00,0.466138E-02,0.372062E-01,0.000000E+00,0.184860E-01,0.178218E+00,0.000000E+00,
0.944938E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.242679E-03,0.162116E-02,0.275078E-02,0.767411E-01,0.796942E-01,0.816093E-01,0.904725E-01,0.975689E-01,0.112277E+00,0.944938E-02,0.521972E-01,0.796942E-01,0.420667E-01,0.427345E-01,0.166597E-01,0.390200E-01,0.402299E-01,0.816093E-01,0.271910E-01,0.124574E-01,0.548037E-01,0.767730E-02,0.398367E-01,0.112277E+00,0.470209E-01,0.574212E-01,0.767411E-01,0.484983E-01,0.000000E+00,0.178561E-01,0.275078E-02,0.232835E-01,0.631364E-01,0.268195E-01,0.149777E-01,0.000000E+00,0.598105E-01,0.904725E-01,0.384509E-01,0.536891E-01,0.393043E-01,0.100159E-01,0.972180E-02,0.241476E-01,0.242679E-03,0.349552E-01,0.682640E-01,0.454183E-01,0.164008E-01,0.312347E-01,0.000000E+00,0.975689E-01,0.162116E-02,0.149476E-01,0.266298E-01,0.136225E-01,0.661127E-01,0.151008E-01,0.616004E-01,0.287107E-01,
0.190398E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.299330E-01,0.332382E-01,0.378569E-01,0.569609E-01,0.607532E-01,0.110749E+00,0.190398E-01,0.000000E+00,0.194404E-02,0.111814E-01,0.000000E+00,0.523682E-02,0.518105E-03,0.193864E-01,0.101402E-01,0.390200E-03,0.213489E-01,0.128170E-02,0.606867E-02,0.000000E+00,0.621126E-02,0.677303E-02,0.000000E+00,0.111061E-01,0.147466E-01,0.276983E-02,0.438120E-02,0.378569E-01,0.108377E-01,0.271459E-01,0.111630E-01,0.000000E+00,0.916557E-03,0.000000E+00,0.237829E-03,0.103279E-01,0.772404E-02,0.209663E-01,0.332382E-01,0.175209E-01,0.284360E-01,0.144494E-01,0.105270E-01,0.935463E-02,0.100319E-01,0.277358E-02,0.491771E-02,0.295909E-01,0.105918E-01,0.111695E-01,0.110749E+00,0.569609E-01,0.289599E-01,0.133607E-01,0.299330E-01,0.000000E+00,0.607532E-01,
0.819334E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.172915E+00,0.189400E+00,0.190706E+00,0.191682E+00,0.204473E+00,0.319535E+00,0.819334E-01,0.191682E+00,0.636367E-01,0.131860E-02,0.000000E+00,0.000000E+00,0.103703E+00,0.101834E+00,0.190706E+00,0.189400E+00,0.126174E-01,0.000000E+00,0.109774E+00,0.204473E+00,0.488535E-04,0.871989E-02,0.105248E+00,0.000000E+00,0.496498E-01,0.000000E+00,0.319535E+00,0.104222E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.401072E-01,0.000000E+00,0.000000E+00,0.162619E+00,0.000000E+00,0.162579E+00,0.172915E+00,0.232133E-01,0.104552E-01,0.000000E+00,0.705317E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.215577E-01,0.389516E-02,0.140191E+00,0.000000E+00,0.133323E+00,0.170559E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.617927E-01,0.845704E-01,
0.194663E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.106117E+00,0.108223E+00,0.108937E+00,0.122140E+00,0.156650E+00,0.160137E+00,0.194663E-01,0.000000E+00,0.000000E+00,0.603543E-01,0.148207E-01,0.106117E+00,0.108937E+00,0.988070E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.660807E-01,0.980015E-01,0.122140E+00,0.000000E+00,0.607579E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.160137E+00,0.592968E-01,0.780709E-01,0.000000E+00,0.000000E+00,0.402788E-01,0.712662E-01,0.719641E-01,0.000000E+00,0.105240E-01,0.556390E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.143238E-01,0.265905E-02,0.318385E-01,0.156650E+00,0.263524E-01,0.589291E-01,0.955041E-01,0.235341E-01,0.108223E+00,0.371175E-01,0.276858E-01,0.359621E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.491860E-02,0.944283E-02,0.450918E-01,
0.485388E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.127443E+00,0.151552E+00,0.165867E+00,0.208368E+00,0.215390E+00,0.271696E+00,0.485388E-01,0.283645E-01,0.247998E-01,0.470910E-01,0.000000E+00,0.000000E+00,0.415941E-01,0.284517E-01,0.113967E-01,0.348181E-01,0.000000E+00,0.364854E-01,0.206667E-02,0.226910E-01,0.133267E-01,0.368761E-01,0.399041E-01,0.749354E-01,0.215390E+00,0.000000E+00,0.165867E+00,0.240052E-01,0.767125E-01,0.000000E+00,0.112560E+00,0.229689E-01,0.127443E+00,0.378423E-01,0.151552E+00,0.677367E-01,0.271696E+00,0.213723E-01,0.627045E-01,0.594462E-01,0.116388E-01,0.510878E-01,0.131879E-01,0.570173E-01,0.264537E-01,0.218645E-01,0.208368E+00,0.409249E-01,0.145976E-01,0.118682E+00,0.104493E+00,0.952008E-01,0.786997E-01,0.119088E+00,0.000000E+00,0.000000E+00,0.537459E-01,

0.182207E-02,0.108238E-02,0.117516E-02,0.179763E-02,0.182207E-02,0.250078E-02,0.259192E-02,0.112852E-01,0.113743E-01,0.117611E-01,0.121320E-01,0.155781E-01,0.200885E-01,0.182207E-02,0.121320E-01,0.513467E-02,0.360268E-02,0.856962E-02,0.983467E-02,0.325395E-02,0.417543E-02,0.108238E-02,0.200885E-01,0.316241E-02,0.475825E-02,0.117516E-02,0.439551E-02,0.980842E-02,0.468825E-02,0.112852E-01,0.849156E-02,0.451765E-02,0.384939E-02,0.117611E-01,0.454655E-02,0.714946E-02,0.523117E-02,0.763611E-02,0.155781E-01,0.985985E-02,0.467554E-02,0.356994E-02,0.250078E-02,0.718436E-02,0.179763E-02,0.447215E-02,0.523348E-02,0.748051E-02,0.959505E-02,0.716268E-02,0.515057E-02,0.113743E-01,0.107765E-01,0.375133E-02,0.941545E-02,0.259192E-02,0.758629E-02,0.498957E-02,0.758446E-02,0.708621E-02,0.696752E-02,0.717873E-02,0.746688E-02,0.921795E-02,
0.919680E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.128323E-02,0.258987E-01,0.286619E-01,0.309055E-01,0.315542E-01,0.327819E-01,0.361341E-01,0.919680E-02,0.128323E-02,0.315542E-01,0.459819E-02,0.208395E-01,0.535655E-02,0.522935E-02,0.794611E-02,0.634130E-02,0.539548E-02,0.608453E-02,0.802644E-02,0.901235E-02,0.101163E-01,0.258987E-01,0.000000E+00,0.336510E-02,0.128692E-01,0.714865E-02,0.255784E-02,0.000000E+00,0.758632E-02,0.165051E-01,0.000000E+00,0.869853E-02,0.688111E-02,0.895861E-02,0.286619E-01,0.000000E+00,0.867699E-02,0.889997E-02,0.870664E-02,0.327819E-01,0.309055E-01,0.252735E-01,0.783079E-02,0.349586E-02,0.961790E-02,0.255856E-01,0.852164E-02,0.000000E+00,0.389686E-02,0.190406E-02,0.594563E-02,0.831047E-02,0.116931E-01,0.172674E-01,0.134546E-01,0.361341E-01,0.451893E-02,0.120108E-01,
0.604302E-01,0.560302E-02,0.104725E-01,0.142499E-01,0.279968E-01,0.318400E-01,0.322149E-01,0.596443E-01,0.600361E-01,0.604302E-01,0.625186E-01,0.712655E-01,0.782197E-01,0.604302E-01,0.413482E-01,0.374104E-01,0.413890E-01,0.543520E-01,0.600361E-01,0.472203E-01,0.425960E-01,0.404944E-01,0.505161E-01,0.712655E-01,0.510996E-01,0.469984E-01,0.279968E-01,0.467273E-01,0.782197E-01,0.506446E-01,0.524600E-01,0.404919E-01,0.507868E-01,0.142499E-01,0.499590E-01,0.596443E-01,0.557380E-01,0.625186E-01,0.534132E-01,0.537758E-01,0.392884E-01,0.104725E-01,0.484953E-01,0.560302E-02,0.478555E-01,0.435097E-01,0.441700E-01,0.586991E-01,0.553349E-01,0.517432E-01,0.562573E-01,0.454012E-01,0.528597E-01,0.422928E-01,0.458066E-01,0.521128E-01,0.453555E-01,0.318400E-01,0.541883E-01,0.536564E-01,0.480819E-01,0.491572E-01,0.322149E-01,0.406138E-01,
0.606313E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.187915E-01,0.203352E-01,0.227107E-01,0.272304E-01,0.334558E-01,0.425954E-01,0.606313E-02,0.388421E-02,0.152251E-02,0.272304E-01,0.203352E-01,0.125617E-01,0.335424E-02,0.643057E-02,0.199533E-02,0.551185E-02,0.227107E-01,0.433425E-02,0.787833E-02,0.151310E-02,0.000000E+00,0.303986E-02,0.463366E-02,0.836270E-03,0.000000E+00,0.164210E-01,0.000000E+00,0.373545E-02,0.657797E-02,0.425954E-01,0.350678E-02,0.201753E-02,0.810297E-02,0.141067E-01,0.000000E+00,0.127106E-01,0.000000E+00,0.377424E-03,0.262328E-03,0.405708E-02,0.340087E-02,0.348400E-02,0.246928E-02,0.681220E-02,0.000000E+00,0.577286E-02,0.954377E-03,0.140603E-01,0.240457E-02,0.187915E-01,0.000000E+00,0.261524E-02,0.325150E-02,0.000000E+00,0.457265E-02,0.334558E-01,0.000000E+00,
0.106805E-01,0.239632E-02,0.492031E-02,0.509514E-02,0.520480E-02,0.548347E-02,0.608526E-02,0.219919E-01,0.236990E-01,0.254402E-01,0.255471E-01,0.257156E-01,0.260186E-01,0.106805E-01,0.151737E-01,0.218823E-01,0.162455E-01,0.145659E-01,0.131661E-01,0.124746E-01,0.147316E-01,0.257156E-01,0.112889E-01,0.973220E-02,0.161408E-01,0.756074E-02,0.132698E-01,0.255471E-01,0.176519E-01,0.190462E-01,0.254402E-01,0.188594E-01,0.492031E-02,0.844471E-02,0.608526E-02,0.105617E-01,0.180480E-01,0.509514E-02,0.718003E-02,0.239632E-02,0.183165E-01,0.260186E-01,0.169117E-01,0.209607E-01,0.154236E-01,0.831229E-02,0.548347E-02,0.127229E-01,0.611799E-02,0.141050E-01,0.164465E-01,0.170781E-01,0.828848E-02,0.109027E-01,0.868296E-02,0.219919E-01,0.520480E-02,0.100875E-01,0.139788E-01,0.787549E-02,0.236990E-01,0.889148E-02,0.214801E-01,0.127784E-01,
0.469196E-02,0.000000E+00,0.000000E+00,0.461404E-03,0.168937E-02,0.204870E-02,0.213820E-02,0.934598E-02,0.938474E-02,0.101654E-01,0.110475E-01,0.247552E-01,0.327800E-01,0.469196E-02,0.168937E-02,0.232153E-02,0.389159E-02,0.415001E-02,0.339648E-02,0.226750E-02,0.435200E-02,0.369955E-02,0.204870E-02,0.783558E-02,0.277284E-02,0.295613E-02,0.263355E-02,0.247552E-01,0.213820E-02,0.799299E-02,0.354382E-02,0.485777E-02,0.371560E-02,0.285914E-02,0.101654E-01,0.437018E-02,0.938474E-02,0.659753E-02,0.000000E+00,0.358969E-02,0.000000E+00,0.346016E-02,0.349185E-02,0.329910E-02,0.450588E-02,0.918860E-02,0.627001E-02,0.934598E-02,0.599354E-02,0.329074E-02,0.541788E-02,0.469351E-02,0.247623E-02,0.318295E-02,0.806373E-02,0.620362E-02,0.297876E-02,0.327800E-01,0.872833E-02,0.567702E-02,0.335452E-02,0.803707E-02,0.461404E-03,0.110475E-01,
0.141054E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.336089E-01,0.340172E-01,0.376362E-01,0.380259E-01,0.466891E-01,0.547828E-01,0.141054E-01,0.336089E-01,0.114469E-01,0.105194E-03,0.161168E-02,0.120350E-02,0.184367E-01,0.162793E-01,0.340172E-01,0.466891E-01,0.297808E-02,0.179379E-02,0.196721E-01,0.380259E-01,0.000000E+00,0.000000E+00,0.130989E-01,0.230711E-03,0.103874E-01,0.000000E+00,0.547828E-01,0.168613E-01,0.406572E-03,0.108283E-02,0.418324E-02,0.104617E-01,0.000000E+00,0.000000E+00,0.315415E-01,0.000000E+00,0.376362E-01,0.308039E-01,0.665075E-02,0.487261E-02,0.979784E-03,0.109291E-01,0.136781E-02,0.221012E-02,0.000000E+00,0.342935E-02,0.720211E-02,0.182184E-02,0.253388E-01,0.000000E+00,0.255018E-01,0.209981E-02,0.536350E-02,0.000000E+00,0.000000E+00,0.119183E-01,0.149213E-01,
0.574192E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.233655E-01,0.234663E-01,0.242055E-01,0.286695E-01,0.313807E-01,0.347605E-01,0.574192E-02,0.293113E-02,0.571548E-03,0.136332E-01,0.164945E-02,0.242055E-01,0.233655E-01,0.136011E-01,0.000000E+00,0.000000E+00,0.379316E-02,0.174348E-01,0.234663E-01,0.286695E-01,0.712071E-02,0.176286E-01,0.561630E-02,0.000000E+00,0.117039E-02,0.313807E-01,0.177593E-01,0.164394E-01,0.174081E-02,0.000000E+00,0.367326E-02,0.191230E-01,0.183036E-01,0.421413E-02,0.934747E-02,0.159801E-01,0.000000E+00,0.338839E-02,0.000000E+00,0.563486E-02,0.421770E-02,0.102841E-01,0.347605E-01,0.118661E-01,0.121417E-01,0.189239E-01,0.705638E-02,0.185462E-01,0.907903E-02,0.884037E-02,0.594611E-02,0.000000E+00,0.312631E-02,0.000000E+00,0.512865E-02,0.571983E-02,0.710035E-02,
0.935727E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.654605E-04,0.912789E-03,0.234474E-01,0.280475E-01,0.375869E-01,0.409607E-01,0.413829E-01,0.469896E-01,0.935727E-02,0.459683E-02,0.289448E-02,0.826384E-02,0.000000E+00,0.000000E+00,0.732075E-02,0.572704E-02,0.185925E-02,0.132801E-01,0.654605E-04,0.619824E-02,0.172488E-02,0.253984E-02,0.249167E-02,0.873849E-02,0.677410E-02,0.152479E-01,0.409607E-01,0.260346E-02,0.375869E-01,0.317941E-02,0.135728E-01,0.000000E+00,0.186850E-01,0.694106E-02,0.231236E-01,0.699762E-02,0.280475E-01,0.118947E-01,0.469896E-01,0.365891E-02,0.987848E-02,0.926539E-02,0.160820E-02,0.104727E-01,0.388250E-02,0.100143E-01,0.600012E-02,0.477605E-02,0.413829E-01,0.941192E-02,0.208726E-02,0.234474E-01,0.177897E-01,0.177482E-01,0.134279E-01,0.225756E-01,0.912789E-03,0.000000E+00,0.102031E-01,

0.388010E-02,0.000000E+00,0.000000E+00,0.121646E-02,0.327452E-02,0.388010E-02,0.455402E-02,0.262938E-01,0.266184E-01,0.269239E-01,0.290721E-01,0.313197E-01,0.366261E-01,0.388010E-02,0.196939E-01,0.128671E-01,0.112976E-01,0.195002E-01,0.198628E-01,0.102059E-01,0.153842E-01,0.121646E-02,0.366261E-01,0.535066E-02,0.125821E-01,0.000000E+00,0.127887E-01,0.222830E-01,0.550061E-02,0.130296E-01,0.188108E-01,0.818612E-02,0.708626E-02,0.290721E-01,0.136458E-01,0.202519E-01,0.109770E-01,0.145693E-01,0.262938E-01,0.171347E-01,0.119844E-01,0.816062E-02,0.327452E-02,0.135514E-01,0.455402E-02,0.906861E-02,0.149997E-01,0.192583E-01,0.226772E-01,0.237021E-01,0.105897E-01,0.266184E-01,0.313197E-01,0.894074E-02,0.236444E-01,0.000000E+00,0.194212E-01,0.998748E-02,0.176610E-01,0.213907E-01,0.150414E-01,0.196890E-01,0.196436E-01,0.269239E-01,
0.505331E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.522349E-01,0.522587E-01,0.526460E-01,0.565719E-01,0.623989E-01,0.630187E-01,0.505331E-02,0.000000E+00,0.623989E-01,0.227445E-02,0.218740E-01,0.594158E-02,0.000000E+00,0.125717E-01,0.544258E-02,0.639928E-02,0.867847E-02,0.147291E-01,0.192956E-01,0.147651E-01,0.526460E-01,0.172492E-01,0.134578E-01,0.207875E-01,0.491698E-02,0.420766E-03,0.000000E+00,0.923057E-02,0.186580E-01,0.000000E+00,0.896256E-02,0.103483E-01,0.116247E-01,0.522349E-01,0.000000E+00,0.230047E-01,0.104474E-01,0.000000E+00,0.565719E-01,0.522587E-01,0.306982E-01,0.206476E-01,0.000000E+00,0.310897E-01,0.405153E-01,0.356885E-02,0.000000E+00,0.165727E-02,0.000000E+00,0.719188E-02,0.122421E-01,0.858686E-02,0.207096E-01,0.148669E-01,0.630187E-01,0.000000E+00,0.953029E-02,
0.152505E+00,0.104356E-01,0.256400E-01,0.325211E-01,0.533172E-01,0.618701E-01,0.801831E-01,0.154127E+00,0.156931E+00,0.157821E+00,0.161651E+00,0.185413E+00,0.205433E+00,0.152505E+00,0.945967E-01,0.618701E-01,0.103541E+00,0.147759E+00,0.161651E+00,0.121570E+00,0.822095E-01,0.801831E-01,0.126664E+00,0.205433E+00,0.136451E+00,0.128427E+00,0.533172E-01,0.123754E+00,0.185413E+00,0.101284E+00,0.136681E+00,0.109162E+00,0.145240E+00,0.325211E-01,0.110263E+00,0.156931E+00,0.152745E+00,0.126165E+00,0.154127E+00,0.120999E+00,0.107508E+00,0.256400E-01,0.121719E+00,0.104356E-01,0.103556E+00,0.980663E-01,0.115033E+00,0.157821E+00,0.119608E+00,0.136989E+00,0.141597E+00,0.108907E+00,0.135665E+00,0.104588E+00,0.124263E+00,0.135194E+00,0.115727E+00,0.830701E-01,0.136521E+00,0.126854E+00,0.119248E+00,0.125862E+00,0.802914E-01,0.981366E-01,
0.160077E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.337427E-01,0.402948E-01,0.439157E-01,0.568890E-01,0.797899E-01,0.862511E-01,0.160077E-01,0.571712E-02,0.833901E-03,0.568890E-01,0.439157E-01,0.256749E-01,0.663967E-02,0.000000E+00,0.101859E-02,0.128071E-01,0.402948E-01,0.752664E-02,0.931624E-02,0.464792E-02,0.836717E-02,0.000000E+00,0.000000E+00,0.337367E-02,0.345216E-02,0.337427E-01,0.115221E-02,0.000000E+00,0.160438E-01,0.797899E-01,0.735912E-02,0.000000E+00,0.173118E-01,0.210527E-01,0.000000E+00,0.319984E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.175818E-01,0.356446E-02,0.883757E-02,0.263615E-02,0.908985E-02,0.739576E-03,0.889941E-02,0.577122E-02,0.277646E-01,0.358238E-02,0.322823E-01,0.000000E+00,0.134848E-02,0.205368E-01,0.511551E-02,0.730243E-02,0.862511E-01,0.151624E-02,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.295629E-01,0.315388E-01,0.348740E-01,0.356341E-01,0.371552E-01,0.392621E-01,0.000000E+00,0.221220E-01,0.348740E-01,0.151897E-01,0.162270E-01,0.000000E+00,0.152634E-01,0.150456E-01,0.295629E-01,0.110904E-01,0.572621E-02,0.247118E-01,0.651574E-02,0.151690E-01,0.371552E-01,0.203655E-01,0.234885E-01,0.289866E-01,0.171877E-01,0.000000E+00,0.589924E-02,0.000000E+00,0.885911E-02,0.263166E-01,0.116421E-01,0.700889E-02,0.000000E+00,0.214932E-01,0.356341E-01,0.147949E-01,0.185686E-01,0.152955E-01,0.439135E-02,0.350249E-02,0.153647E-01,0.000000E+00,0.151206E-01,0.392621E-01,0.183584E-01,0.625461E-02,0.116019E-01,0.000000E+00,0.315388E-01,0.000000E+00,0.000000E+00,0.106716E-01,0.576070E-02,0.242706E-01,0.707198E-02,0.209703E-01,0.109227E-01,
0.913832E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.139664E-01,0.170696E-01,0.247675E-01,0.272732E-01,0.301893E-01,0.488070E-01,0.913832E-02,0.000000E+00,0.544963E-03,0.682548E-02,0.301893E-01,0.312623E-02,0.000000E+00,0.822004E-02,0.502428E-02,0.000000E+00,0.917386E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.249430E-02,0.319603E-02,0.467079E-02,0.646256E-02,0.731133E-03,0.235431E-02,0.170696E-01,0.396102E-02,0.118857E-01,0.445062E-02,0.422792E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.582466E-02,0.206598E-02,0.836522E-02,0.139664E-01,0.671372E-02,0.113165E-01,0.583570E-02,0.558788E-02,0.480166E-02,0.403130E-02,0.112987E-02,0.191684E-02,0.137253E-01,0.424612E-02,0.458291E-02,0.488070E-01,0.272732E-01,0.117023E-01,0.672472E-02,0.105201E-01,0.402215E-02,0.247675E-01,
0.411252E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.864200E-01,0.903307E-01,0.907297E-01,0.918877E-01,0.985971E-01,0.157447E+00,0.411252E-01,0.903307E-01,0.332628E-01,0.000000E+00,0.000000E+00,0.509970E-02,0.496605E-01,0.464952E-01,0.907297E-01,0.864200E-01,0.000000E+00,0.000000E+00,0.520266E-01,0.985971E-01,0.000000E+00,0.000000E+00,0.570768E-01,0.000000E+00,0.253614E-01,0.000000E+00,0.157447E+00,0.543483E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.231972E-01,0.000000E+00,0.000000E+00,0.811913E-01,0.000000E+00,0.918877E-01,0.781956E-01,0.156687E-01,0.379084E-05,0.000000E+00,0.368067E-01,0.000000E+00,0.000000E+00,0.640859E-03,0.542338E-03,0.104520E-01,0.000000E+00,0.705463E-01,0.439545E-02,0.718129E-01,0.000000E+00,0.225669E-02,0.000000E+00,0.000000E+00,0.317249E-01,0.417311E-01,
0.135654E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.521834E-01,0.537895E-01,0.565490E-01,0.567250E-01,0.707085E-01,0.785158E-01,0.135654E-01,0.783441E-03,0.000000E+00,0.355700E-01,0.171269E-01,0.567250E-01,0.477398E-01,0.521834E-01,0.000000E+00,0.139690E-02,0.178333E-01,0.306055E-01,0.537895E-01,0.565490E-01,0.000000E+00,0.221286E-01,0.000000E+00,0.208726E-02,0.256551E-02,0.785158E-01,0.249441E-01,0.354308E-01,0.310800E-02,0.000000E+00,0.328388E-01,0.303494E-01,0.317785E-01,0.000000E+00,0.541947E-02,0.232655E-01,0.000000E+00,0.119618E-01,0.000000E+00,0.462733E-02,0.232383E-01,0.130782E-01,0.707085E-01,0.138446E-01,0.314003E-01,0.429439E-01,0.896968E-02,0.481120E-01,0.217853E-01,0.125900E-01,0.204176E-02,0.250436E-02,0.394127E-02,0.000000E+00,0.106665E-01,0.818825E-02,0.259238E-01,
0.302773E-01,0.000000E+00,0.372717E-02,0.507198E-02,0.517445E-02,0.625539E-02,0.662194E-02,0.733498E-01,0.734336E-01,0.746123E-01,0.915776E-01,0.102104E+00,0.144977E+00,0.302773E-01,0.176139E-01,0.201962E-01,0.300613E-01,0.372717E-02,0.939784E-02,0.215920E-01,0.159197E-01,0.101575E-01,0.383543E-01,0.625539E-02,0.269020E-01,0.507198E-02,0.139003E-01,0.155898E-01,0.342360E-01,0.307127E-01,0.468922E-01,0.915776E-01,0.812658E-02,0.733498E-01,0.160316E-01,0.419738E-01,0.517445E-02,0.540269E-01,0.208636E-01,0.734336E-01,0.345563E-01,0.746123E-01,0.342167E-01,0.144977E+00,0.188105E-01,0.396809E-01,0.331422E-01,0.116817E-01,0.265576E-01,0.138196E-01,0.339434E-01,0.238847E-01,0.261085E-01,0.102104E+00,0.267382E-01,0.662194E-02,0.591962E-01,0.661565E-01,0.618603E-01,0.427213E-01,0.653623E-01,0.114656E-01,0.000000E+00,0.262354E-01,

