
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/11/21,5.215600E-001,-2.000000E-001,-2.000000E-001,1.216200E+000,2.207800E+000,3.313900E-001,2.485600E+000,5.214000E-001,6.069600E-001,1.283800E+000
11,09/12/21,-1.689400E-001,-1.064500E-001,7.431700E-002,1.404900E+000,1.059800E+000,-4.512600E-002,2.779900E+000,-1.577700E-001,3.186200E-001,3.467400E-001
11,09/13/21,1.191800E-001,2.749800E-001,8.042300E-002,8.634800E-001,1.519800E+000,2.507100E+000,2.284800E+000,-2.000000E-001,6.819600E-001,8.608500E-001
11,09/14/21,1.188800E+000,7.664000E-001,5.155800E-002,8.312700E-001,1.099200E+000,6.059400E+000,1.272400E+000,-1.630800E-001,3.461400E-001,2.164500E+000
11,09/15/21,2.095300E+000,1.093300E+000,-9.624800E-002,4.396200E-001,1.671900E+000,3.811500E+000,1.000400E+000,1.715000E-001,1.104100E+000,2.082600E+000
11,09/16/21,2.206900E+000,1.468400E+000,-1.537700E-001,3.385600E-001,1.923100E+000,3.027800E+000,8.067100E-001,2.829600E-001,1.337000E+000,3.073700E+000
11,09/17/21,2.618600E+000,1.285900E+000,-7.245200E-002,4.691200E-001,1.095900E+000,1.346400E+000,2.543500E-001,9.922500E-002,1.164200E+000,3.306600E+000
11,09/18/21,1.873600E+000,7.423800E-001,-1.471000E-001,7.945500E-001,1.304400E+000,9.913100E-001,9.475800E-001,3.207300E-001,8.951200E-001,2.238600E+000
11,09/19/21,5.256300E-001,4.135700E-001,-1.734400E-001,1.314800E+000,1.035700E+000,8.282300E-001,5.612700E-001,4.087900E-001,6.733200E-001,1.737700E+000
11,09/20/21,1.584400E+000,9.904300E-001,4.086000E-002,6.947000E-001,1.364200E+000,1.201000E+000,1.647200E+000,-1.580300E-001,9.754200E-001,1.720600E+000
11,09/21/21,-1.396000E-001,-5.163100E-002,-3.086700E-002,1.430400E+000,1.300500E+000,3.550500E-001,2.370800E+000,9.014500E-002,1.582500E-001,2.286300E-001
11,09/22/21,5.743400E-001,1.719400E-001,7.024500E-002,9.285800E-001,1.137700E+000,2.201700E-001,2.260700E+000,-1.642500E-001,8.427000E-001,1.481600E+000
11,09/23/21,1.234800E+000,4.269100E-001,-4.665600E-002,1.148400E+000,1.245100E+000,1.681400E-001,1.981200E+000,9.854900E-002,6.609400E-001,9.643300E-001
11,09/24/21,1.885600E+000,1.124900E+000,-4.611600E-002,5.958400E-002,1.483100E+000,8.379800E+000,1.631300E-002,4.385100E-002,1.007200E+000,3.171000E+000
11,09/25/21,-5.432900E-002,2.562800E-002,2.567700E-002,-2.000000E-001,3.687600E-002,-4.387700E-002,1.067100E+000,-4.768800E-002,-4.942200E-002,5.695000E-003
11,09/26/21,-3.365200E-002,1.837400E-002,1.950100E-002,-1.205600E-001,3.614600E-002,-3.140100E-002,7.525000E-001,-3.231200E-002,-2.966700E-002,-9.542900E-004
11,09/27/21,9.550200E-001,8.716300E-001,-2.000000E-001,1.516600E+000,6.438900E-003,-8.050300E-002,4.869400E-001,4.506500E-001,3.941900E-001,2.178300E+000
11,09/28/21,1.281100E+000,2.298100E-001,7.289500E-003,1.361400E+000,-3.363800E-003,-7.027300E-002,3.577900E-001,-2.134200E-002,1.869300E-001,1.954100E+000
11,09/29/21,7.835200E-001,-7.373100E-002,1.662700E-002,1.721400E+000,-9.863100E-003,1.989300E+000,2.686000E-001,-1.831900E-002,3.033000E-001,1.347100E+000
11,09/30/21,-1.235400E-001,4.903900E-002,4.344900E-002,1.281200E+000,1.067800E+000,3.154800E+000,9.253700E-001,-9.410400E-002,-1.502400E-001,1.654800E-001
11,10/01/21,2.644200E-001,-8.965100E-002,4.025100E-002,1.718100E+000,9.657200E-001,3.999500E-001,1.092100E+000,-7.438800E-002,2.340900E-001,2.229900E-001
11,10/02/21,-3.285400E-002,-5.501300E-002,4.558300E-002,1.734700E+000,7.086800E-001,2.219700E-001,1.646100E+000,-9.153900E-002,1.435300E-001,5.320900E-002
11,10/03/21,-4.213500E-002,-2.970400E-002,5.738600E-002,1.509500E+000,9.875000E-001,4.732700E-001,2.157600E+000,-1.215600E-001,8.924000E-002,6.744700E-001
11,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,10/05/21,7.999500E-002,1.189000E+000,1.500000E+000,2.939600E+000,-9.031400E-002,4.401700E-001,2.286500E-001,-2.739900E-003,-2.000000E-001,9.040200E-002
11,10/06/21,4.544700E-001,7.468600E+000,3.705100E+000,-1.999900E-001,3.927700E-001,-7.394400E-002,-3.740600E-002,1.155100E+001,5.181800E-001,4.095500E-001
11,10/07/21,-1.562700E-001,2.445100E+000,2.115300E+000,2.222900E+000,-1.342700E-001,-4.574900E-002,1.399500E-002,6.511400E+000,7.910100E-002,-5.182400E-003
11,10/08/21,1.879700E-002,1.239800E-002,7.358400E-003,2.233600E-001,3.301700E-002,-1.480800E-002,2.073300E-001,-4.317600E-003,-1.647500E-002,-6.437400E-004
11,10/09/21,-1.478300E-001,5.546600E+000,2.781000E+000,1.394400E+000,-2.000000E-001,-2.000000E-001,-2.000000E-001,7.965900E+000,2.849500E-001,1.351100E-001
11,10/10/21,-2.000000E-001,1.952500E+000,2.886000E+000,9.553400E-001,2.333300E-001,4.852300E-001,1.310100E-002,7.666600E+000,-5.294900E-003,1.586400E+000
11,10/11/21,-2.000000E-001,2.748400E+000,2.758400E+000,3.126900E+000,-1.745400E-001,-1.393000E-001,-6.528500E-002,3.153100E+000,-2.000000E-001,9.408900E-002
11,10/12/21,2.145400E-001,1.134600E+000,-2.375600E-002,3.580200E+000,2.032100E-001,-5.759700E-002,3.960100E-001,-5.129600E-003,-1.689400E-001,-1.837200E-001
11,10/13/21,3.423100E-001,1.701200E+000,3.782700E+000,2.166700E+000,-4.360100E-002,-1.842800E-001,-2.000000E-001,2.644200E-002,-8.042200E-002,4.568400E-001
11,10/14/21,5.870800E-002,3.721200E+000,2.746100E+000,1.385200E+000,1.096800E-002,-1.473000E-001,4.343600E-003,6.543300E+000,1.859300E-001,-2.000000E-001
11,10/15/21,5.373000E-001,6.816200E-002,1.981800E-002,8.135100E-001,1.618700E-002,-6.869700E-002,1.043700E+000,-3.567900E-002,-2.000000E-001,6.156600E-002
11,10/16/21,-3.730000E-002,1.903600E-002,2.032800E-002,-1.371300E-001,3.630600E-002,-3.285300E-002,7.930700E-001,-3.434800E-002,-3.128500E-002,-5.991300E-004
11,10/17/21,-2.000000E-001,8.394800E-001,3.953500E+000,5.906700E-002,-2.000000E-001,-1.813200E-001,2.619300E-001,4.370100E+000,-1.104600E-002,3.139600E-001
11,10/18/21,1.392200E-002,1.630900E-002,9.549200E-003,2.844800E-001,3.254800E-002,-2.111400E-002,3.129500E-001,-9.331500E-003,-2.726700E-002,4.033100E-003
11,10/19/21,-2.000000E-001,1.477500E+000,2.437800E+000,7.652500E-001,-1.330800E-001,-1.387600E-001,-1.128000E-001,8.416000E+000,-2.708200E-002,-2.000000E-001
11,10/20/21,5.875900E-001,1.731300E+000,3.051900E+000,3.805700E-001,-1.821100E-001,-1.675500E-001,-4.588000E-002,7.702300E+000,-1.344900E-001,9.917500E-001
11,10/21/21,3.147200E-001,1.270800E+000,3.443600E+000,1.165000E-001,3.343600E-002,-1.754200E-001,2.647200E-001,4.984200E+000,-1.468900E-001,6.958800E-001
11,10/22/21,7.704200E-001,2.640800E+000,3.879400E+000,-2.000000E-001,8.592700E-001,-1.947000E-001,-2.000000E-001,9.296100E+000,-1.140800E-001,9.544900E-001
11,10/23/21,8.624900E-003,3.032400E-002,9.296200E-003,2.124000E-001,4.700300E-001,-2.282500E-002,3.488700E-001,-1.346300E-002,-3.988800E-002,-8.229500E-002
11,10/24/21,-2.000000E-001,-2.000000E-001,3.095900E+000,1.184000E+000,-1.517000E-001,-1.513600E-001,-2.000000E-001,6.239600E+000,-3.997000E-002,5.712500E-001
11,10/25/21,1.720300E-004,1.246600E-002,1.103500E-002,8.689800E-002,3.428600E-002,-1.844700E-002,3.595100E-001,-1.242700E-002,-1.519500E-002,-3.484200E-003
11,10/26/21,-1.794300E-001,6.854300E-001,1.512600E+000,1.840300E+000,-8.517400E-002,1.187700E+000,-1.879300E-001,4.681900E+000,-2.000000E-001,7.995900E-002
11,10/27/21,3.397200E-001,-1.376000E-001,3.822000E+000,2.081900E+000,1.864600E-001,-2.000000E-001,1.200900E-001,1.311900E-002,-2.000000E-001,3.717900E-001
11,10/28/21,3.172300E-001,8.615700E-001,3.702800E+000,1.315200E+000,-2.000000E-001,-1.997900E-001,5.861700E-001,-1.336900E-002,-1.454700E-001,-2.000000E-001
11,10/29/21,4.787700E-001,6.886800E-001,5.216800E+000,1.011000E+000,1.203400E-001,1.186600E-001,1.148100E-002,7.940500E-003,-9.473400E-002,5.879500E-001
11,10/30/21,-3.482600E-002,1.878400E-002,1.985700E-002,-1.261700E-001,3.619500E-002,-3.207500E-002,7.701500E-001,-3.317900E-002,-3.076200E-002,-5.916900E-004
11,10/31/21,1.916000E+000,2.867100E+000,2.705200E+000,4.097300E-001,-2.000000E-001,-1.584100E-001,-2.000000E-001,6.695800E+000,-5.333400E-002,9.983200E-001
