
Factor Contributions (avg = 1) from Base Run #8 (Convergent Run)

,,Anthoropogenic,Biogenic,winter blend gasoline,dichlorobenzene,VCP (EtOH),BTEX,CFCs + aldehydes,MeOH,VCP (Siloxane)
8,10/12/21,-9.825100E-002,3.181300E-001,6.528300E-001,-1.089100E-001,6.407300E-002,1.286700E-001,3.828500E+000,-1.619900E-001,-2.000000E-001
8,10/13/21,-2.000000E-001,3.570500E-001,1.634600E+000,-7.974100E-002,2.301700E-002,4.681600E-001,3.550400E+000,-1.927900E-001,3.758400E-001
8,10/14/21,-1.149200E-001,8.893700E-002,3.443800E+000,4.479500E+000,-5.087500E-003,3.221800E-001,3.242800E+000,-1.810900E-001,-2.000000E-001
8,10/15/21,-2.000000E-001,1.293400E+000,-3.231400E-002,1.385600E-003,-1.182200E-001,8.244700E-001,8.670500E-001,-8.856500E-002,7.723800E-002
8,10/16/21,-2.823900E-002,8.879900E-001,1.916800E-002,6.919600E-003,-1.765400E-002,1.761700E-002,-1.061100E-001,-7.661500E-003,-5.378200E-003
8,10/17/21,-4.853000E-002,9.985900E-001,8.348400E-001,5.278300E+000,-1.600300E-001,-2.000000E-001,1.310700E+000,-1.154500E-001,-1.258500E-001
8,10/18/21,-1.296300E-001,4.494800E-001,1.693100E-004,6.907300E-003,-1.571200E-002,2.126200E-001,3.522300E-001,-3.009300E-002,5.613600E-002
8,10/19/21,-5.150100E-002,7.595300E-002,1.228100E+000,6.325700E+000,-1.517300E-001,2.205000E-001,1.752500E+000,-1.471400E-001,-1.803300E-001
8,10/20/21,-6.243400E-002,1.001100E-001,1.730300E+000,7.788600E+000,-1.881300E-001,6.709100E-001,1.558500E+000,-1.621500E-001,7.640500E-002
8,10/21/21,-1.215300E-001,6.067500E-001,1.261300E+000,5.053200E+000,6.788900E-002,5.278400E-001,1.470600E+000,-1.446800E-001,8.877300E-002
8,10/22/21,-9.621400E-002,-2.000000E-001,2.580100E+000,1.059500E+001,9.575700E-001,6.886100E-001,1.433400E+000,-1.965600E-001,-2.000000E-001
8,10/23/21,-1.905100E-001,4.864300E-001,2.070000E-002,4.824200E-003,4.397000E-001,2.729700E-001,3.377700E-001,-4.125600E-002,-3.204500E-002
8,10/24/21,-7.380200E-002,3.236300E-001,-2.000000E-001,5.331800E+000,-1.476200E-001,8.662100E-002,1.970200E+000,-1.474600E-001,8.448500E-001
8,10/25/21,-1.564700E-001,5.354200E-001,1.366500E-002,1.211400E-002,-1.759700E-002,2.519300E-001,2.239500E-001,-2.517400E-002,5.856300E-002
8,10/26/21,-2.000000E-001,3.021400E-001,4.518300E-001,3.284000E+000,-1.490600E-001,8.631900E-002,2.435500E+000,1.142000E+000,2.690200E-001
8,10/27/21,-2.000000E-001,9.317600E-001,-2.000000E-001,-8.993000E-003,2.548200E-001,6.783900E-001,2.941400E+000,-2.000000E-001,4.644200E-001
8,10/28/21,-2.000000E-001,1.318200E+000,8.104700E-001,-5.631000E-002,-2.000000E-001,6.055900E-001,2.855800E+000,-1.880000E-001,-2.000000E-001
8,10/29/21,-7.343000E-002,9.601600E-001,1.129100E+000,-6.835700E-002,2.548500E-001,8.538100E-001,2.629100E+000,1.636600E-001,-2.000000E-001
8,10/30/21,-2.943100E-002,8.681000E-001,1.866400E-002,6.884800E-003,-1.684800E-002,2.079000E-002,-9.687400E-002,-7.948200E-003,-4.469800E-003
8,10/31/21,-2.000000E-001,-2.000000E-001,2.634200E+000,5.408300E+000,-2.000000E-001,1.983400E+000,1.737200E+000,-1.904400E-001,9.170500E-001
