
Factor Contributions (avg = 1) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
9,09/24/21,3.732200E-001,8.978500E+000,1.306100E+000,1.584600E+000,-1.606700E-001,2.467400E+000,1.059800E-001,1.155800E+000
9,09/25/21,9.444100E-002,-8.926600E-003,-9.520600E-003,3.364100E-002,-3.402200E-003,-4.094400E-002,1.450800E-001,1.579800E-002
9,09/26/21,9.472500E-002,-1.032100E-002,-1.181200E-002,3.440300E-002,-4.779700E-003,-6.373100E-002,2.223400E-001,1.201400E-002
9,09/27/21,1.150300E+000,-1.348700E-001,9.622200E-001,-5.660700E-002,-9.861100E-002,1.325000E+000,6.498000E-001,4.708500E-001
9,09/28/21,8.608700E-001,-1.164400E-001,1.676900E-001,-3.508700E-002,-9.427300E-002,1.355200E+000,4.797500E-001,5.824500E-001
9,09/29/21,1.017800E+000,2.131600E+000,-1.311200E-001,-4.003900E-002,-7.935700E-002,7.658000E-001,5.942900E-001,5.945500E-001
9,09/30/21,1.687000E+000,2.706900E+000,-1.753200E-001,1.130600E+000,-1.287600E-001,2.011700E-001,5.177400E-001,-2.000000E-001
9,10/01/21,1.397200E+000,3.544200E-001,-1.856300E-001,9.695100E-001,-1.383700E-001,5.669200E-001,1.076700E+000,1.247700E-001
9,10/02/21,1.724700E+000,1.820500E-001,-1.820800E-001,7.250300E-001,-1.355400E-001,3.791200E-001,1.306700E+000,-8.506900E-002
9,10/03/21,9.938800E-001,4.772200E-001,-1.033400E-001,9.598300E-001,-1.252300E-001,5.817900E-001,2.402300E+000,-2.000000E-001
9,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
9,10/05/21,3.845300E+000,3.729200E-001,7.645100E-001,-1.551200E-001,-2.000000E-001,-3.551800E-002,3.021600E-002,-6.525600E-002
9,10/06/21,2.862600E+000,-7.944900E-002,7.172100E+000,4.939900E-001,8.251800E+000,6.085000E-001,-1.990400E-001,-5.177400E-002
9,10/07/21,3.084100E+000,-8.120100E-002,2.182900E+000,-1.572000E-001,4.332300E+000,-1.406200E-001,9.516400E-002,4.462900E-002
9,10/08/21,2.604800E-001,-1.908300E-002,-1.911200E-002,2.596400E-002,-1.219400E-002,-3.880300E-002,1.625800E-001,1.105200E-002
9,10/09/21,2.990200E+000,-2.000000E-001,5.187300E+000,-2.000000E-001,5.455300E+000,-2.000000E-001,-2.000000E-001,1.007800E-002
9,10/10/21,2.582900E+000,4.701000E-001,2.222300E+000,2.892700E-001,5.647300E+000,3.061200E-001,4.101800E-001,-1.889700E-001
9,10/11/21,4.267300E+000,-1.835600E-001,2.410000E+000,-2.000000E-001,1.620800E+000,-2.000000E-001,2.346400E-002,-2.000000E-001
9,10/12/21,4.009400E+000,-1.749400E-001,6.626500E-001,5.665000E-002,-2.000000E-001,-1.259100E-001,-1.671300E-001,5.507700E-003
9,10/13/21,3.535500E+000,-2.000000E-001,1.642000E+000,2.738500E-002,-1.482900E-001,2.486000E-001,2.376400E-002,-4.648900E-004
9,10/14/21,3.452800E+000,-1.960900E-001,3.083200E+000,2.103400E-002,4.529900E+000,1.356300E-001,-2.000000E-001,-1.584900E-003
9,10/15/21,1.224000E+000,-7.448000E-002,-1.100300E-001,-2.955200E-002,-6.652500E-002,8.159400E-002,-1.452700E-001,2.219400E-001
9,10/16/21,9.786700E-002,-1.032700E-002,-1.168500E-002,3.416500E-002,-4.759700E-003,-6.060000E-002,2.122600E-001,1.237200E-002
9,10/17/21,1.544900E+000,-1.319300E-001,9.112200E-001,-5.185100E-002,5.326600E+000,-2.000000E-001,5.359400E-001,-2.000000E-001
9,10/18/21,2.972000E-001,-2.243000E-002,-2.307000E-002,2.481900E-002,-1.521000E-002,-5.664100E-002,2.277200E-001,7.765700E-003
9,10/19/21,1.926400E+000,-1.526400E-001,1.352800E+000,-8.588900E-002,6.264600E+000,-7.967600E-002,3.940700E-002,-8.496400E-002
9,10/20/21,1.823000E+000,-1.795200E-001,1.893500E+000,-8.587300E-002,7.308600E+000,7.291500E-001,1.513400E-001,-1.933100E-001
9,10/21/21,1.741200E+000,-1.613800E-001,1.303900E+000,1.752200E-001,5.083600E+000,5.015300E-001,3.122200E-001,-2.000000E-001
9,10/22/21,1.766200E+000,-1.999900E-001,2.703300E+000,1.049400E+000,1.047500E+001,5.337500E-001,-2.000000E-001,-2.000000E-001
9,10/23/21,3.168700E-001,-3.117900E-002,-3.371500E-002,5.300000E-001,-3.008000E-002,-2.408800E-002,1.765400E-001,-3.231200E-002
9,10/24/21,1.934400E+000,-1.597700E-001,-2.000000E-001,-6.706300E-002,5.946900E+000,-2.924800E-002,3.289400E-001,1.476500E-002
9,10/25/21,2.037700E-001,-1.720000E-002,-1.843000E-002,2.949100E-002,-1.074500E-002,-6.580600E-002,2.455700E-001,8.255200E-003
9,10/26/21,2.510400E+000,1.187500E+000,5.787000E-001,-9.353800E-002,3.385900E+000,-1.224900E-001,-7.520900E-002,-1.423300E-001
9,10/27/21,2.715200E+000,-1.951900E-001,-2.000000E-001,2.940100E-001,-1.279000E-001,2.738600E-001,7.604700E-001,-9.296900E-003
9,10/28/21,3.477800E+000,-1.994900E-001,4.924600E-001,-1.480300E-001,-1.159600E-001,-8.981500E-002,-2.000000E-001,2.186400E-001
9,10/29/21,2.978000E+000,1.458600E-001,6.681400E-001,3.217200E-001,-1.420000E-001,7.791900E-001,-2.271700E-002,3.501700E-002
9,10/30/21,9.485000E-002,-1.025400E-002,-1.169700E-002,3.435500E-002,-4.712500E-003,-6.249600E-002,2.181700E-001,1.221200E-002
9,10/31/21,1.709500E+000,-1.968900E-001,2.999700E+000,-9.813200E-002,5.401800E+000,2.201400E+000,-2.000000E-001,-1.066600E-001
