
Factor Profiles (conc. of species) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
16,Methyl acetate,1.046705E+001,5.314152E+000,1.538169E+000,6.352341E+001,1.117005E+001,2.459630E+000,3.085714E+000,2.441828E+000
16,n-Butyl acetate,2.393958E+001,6.850163E+000,1.666482E+000,5.543270E+001,0.000000E+000,1.817815E+000,5.140589E+000,5.152672E+000
16,D5-Siloxane,4.543360E+001,1.382450E+001,0.000000E+000,1.160975E+001,1.164815E+001,3.915206E+000,2.514663E+000,1.105414E+001

Factor Profiles (% of factor total) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
16,Dichloromethane,6.000693E-001,9.140829E-001,5.114715E-001,1.700610E+000,6.438509E-001,7.594133E-003,5.947932E-003,5.275239E-001
16,Chloroform,7.206456E-002,1.852460E-001,7.779723E-002,4.264440E-001,1.223734E-001,9.382043E-004,1.318032E-002,9.765588E-002
16,Trichlorofluoromethane,0.000000E+000,8.170374E-001,1.431734E+000,3.050746E+000,2.175892E+000,1.106419E-002,4.510112E-002,9.667327E-001
16,Dichlorodifluoromethane,3.288019E+000,3.716602E+000,3.736742E+000,1.214876E+000,2.165191E+000,2.110532E-002,0.000000E+000,2.043170E+000
16,Carbon Tetrachloride,2.300500E-001,1.662565E-002,4.557145E-001,7.430525E-001,5.920004E-001,2.694400E-003,2.242881E-002,2.476118E-001
16,1_1_2-Trichlorotrifluoroethane,4.671307E-002,0.000000E+000,5.432892E-001,8.237156E-001,6.538965E-001,3.519927E-003,2.960007E-002,3.722774E-001
16,1_2-Dichloro-1_1_2_2-tetrafluoroethane,4.677400E-002,1.796791E-001,1.417453E-001,9.162975E-002,1.166084E-001,7.860312E-004,6.170535E-004,8.193411E-002
16,Tetrachloroethene,7.465420E-002,4.545799E-002,7.338051E-003,8.075763E-002,1.572603E-002,2.128204E-004,7.892450E-004,3.872203E-002
16,1_2-Dichlorobenzene,0.000000E+000,1.045400E-002,4.383949E-003,1.139919E-002,4.832593E-003,2.651247E-012,1.646648E-003,3.028177E-001
16,1_4-Dichlorobenzene,1.026773E-002,1.292192E-002,3.069133E-003,0.000000E+000,7.413036E-003,7.703591E-005,0.000000E+000,3.005649E-001
16,PCBTF,2.007144E-001,1.009066E-001,2.116879E-003,2.118883E-001,1.485369E-002,9.360672E-004,3.221719E-003,5.452768E-002
16,N-Butane,9.253558E-001,1.996699E+001,1.228847E+000,2.838470E+000,5.217502E-001,8.187728E-003,7.697272E-002,3.464240E+000
16,Isobutane,1.545990E-001,1.414259E+001,4.384382E-002,2.610931E+000,7.081635E-001,1.190630E-002,0.000000E+000,6.665573E-002
16,N-Pentane,0.000000E+000,6.988328E+000,9.795789E-002,5.442479E-001,0.000000E+000,0.000000E+000,3.833447E-002,8.822522E-002
16,Isopentane,1.581729E+000,8.866655E+000,0.000000E+000,5.435051E+000,1.733333E+000,1.452960E-002,1.331683E-001,1.510703E+000
16,2-Methyl pentane,8.000338E-001,3.765357E+000,0.000000E+000,7.322817E+000,1.941702E+000,1.807912E-002,0.000000E+000,3.224459E-001
16,Butene,1.021442E+000,7.090607E+000,5.375811E-001,1.802207E+000,6.241049E-001,3.308134E-003,1.762009E-001,1.441801E+000
16,Propylene,3.774542E+000,1.789400E+001,2.044063E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.728018E+000
16,cis-2-Pentene,0.000000E+000,2.454450E-001,2.303857E-002,1.372859E-001,6.529989E-002,0.000000E+000,3.484170E-003,0.000000E+000
16,Isoprene,2.613541E+000,1.644088E+000,1.111733E+000,0.000000E+000,1.001972E+001,5.425927E-002,9.349086E-001,8.919584E-001
16,alpha-Pinene,8.236452E-001,4.489533E-001,4.193823E-001,0.000000E+000,1.775000E+000,1.019688E-002,1.731508E-001,3.525833E-001
16,MVK,1.094795E+000,1.310669E+000,4.115473E-001,0.000000E+000,4.771836E+000,2.292871E-002,5.620545E-001,3.218947E-001
16,Benzene,9.077791E-001,1.116351E+000,4.273693E-001,5.338822E+000,1.352083E+000,0.000000E+000,0.000000E+000,5.875170E-001
16,Toluene,4.838169E+000,2.531099E+000,2.607059E-001,5.052163E+000,7.057125E-001,1.084158E-002,7.806607E-002,1.678166E+000
