**** Run Comparison Statistics ****

Concentration of Species	Lowest Q (Robust) Run = Run 8

Factor 1		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
m_p-Tolualdehyde	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000
Phenylacetaldehyde	  0.63508	  0.43891	  0.61850	  0.66222	  0.67835	  1.31344	  0.70175	  0.21421	  0.30525	  0.33729
Cyclohexanone	  0.00288	  0.00117	  0.00266	  0.00275	  0.00299	  0.00606	  0.00298	  0.00115	  0.38593	  0.39814
Methyl acetate	  0.04943	  0.00000	  0.04897	  0.07233	  0.08816	  0.13051	  0.06822	  0.03330	  0.48821	  0.67381
n-Butyl acetate	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.08272	  0.00741	  0.01973	  2.66059	  0.00000
D5-Siloxane	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.05064	  0.00315	  0.01152	  3.65166	  0.00000
O3_form	 45.54427	 19.32280	 40.89801	 42.79873	 46.81974	 58.02122	 42.40151	  9.76316	  0.23025	  0.21437
NOx	  3.55239	  0.00000	  0.60042	  0.96571	  3.11333	 11.55158	  1.98448	  2.56478	  1.29242	  0.72199

Factor 8		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
Dichloromethane	  0.00760	  0.00602	  0.00732	  0.00739	  0.00741	  0.00926	  0.00733	  0.00061	  0.08364	  0.08074
Chloroform	  0.00099	  0.00044	  0.00089	  0.00090	  0.00093	  0.00140	  0.00088	  0.00019	  0.21550	  0.19301
Trichlorofluoromethane	  0.00773	  0.00560	  0.00566	  0.00731	  0.00968	  0.01690	  0.00810	  0.00286	  0.35288	  0.36991
Dichlorodifluoromethane	  0.01124	  0.01121	  0.01131	  0.01684	  0.01693	  0.02045	  0.01514	  0.00307	  0.20291	  0.27326
Carbon Tetrachloride	  0.00143	  0.00131	  0.00136	  0.00139	  0.00186	  0.00402	  0.00170	  0.00066	  0.39164	  0.46616
1_1_2-Trichlorotrifluoroethane	  0.00187	  0.00175	  0.00177	  0.00179	  0.00263	  0.00495	  0.00229	  0.00086	  0.37673	  0.46277
1_2-Dichloro-1_1_2_2-tetrafluoroethane	  0.00049	  0.00043	  0.00043	  0.00047	  0.00066	  0.00098	  0.00057	  0.00019	  0.33186	  0.38697
Tetrachloroethene	  0.00023	  0.00001	  0.00019	  0.00023	  0.00034	  0.00034	  0.00024	  0.00009	  0.37563	  0.39412
1_2-Dichlorobenzene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00003	  0.00000	  0.00001	  2.96226	  3.84419
1_4-Dichlorobenzene	  0.00008	  0.00004	  0.00008	  0.00010	  0.00011	  0.00013	  0.00009	  0.00002	  0.20950	  0.24474
PCBTF	  0.00132	  0.00060	  0.00107	  0.00131	  0.00137	  0.00137	  0.00120	  0.00024	  0.19595	  0.17869
N-Butane	  0.00141	  0.00068	  0.00156	  0.00328	  0.00935	  0.00937	  0.00473	  0.00360	  0.76068	  2.55912
Isobutane	  0.00375	  0.00123	  0.00405	  0.00642	  0.01621	  0.01625	  0.00884	  0.00585	  0.66135	  1.55788
N-Pentane	  0.00094	  0.00000	  0.00000	  0.00062	  0.00092	  0.00117	  0.00046	  0.00045	  0.96810	  0.47940
Isopentane	  0.01062	  0.00000	  0.01011	  0.01067	  0.01775	  0.01782	  0.01250	  0.00500	  0.39998	  0.47074
2-Methyl pentane	  0.01214	  0.00098	  0.01158	  0.01224	  0.02045	  0.02379	  0.01461	  0.00591	  0.40459	  0.48705
Butene	  0.00032	  0.00000	  0.00029	  0.00112	  0.00444	  0.00447	  0.00204	  0.00192	  0.94338	  5.94315
Propylene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000
cis-2-Pentene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000
Isoprene	  0.00563	  0.00563	  0.00664	  0.03729	  0.04974	  0.05404	  0.03363	  0.01936	  0.57571	  3.43735
alpha-Pinene	  0.00024	  0.00024	  0.00048	  0.00639	  0.00871	  0.00957	  0.00545	  0.00369	  0.67729	 15.20820
MVK	  0.00051	  0.00051	  0.00091	  0.01504	  0.02134	  0.02378	  0.01355	  0.00921	  0.67930	 18.18309
Benzene	  0.00168	  0.00000	  0.00000	  0.00000	  0.00102	  0.00564	  0.00064	  0.00131	  2.05692	  0.78082
Toluene	  0.01697	  0.00000	  0.01165	  0.01684	  0.01945	  0.01950	  0.01507	  0.00546	  0.36265	  0.32199
Ethylbenzene	  0.00293	  0.00033	  0.00209	  0.00292	  0.00358	  0.00358	  0.00275	  0.00092	  0.33342	  0.31303
Propylbenzene	  0.00056	  0.00005	  0.00043	  0.00056	  0.00079	  0.00080	  0.00057	  0.00021	  0.36942	  0.37549
m_p-Xylene	  0.00317	  0.00054	  0.00214	  0.00319	  0.00388	  0.00389	  0.00296	  0.00098	  0.33143	  0.30917
o-Xylene	  0.00286	  0.00049	  0.00198	  0.00287	  0.00363	  0.00363	  0.00274	  0.00091	  0.33132	  0.31773
p-Isopropyl Toluene	  0.00075	  0.00035	  0.00072	  0.00099	  0.00129	  0.00145	  0.00099	  0.00032	  0.32122	  0.42077
Naphthalene	  0.00165	  0.00117	  0.00162	  0.00167	  0.00260	  0.00261	  0.00200	  0.00050	  0.25025	  0.30447
Methanol	 99.11428	 94.83334	 94.86025	 98.65188	 99.10333	 99.36089	 97.43707	  2.01412	  0.02067	  0.02032
Ethanol	  0.04041	  0.00000	  0.03767	  0.04978	  0.05141	  0.12149	  0.04719	  0.02955	  0.62615	  0.73130
Phenol	  0.00000	  0.00000	  0.00000	  0.00844	  0.00971	  0.02752	  0.00814	  0.00761	  0.93497	  0.00000
Formaldehyde	  0.00000	  0.00000	  0.00000	  0.08339	  0.21963	  0.22106	  0.10630	  0.09618	  0.90484	  0.00000
Acetaldehyde	  0.00000	  0.00000	  0.00252	  0.04227	  0.14629	  0.14694	  0.06445	  0.06494	  1.00766	  0.00000
