**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Tetrachloroethene,  0.00042,  0.00020,  0.00041,  0.00042,  0.00043,  0.00049,  0.00040,  0.00006,  0.14552,  0.13945
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00014,  0.00000,  0.00002,  6.04917,  0.00000
1_4-Dichlorobenzene,  0.00011,  0.00000,  0.00010,  0.00011,  0.00011,  0.00049,  0.00012,  0.00008,  0.66651,  0.76040
PCBTF,  0.00146,  0.00065,  0.00143,  0.00144,  0.00146,  0.00176,  0.00139,  0.00020,  0.14687,  0.14019
N-Butane,  0.01082,  0.00000,  0.00000,  0.00595,  0.01082,  0.01593,  0.00587,  0.00505,  0.86042,  0.46690
Isobutane,  0.01116,  0.00000,  0.00000,  0.00259,  0.01104,  0.01591,  0.00533,  0.00522,  0.97844,  0.46743
N-Pentane,  0.00390,  0.00000,  0.00000,  0.00159,  0.00395,  0.00721,  0.00211,  0.00209,  0.99230,  0.53585
Isopentane,  0.02102,  0.01327,  0.02076,  0.02108,  0.02298,  0.02906,  0.02203,  0.00278,  0.12620,  0.13227
2-Methyl pentane,  0.00962,  0.00000,  0.00942,  0.01183,  0.01194,  0.02502,  0.01254,  0.00500,  0.39848,  0.51964
Butene,  0.00503,  0.00000,  0.00079,  0.00380,  0.00501,  0.00710,  0.00329,  0.00197,  0.59747,  0.39087
Propylene,  0.02077,  0.00213,  0.01077,  0.01570,  0.02096,  0.02638,  0.01558,  0.00571,  0.36645,  0.27495
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.06311,  0.02406,  0.06150,  0.06761,  0.07982,  0.09597,  0.06873,  0.01521,  0.22137,  0.24109
alpha-Pinene,  0.01026,  0.00331,  0.00998,  0.01134,  0.01382,  0.01879,  0.01171,  0.00298,  0.25484,  0.29079
MVK,  0.02888,  0.00762,  0.02813,  0.03079,  0.03423,  0.03912,  0.02940,  0.00692,  0.23535,  0.23958
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.02439,  0.00364,  0.02276,  0.02428,  0.02916,  0.03429,  0.02460,  0.00587,  0.23847,  0.24046
Ethylbenzene,  0.00456,  0.00101,  0.00425,  0.00455,  0.00536,  0.00623,  0.00456,  0.00103,  0.22592,  0.22599
Propylbenzene,  0.00092,  0.00032,  0.00087,  0.00091,  0.00106,  0.00130,  0.00092,  0.00020,  0.21831,  0.22002
m_p-Xylene,  0.00526,  0.00000,  0.00454,  0.00523,  0.00620,  0.00831,  0.00518,  0.00148,  0.28566,  0.28101
o-Xylene,  0.00448,  0.00034,  0.00409,  0.00446,  0.00539,  0.00639,  0.00447,  0.00117,  0.26284,  0.26203
p-Isopropyl Toluene,  0.00159,  0.00059,  0.00157,  0.00160,  0.00175,  0.00248,  0.00167,  0.00034,  0.20369,  0.21282
Naphthalene,  0.00305,  0.00207,  0.00300,  0.00305,  0.00379,  0.00425,  0.00325,  0.00057,  0.17422,  0.18567
Methanol, 99.39237, 99.01887, 99.33039, 99.38703, 99.40594, 99.76870, 99.37269,  0.12734,  0.00128,  0.00128
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.07506,  0.00320,  0.01316,  4.11048,  0.00000
Phenol,  0.01150,  0.00216,  0.01092,  0.01468,  0.02019,  0.03899,  0.01639,  0.00762,  0.46513,  0.66306
Formaldehyde,  0.14365,  0.00000,  0.13863,  0.15014,  0.16639,  0.30978,  0.15607,  0.06011,  0.38516,  0.41845
Acetaldehyde,  0.11908,  0.00000,  0.11175,  0.11889,  0.13595,  0.21279,  0.11867,  0.03823,  0.32219,  0.32107
Isovaleraldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00105,  0.00203,  0.00046,  0.00054,  1.18111,  0.00000
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
m_p-Tolualdehyde,  0.00013,  0.00002,  0.00013,  0.00013,  0.00014,  0.00020,  0.00013,  0.00003,  0.27393,  0.26163
Phenylacetaldehyde,  0.00522,  0.00379,  0.00505,  0.00545,  0.00880,  0.01226,  0.00698,  0.00226,  0.32350,  0.43251
Cyclohexanone,  0.00019,  0.00003,  0.00019,  0.00019,  0.00023,  0.00031,  0.00020,  0.00005,  0.26005,  0.26097
Methyl acetate,  0.01398,  0.00929,  0.01374,  0.01451,  0.01536,  0.02196,  0.01474,  0.00219,  0.14859,  0.15666
n-Butyl acetate,  0.01013,  0.00000,  0.00992,  0.01012,  0.01034,  0.01197,  0.00939,  0.00231,  0.24606,  0.22792
D5-Siloxane,  0.01189,  0.00461,  0.01081,  0.01132,  0.01195,  0.01477,  0.01109,  0.00194,  0.17481,  0.16303

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.57477,  0.15506,  0.42528,  0.49389,  0.57592,  0.93813,  0.49026,  0.12989,  0.26495,  0.22599
Chloroform,  0.08423,  0.00904,  0.05834,  0.08307,  0.08784,  0.16581,  0.07364,  0.02865,  0.38904,  0.34012
Trichlorofluoromethane,  0.54820,  0.00000,  0.29097,  0.40239,  0.54869,  1.01388,  0.38331,  0.24199,  0.63132,  0.44143
Dichlorodifluoromethane,  0.70652,  0.00000,  0.56781,  0.72040,  0.99019,  3.26423,  0.83148,  0.57743,  0.69446,  0.81729
Carbon Tetrachloride,  0.26255,  0.08459,  0.20787,  0.26311,  0.30098,  0.41955,  0.25502,  0.07252,  0.28436,  0.27621
