
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,Butene,2.840027E+000,2.522699E+001,1.054143E+001,5.993610E+000,7.452900E+000,1.014332E-001,2.901304E+000,6.952346E+000,2.220318E+001,1.578677E+001
11,Propylene,7.817246E+000,3.576822E+001,8.299433E+000,1.293335E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.143983E+001,0.000000E+000,1.374193E+001
11,cis-2-Pentene,0.000000E+000,2.674185E+001,0.000000E+000,1.381070E+001,1.551144E+000,0.000000E+000,1.198052E+001,0.000000E+000,4.591578E+001,0.000000E+000
11,Isoprene,1.867451E+000,9.216487E-001,1.413805E+001,1.529245E+000,2.444829E+000,1.031883E+001,6.384110E+001,0.000000E+000,1.663178E+000,3.275665E+000
11,alpha-Pinene,4.803373E+000,3.054092E+000,1.475011E+001,7.339736E+000,2.400089E+000,8.782870E+000,5.287914E+001,1.138217E+000,0.000000E+000,4.852376E+000
11,MVK,0.000000E+000,1.378204E+000,1.340540E+001,0.000000E+000,4.825345E+000,9.522945E+000,6.188798E+001,0.000000E+000,3.895634E+000,5.084492E+000
11,Benzene,9.141636E+000,4.467708E+000,0.000000E+000,1.497695E+001,1.157671E+000,0.000000E+000,2.078549E+000,1.115508E+000,6.204594E+001,5.016030E+000
11,Toluene,3.485151E+001,2.144101E+000,4.421955E+000,1.788444E+000,2.399952E+000,3.525790E+000,7.206369E+000,6.572271E+000,3.426582E+001,2.823800E+000
11,Ethylbenzene,3.729771E+001,2.283684E+000,4.054955E+000,1.954520E+000,1.919651E+000,4.011559E+000,7.651506E+000,6.704946E+000,2.968164E+001,4.439833E+000
11,Propylbenzene,3.342915E+001,2.248942E+000,2.547429E+000,1.905910E+000,7.378474E-001,3.824644E+000,1.008173E+001,8.676190E+000,3.022578E+001,6.322382E+000
11,m_p-Xylene,4.501801E+001,2.286887E+000,1.000887E+001,2.179163E+000,9.902885E-001,4.388856E+000,9.841667E+000,1.444518E+001,1.084108E+001,0.000000E+000
11,o-Xylene,4.422085E+001,6.031302E-001,4.439825E+000,1.718918E+000,1.688720E+000,4.518532E+000,9.296838E+000,9.142075E+000,2.123057E+001,3.140543E+000
11,p-Isopropyl Toluene,3.935261E+000,0.000000E+000,0.000000E+000,4.603329E+000,1.141873E+001,5.001692E+000,2.576849E+001,3.686761E+000,3.890862E+001,6.677113E+000
11,Naphthalene,3.354829E+001,0.000000E+000,0.000000E+000,4.617499E+000,4.363883E+000,8.640479E+000,2.028664E+001,0.000000E+000,1.494648E+001,1.359673E+001
11,Methanol,1.938370E-001,7.837576E-001,3.270464E+000,2.086936E+000,5.000437E-001,8.816752E+001,3.948584E+000,2.667519E-001,0.000000E+000,7.821042E-001
11,Ethanol,1.851230E+000,9.671324E-001,5.158986E+000,6.971068E-001,9.046766E+001,7.214571E-001,0.000000E+000,1.364297E-001,0.000000E+000,0.000000E+000
11,Phenol,0.000000E+000,0.000000E+000,1.950457E+001,1.651207E+001,0.000000E+000,5.368538E+000,3.619372E+001,2.402323E+000,2.001878E+001,0.000000E+000
11,Methyl acetate,9.009493E+000,4.957087E-001,0.000000E+000,6.081112E+000,4.257825E+000,1.815596E+000,0.000000E+000,2.024428E+000,6.447899E+001,1.183685E+001
11,n-Butyl acetate,3.526062E+001,3.175307E+000,6.885581E+000,0.000000E+000,5.771584E+000,2.959983E+000,0.000000E+000,2.427410E+000,4.351952E+001,0.000000E+000
11,D5-Siloxane,2.633573E+000,8.178915E+000,1.722603E+000,0.000000E+000,8.725009E+000,2.893962E+000,1.265285E+000,9.139380E+000,2.570374E+001,3.973753E+001

Factor Profiles (% of factor total) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,Dichloromethane,1.212033E+000,6.226416E-001,2.751087E-001,1.061787E+000,1.385893E-002,8.335434E-003,1.613001E-001,7.537141E-001,3.304208E+000,7.180987E-001
11,Chloroform,1.348787E-001,7.300827E-002,4.905799E-002,1.828987E-001,2.881851E-002,8.305987E-004,3.034015E-003,1.579234E-001,9.136156E-001,1.639224E-001
11,Trichlorofluoromethane,1.994443E-001,8.055127E-001,1.040004E+000,2.882323E+000,0.000000E+000,1.428659E-002,8.862004E-001,0.000000E+000,6.385276E+000,0.000000E+000
11,Dichlorodifluoromethane,2.638288E+000,5.391273E+000,1.049179E+000,7.202927E+000,6.583559E-002,2.565266E-002,6.987644E-001,1.862217E+000,0.000000E+000,3.715503E+000
11,Carbon Tetrachloride,5.491533E-001,1.726842E-001,1.059204E-001,1.063623E+000,2.178760E-002,3.679015E-003,2.039961E-001,3.949846E-001,1.494288E+000,1.420988E-001
11,1_1_2-Trichlorotrifluoroethane,0.000000E+000,1.926069E-001,3.119504E-001,1.117913E+000,3.592106E-002,4.426758E-003,2.244634E-001,1.539400E-001,1.583954E+000,1.968533E-001
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,4.122370E-002,2.158397E-001,6.813578E-002,2.752444E-001,0.000000E+000,1.025165E-003,4.365804E-002,1.004141E-002,1.081571E-001,4.058540E-002
11,Tetrachloroethene,1.633920E-001,4.343440E-003,1.320635E-002,8.322889E-003,3.072399E-003,1.893494E-004,3.896093E-003,8.842161E-002,1.485244E-001,7.150952E-002
11,1_2-Dichlorobenzene,0.000000E+000,9.143208E-003,1.233019E-001,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,3.600366E-001,0.000000E+000,0.000000E+000
11,1_4-Dichlorobenzene,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,7.599513E-004,2.283434E-004,1.149941E-002,1.901488E+000,3.533848E-002,0.000000E+000
11,PCBTF,6.006904E-001,3.038021E-002,4.197567E-003,0.000000E+000,1.280518E-003,1.078587E-003,1.233531E-002,1.505236E-001,3.481985E-001,9.286053E-002
11,N-Butane,9.223914E-002,1.031109E+001,2.085248E+000,6.078270E-001,2.281018E-001,0.000000E+000,6.218234E-002,6.281789E+000,4.053189E+000,6.107696E+000
11,Isobutane,0.000000E+000,6.889882E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.051375E+000,4.415385E+000,5.895117E+000
11,N-Pentane,2.058681E-001,4.407351E+000,9.807917E-002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.160522E-001,1.557598E+000,0.000000E+000
