**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
cis-2-Pentene,  0.00174,  0.00132,  0.00150,  0.00174,  0.00190,  0.00193,  0.00170,  0.00020,  0.11816,  0.11566
Isoprene,  0.00000,  0.00000,  0.00623,  0.01600,  0.01717,  0.04661,  0.01588,  0.01333,  0.83916,  0.00000
alpha-Pinene,  0.00242,  0.00242,  0.00319,  0.00382,  0.00433,  0.00887,  0.00431,  0.00192,  0.44510,  0.79350
MVK,  0.00064,  0.00000,  0.00104,  0.00742,  0.00925,  0.02049,  0.00717,  0.00666,  0.92950, 10.39066
Benzene,  0.02655,  0.00767,  0.01492,  0.02465,  0.02654,  0.02955,  0.02177,  0.00621,  0.28544,  0.23403
Toluene,  0.03253,  0.01879,  0.03062,  0.03241,  0.03519,  0.03970,  0.03204,  0.00496,  0.15491,  0.15258
Ethylbenzene,  0.00528,  0.00302,  0.00506,  0.00526,  0.00545,  0.00634,  0.00516,  0.00076,  0.14767,  0.14445
Propylbenzene,  0.00106,  0.00064,  0.00101,  0.00110,  0.00112,  0.00127,  0.00105,  0.00014,  0.13603,  0.13488
m_p-Xylene,  0.01119,  0.00937,  0.01083,  0.01181,  0.01298,  0.01324,  0.01173,  0.00122,  0.10438,  0.10940
o-Xylene,  0.00552,  0.00338,  0.00516,  0.00582,  0.00587,  0.00676,  0.00553,  0.00079,  0.14323,  0.14351
p-Isopropyl Toluene,  0.00047,  0.00000,  0.00000,  0.00000,  0.00041,  0.00066,  0.00016,  0.00023,  1.45262,  0.48595
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Methanol,  0.00000,  0.00000,  0.00000,  0.04583,  0.16531,  0.48706,  0.11425,  0.15119,  1.32330,  0.00000
Ethanol,  0.00000,  0.00000,  0.00117,  0.07451,  0.09995,  0.12415,  0.05748,  0.04732,  0.82322,  0.00000
Phenol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00088,  0.00009,  0.00027,  3.07825,  0.00000
Formaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.07688,  0.00384,  0.01719,  4.47214,  0.00000
Acetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.01087,  0.05675,  0.00801,  0.01445,  1.80511,  0.00000
Isovaleraldehyde,  0.00000,  0.00000,  0.00000,  0.00015,  0.00073,  0.00190,  0.00051,  0.00065,  1.27099,  0.00000
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
m_p-Tolualdehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00001,  0.00000,  0.00000,  4.47214,  0.00000
Phenylacetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cyclohexanone,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Methyl acetate,  0.00077,  0.00000,  0.00361,  0.00630,  0.00759,  0.00874,  0.00529,  0.00272,  0.51484,  3.54771
n-Butyl acetate,  0.01645,  0.00152,  0.01436,  0.01498,  0.01783,  0.01997,  0.01489,  0.00453,  0.30415,  0.27530
D5-Siloxane,  0.00078,  0.00000,  0.00073,  0.00405,  0.02493,  0.02613,  0.01055,  0.01103,  1.04519, 14.17619

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00572,  0.00415,  0.00422,  0.00569,  0.00584,  0.00634,  0.00527,  0.00079,  0.15046,  0.13851
Chloroform,  0.00056,  0.00041,  0.00042,  0.00058,  0.00065,  0.00074,  0.00056,  0.00011,  0.19594,  0.19865
Trichlorofluoromethane,  0.01075,  0.00415,  0.00529,  0.00550,  0.00985,  0.01217,  0.00717,  0.00268,  0.37326,  0.24894
Dichlorodifluoromethane,  0.01963,  0.00541,  0.00600,  0.01153,  0.01962,  0.02324,  0.01290,  0.00615,  0.47691,  0.31332
Carbon Tetrachloride,  0.00252,  0.00007,  0.00010,  0.00089,  0.00253,  0.00298,  0.00121,  0.00111,  0.91346,  0.43942
