
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
7	Benzene	8.998886E+000	7.322422E-001	2.454888E+000	1.152624E+001	0.000000E+000	6.757304E+001	8.513752E+000	2.009546E-001	0.000000E+000
7	Toluene	9.535122E+000	2.843187E+001	2.140638E+000	4.173639E+000	6.739012E+000	3.858398E+001	2.207881E+000	3.634554E+000	4.553306E+000
7	Ethylbenzene	9.157355E+000	3.037400E+001	1.741199E+000	6.005447E+000	6.770609E+000	3.494477E+001	2.287481E+000	4.031576E+000	4.687564E+000
7	Propylbenzene	1.036198E+001	2.553649E+001	4.572327E-001	8.481169E+000	8.315425E+000	3.514115E+001	9.669256E-001	3.449347E+000	7.290276E+000
7	m_p-Xylene	1.125037E+001	3.840060E+001	2.316053E-001	1.383349E-001	1.700232E+001	1.793821E+001	4.986005E+000	3.768056E+000	6.284496E+000
7	o-Xylene	7.615702E+000	3.644569E+001	1.316873E+000	4.763009E+000	9.404794E+000	2.797441E+001	2.475412E+000	4.318520E+000	5.685594E+000
7	p-Isopropyl Toluene	3.771256E+000	0.000000E+000	1.457923E+001	1.126441E+001	2.933616E+000	4.468939E+001	2.047594E+000	2.731615E+000	1.798289E+001
7	Naphthalene	0.000000E+000	2.738898E+001	4.490491E+000	1.742702E+001	0.000000E+000	2.800814E+001	0.000000E+000	6.509979E+000	1.617539E+001
7	Methanol	0.000000E+000	1.099317E+000	1.484567E+000	1.251913E-001	3.352355E-001	3.585366E+000	5.480476E+000	8.703500E+001	8.548517E-001
7	Ethanol	8.766864E-001	3.307098E+000	8.479111E+001	0.000000E+000	1.197798E+000	0.000000E+000	3.644278E+000	5.264576E-001	5.656575E+000
7	Phenol	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	7.030236E+000	3.785799E+001	2.066853E+001	0.000000E+000	3.444324E+001
7	Formaldehyde	5.935941E+000	9.362704E+000	8.465687E+000	1.654883E+001	6.886432E+000	1.600321E+001	2.888024E+000	0.000000E+000	3.390917E+001
7	Acetaldehyde	1.703133E+000	2.164791E+001	7.632070E+000	2.126919E+001	9.579097E+000	1.088611E+001	0.000000E+000	1.320180E-001	2.715047E+001
7	Isovaleraldehyde	0.000000E+000	1.958101E+001	4.543931E+000	0.000000E+000	1.429754E+001	5.390313E+000	4.343244E+001	0.000000E+000	1.275477E+001
7	Hexaldehyde	0.000000E+000	1.834664E+001	2.607339E+000	0.000000E+000	1.727184E+001	0.000000E+000	4.907639E+001	0.000000E+000	1.269779E+001
7	m_p-Tolualdehyde	1.248235E+000	3.955574E+001	9.961112E-002	1.879711E+001	9.636315E+000	2.448564E+000	0.000000E+000	1.969649E+000	2.624477E+001
7	Phenylacetaldehyde	4.346767E+000	0.000000E+000	0.000000E+000	4.310389E-001	7.557406E+000	3.029181E+001	3.946977E+001	0.000000E+000	1.790321E+001
7	Cyclohexanone	0.000000E+000	4.049314E+001	1.030851E+001	1.148521E+001	7.312261E+000	0.000000E+000	1.383484E+001	4.366940E+000	1.219910E+001
7	Methyl acetate	6.213022E+000	8.780811E+000	4.681797E+000	1.351848E+001	1.394501E+000	6.016339E+001	2.473308E+000	2.774693E+000	0.000000E+000
7	n-Butyl acetate	1.431682E+001	3.300756E+001	3.150483E+000	0.000000E+000	1.921226E+000	4.275508E+001	0.000000E+000	4.848821E+000	0.000000E+000
7	D5-Siloxane	1.396512E+001	2.183362E+000	9.335556E+000	3.712085E+001	1.159060E+001	2.158062E+001	0.000000E+000	2.922511E+000	1.301373E+000
7	O3_form	1.499713E+000	2.045963E+001	4.336981E+000	1.542073E+001	6.018329E+000	1.573625E+001	8.929312E+000	1.915517E-001	2.740751E+001
7	NOx	7.759486E+000	4.199141E+001	3.692964E+000	3.667895E+000	1.223002E+001	0.000000E+000	2.605062E+000	4.326369E+000	2.372680E+001

Factor Profiles (% of factor total) from Base Run #7 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
7	Dichloromethane	3.686981E-001	3.739684E-002	8.825994E-003	1.200968E-001	6.633653E-002	4.090208E-001	2.474155E-001	7.335919E-003	2.593747E-002
7	Chloroform	5.151572E-002	4.515504E-003	1.705555E-002	2.924246E-002	1.439115E-002	9.799644E-002	4.327084E-002	9.114077E-004	0.000000E+000
7	Trichlorofluoromethane	1.608395E-001	2.390018E-002	3.893747E-002	6.592616E-002	6.363022E-002	8.891206E-001	7.438257E-001	7.198010E-003	1.485975E-001
7	Dichlorodifluoromethane	1.039154E+000	1.195379E-001	0.000000E+000	6.241597E-001	1.966243E-001	5.017964E-001	1.645061E+000	1.125411E-002	1.543803E-001
7	Carbon Tetrachloride	0.000000E+000	1.557508E-002	1.675634E-002	5.448881E-002	0.000000E+000	2.244095E-001	2.293971E-001	1.300105E-003	3.600591E-002
7	1_1_2-Trichlorotrifluoroethane	0.000000E+000	0.000000E+000	2.885277E-002	6.209169E-002	2.245032E-002	2.408852E-001	2.722265E-001	1.741645E-003	3.888445E-002
7	1_2-Dichloro-1_1_2_2-tetrafluoroethane	5.351067E-002	0.000000E+000	0.000000E+000	1.369514E-002	5.360659E-003	3.484434E-002	6.825974E-002	4.644657E-004	6.721856E-003
7	Tetrachloroethene	1.722222E-002	6.177731E-003	9.400786E-004	7.002698E-003	1.012809E-002	1.604236E-002	2.424305E-003	2.251609E-004	1.195996E-003
7	1_2-Dichlorobenzene	5.147729E-003	0.000000E+000	1.024780E-003	0.000000E+000	9.040603E-002	4.728278E-003	6.318337E-004	0.000000E+000	2.326009E-005
7	1_4-Dichlorobenzene	4.657203E-003	0.000000E+000	0.000000E+000	3.919360E-004	8.998039E-002	2.792067E-003	0.000000E+000	8.073787E-005	4.678609E-004
7	PCBTF	4.178905E-002	1.930292E-002	2.968509E-003	8.010213E-003	1.383960E-002	4.021964E-002	0.000000E+000	1.301503E-003	5.232668E-004
7	N-Butane	6.591707E+000	7.226630E-002	4.436878E-002	5.524208E-001	1.019247E+000	3.318409E-001	4.065369E-001	1.523243E-003	5.508462E-002
7	Isobutane	3.576928E+000	0.000000E+000	0.000000E+000	7.534259E-001	2.115746E-001	3.396201E-001	0.000000E+000	4.055829E-003	7.008523E-003
7	N-Pentane	2.405185E+000	8.166707E-003	0.000000E+000	0.000000E+000	2.088257E-002	1.140768E-001	4.466455E-002	8.857398E-004	0.000000E+000
7	Isopentane	2.497875E+000	1.029755E-001	2.043815E-001	5.257869E-001	4.891754E-001	1.101462E+000	2.206828E-002	1.009030E-002	7.414305E-002
7	2-Methyl pentane	1.118218E+000	5.335935E-002	1.221610E-001	6.705150E-001	6.158896E-002	1.376306E+000	1.996011E-002	1.137084E-002	6.335843E-002
7	Butene	2.424436E+000	3.946330E-002	1.436165E-001	2.916825E-001	3.837428E-001	3.368977E-001	1.936932E-001	2.480462E-004	5.032989E-002
7	Propylene	4.542607E+000	2.712721E-001	0.000000E+000	4.304129E-001	1.678108E+000	0.000000E+000	8.421945E-001	0.000000E+000	0.000000E+000
7	cis-2-Pentene	8.462274E-002	0.000000E+000	4.628258E-003	5.027820E-003	0.000000E+000	3.123669E-002	1.080820E-002	0.000000E+000	4.496921E-003
7	Isoprene	1.394645E+000	2.260857E-001	3.734681E-001	0.000000E+000	2.214883E-001	5.633062E-001	9.701785E-002	7.213077E-003	1.704435E+000
7	alpha-Pinene	3.030117E-001	8.242483E-002	6.593302E-002	1.541212E-002	6.605455E-002	8.462346E-002	1.023359E-001	5.903756E-004	3.267810E-001
7	MVK	7.900475E-001	7.291580E-002	2.662345E-001	3.835392E-002	1.030916E-001	2.929004E-001	0.000000E+000	1.195234E-003	7.869514E-001
7	Benzene	7.822214E-001	1.037959E-002	6.645200E-002	2.915199E-001	0.000000E+000	1.253913E+000	2.015132E-001	6.786455E-004	0.000000E+000
7	Toluene	1.111719E+000	5.405785E-001	7.772262E-002	1.415869E-001	3.988350E-001	9.603487E-001	7.009488E-002	1.646357E-002	7.510191E-002
7	Ethylbenzene	1.679213E-001	9.082855E-002	9.943048E-003	3.204207E-002	6.302192E-002	1.367953E-001	1.142181E-002	2.872200E-003	1.216013E-002
7	Propylbenzene	4.259262E-002	1.711738E-002	5.852806E-004	1.014347E-002	1.735018E-002	3.083617E-002	1.082247E-003	5.508489E-004	4.239267E-003
7	m_p-Xylene	2.440123E-001	1.358212E-001	1.564332E-003	8.730042E-004	1.871894E-001	8.305719E-002	2.944689E-002	3.175166E-003	1.928283E-002
7	o-Xylene	1.290601E-001	1.007193E-001	6.949623E-003	2.348566E-002	8.090202E-002	1.012036E-001	1.142276E-002	2.843288E-003	1.363054E-002
7	p-Isopropyl Toluene	2.565375E-002	0.000000E+000	3.088407E-002	2.229527E-002	1.012969E-002	6.489663E-002	3.792715E-003	7.219185E-004	1.730532E-002
7	Naphthalene	0.000000E+000	2.931104E-002	9.176983E-003	3.327618E-002	0.000000E+000	3.923811E-002	0.000000E+000	1.659795E-003	1.501692E-002
7	Methanol	0.000000E+000	5.249619E+000	1.353803E+001	1.066680E+000	4.983088E+000	2.241336E+001	4.369989E+001	9.901896E+001	3.541331E+000
7	Ethanol	1.704159E+000	1.048329E+000	5.132766E+001	0.000000E+000	1.181892E+000	0.000000E+000	1.928941E+000	3.975879E-002	1.555516E+000
7	Phenol	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	4.341270E-001	9.831715E-001	6.846523E-001	0.000000E+000	5.927590E-001
7	Formaldehyde	7.058475E+000	1.815545E+000	3.134865E+000	5.725691E+000	4.156652E+000	4.062388E+000	9.351121E-001	0.000000E+000	5.704186E+000
7	Acetaldehyde	1.124961E+000	2.331790E+000	1.569880E+000	4.087703E+000	3.211749E+000	1.535022E+000	0.000000E+000	3.387866E-003	2.537006E+000
