
Residuals from Base Run #6 (Convergent Run)

Base_Run,Date_Time,1-Butene + Isobutylene,2-Methyl pentane,Acetaldehyde,Benzene,Benzene_ 1_2-dichloro-,Benzene_ 1_4-dichloro,Benzene_ propyl-,Carbon Tetrachloride,Chloroform,Cyclohexanone,Decamethylcyclopentasiloxane,Dichlorodifluoromethane,Dichloromethane,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,Ethanol,Ethylbenzene,Formaldehyde,Hexaldehyde,Isobutane,Isopentane,Isoprene,Isovaleraldehyde,MVK,Methanol,Methyl acetate,N-Butane,Naphthalene,Parachlorobenzotrifluoride,Pentane,Phenol,Phenylacetaldehyde,Propylene,Tetrachloroethene,Toluene,Trichlorofluoromethane,a-Pinene,cis-2-Pentene,m_p-Tolualdehyde,m_p-Xylene,n-Butyl acetate,o-Xylene,p-Cymene,p-Isopropyl Toluene
6,07/30/21,6.240000E-003,6.371000E-002,-1.741000E-001,-8.079000E-002,1.839000E-004,-1.001000E-004,6.186000E-004,-1.572000E-002,-3.319000E-003,1.328000E-003,-1.803000E-002,3.391000E-002,-3.856000E-002,-3.010000E-004,-4.476000E-005,4.206000E-001,-6.910000E-003,-1.626000E-001,5.526000E-002,6.864000E-002,4.095000E-002,3.760000E-003,5.962000E-003,1.782000E-003,2.322000E-001,7.555000E-002,8.925000E-002,-1.886000E-003,9.937000E-004,-1.095000E-002,1.134000E-002,1.983000E-003,-9.271000E-003,-8.709000E-004,-1.555000E-002,-9.088000E-003,-8.060000E-003,-5.456000E-004,5.804000E-004,6.132000E-004,2.574000E-002,-2.258000E-003,7.307000E-004,3.046000E-003
6,07/31/21,4.716000E-003,1.160000E-001,2.379000E-001,-6.926000E-002,-3.472000E-005,5.130000E-005,1.484000E-004,1.728000E-002,-1.904000E-003,2.187000E-004,-1.368000E-002,-7.039000E-003,-2.460000E-002,5.454000E-003,6.107000E-004,1.156000E+000,-1.152000E-003,3.925000E-001,2.289000E-002,2.252000E-002,8.113000E-002,1.040000E-001,-5.781000E-005,3.648000E-002,1.991000E-001,-4.562000E-002,5.982000E-002,-1.766000E-003,1.143000E-003,-1.156000E-002,-3.240000E-002,-1.583000E-001,-2.935000E-002,1.903000E-004,1.907000E-002,1.655000E-002,1.336000E-002,2.448000E-004,7.890000E-004,-6.933000E-003,2.175000E-002,-9.024000E-004,-2.334000E-003,-4.868000E-003
6,08/01/21,-1.981000E-002,4.994000E-002,4.524000E-001,-8.403000E-003,3.411000E-004,-1.099000E-004,7.836000E-004,7.524000E-003,-8.853000E-004,-4.512000E-004,2.740000E-003,3.025000E-001,-2.247000E-002,2.291000E-003,7.552000E-003,2.943000E-001,7.501000E-003,4.984000E-001,-2.545000E-002,4.127000E-002,-9.475000E-002,-1.002000E-001,-1.216000E-002,-4.908000E-002,3.823000E-002,-4.938000E-002,-1.436000E-001,2.992000E-003,-1.862000E-003,3.077000E-002,3.737000E-002,-1.861000E-002,-4.364000E-002,1.085000E-003,5.007000E-002,-4.192000E-004,-1.219000E-002,-3.909000E-004,4.469000E-004,-1.581000E-003,1.353000E-002,4.364000E-003,-9.719000E-004,2.093000E-003
6,08/02/21,3.575000E-002,6.622000E-002,1.001000E-001,4.671000E-002,-2.607000E-005,9.182000E-005,4.224000E-004,6.832000E-003,-5.533000E-004,5.017000E-006,-7.443000E-003,-2.722000E-002,-2.009000E-002,9.839000E-003,-1.092000E-003,1.959000E-003,3.997000E-003,4.829000E-002,2.526000E-002,8.526000E-002,7.332000E-002,-1.652000E-001,2.439000E-003,-4.616000E-002,3.441000E-004,-1.890000E-002,1.258000E-001,-8.862000E-004,-1.446000E-003,-6.883000E-003,-1.153000E-001,2.648000E-002,-1.413000E-001,1.075000E-003,3.399000E-002,2.351000E-002,-3.955000E-002,1.416000E-003,3.336000E-004,3.616000E-003,-6.954000E-003,3.689000E-003,-1.001000E-003,1.452000E-003
6,08/03/21,1.358000E-003,4.088000E-001,-1.631000E-001,1.744000E-002,7.765000E-005,-5.273000E-005,9.935000E-003,9.985000E-003,-5.213000E-003,-6.035000E-004,-6.119000E-003,-4.869000E-003,-1.199000E-002,1.752000E-003,3.836000E-003,3.948000E-001,3.018000E-002,-9.021000E-001,-1.697000E-002,2.323000E-002,6.554000E-002,-2.611000E-001,-1.489000E-002,-9.716000E-002,-4.628000E-005,-6.615000E-002,-3.195000E-002,2.643000E-002,-7.636000E-003,-7.408000E-003,-9.447000E-002,4.421000E-002,7.434000E-004,1.371000E-003,1.247000E-001,-2.706000E-002,-6.116000E-002,7.588000E-003,9.160000E-004,8.424000E-002,-1.111000E-001,5.903000E-002,4.899000E-003,2.966000E-002
6,08/04/21,-1.017000E-002,6.311000E-002,5.441000E-001,-1.846000E-001,-8.300000E-005,5.533000E-005,-1.113000E-003,-3.584000E-004,-2.981000E-003,-5.182000E-004,-9.425000E-003,-3.428000E-002,5.140000E-003,-9.106000E-003,1.006000E-004,1.258000E-001,5.650000E-004,6.746000E-001,4.466000E-002,9.813000E-002,-1.859000E-003,3.020000E-002,3.098000E-003,1.907000E-002,1.809000E-003,7.947000E-003,6.339000E-002,-2.233000E-003,2.550000E-003,-1.544000E-002,-2.538000E-002,7.933000E-002,-4.874000E-002,6.009000E-004,-1.654000E-002,1.478000E-003,-6.573000E-003,-2.514000E-003,4.652000E-004,-2.871000E-003,2.169000E-002,9.987000E-004,-1.739000E-003,-1.637000E-005
6,08/05/21,-2.641000E-002,5.718000E-002,3.934000E-001,-1.195000E-001,3.382000E-004,-3.028000E-004,-2.431000E-003,-1.071000E-002,-3.569000E-003,2.087000E-004,-1.579000E-002,-1.180000E-002,-1.255000E-002,-1.251000E-002,-3.535000E-004,4.398000E-002,-4.311000E-003,1.163000E+000,6.514000E-002,1.106000E-001,4.884000E-002,9.665000E-002,3.680000E-003,5.758000E-002,1.166000E-002,-5.351000E-003,2.592000E-001,-4.006000E-003,4.516000E-003,-3.336000E-002,-5.944000E-003,8.087000E-002,-4.974000E-003,9.695000E-004,5.039000E-001,-4.195000E-003,-3.394000E-003,5.368000E-004,2.850000E-004,-1.486000E-002,1.032000E-001,-9.339000E-003,-2.055000E-003,-1.594000E-003
6,08/06/21,3.233000E-002,-3.273000E-002,8.122000E-001,-5.331000E-002,3.847000E-005,-1.483000E-004,-2.062000E-003,-1.444000E-002,5.522000E-003,7.033000E-004,-3.944000E-003,-1.043000E-002,9.334000E-003,-8.282000E-003,-4.155000E-004,-9.160000E-004,1.412000E-003,1.575000E+000,3.273000E-002,2.695000E-002,-3.164000E-002,-1.875000E-002,9.681000E-003,-4.388000E-003,9.212000E-006,-6.385000E-004,7.178000E-002,-6.749000E-003,5.297000E-003,-1.056000E-002,1.032000E-001,2.113000E-002,-1.325000E-002,2.361000E-004,9.766000E-003,-3.563000E-002,-4.765000E-003,2.266000E-004,5.111000E-004,-1.046000E-002,3.027000E-002,-1.559000E-003,2.364000E-004,4.291000E-003
6,08/07/21,-1.559000E-002,-4.172000E-002,5.541000E-001,-4.493000E-002,7.444000E-005,-1.226000E-004,4.414000E-004,-5.949000E-003,5.393000E-003,1.792000E-003,-2.465000E-003,-2.333000E-002,-1.212000E-002,-1.202000E-002,-9.750000E-004,-2.446000E-002,3.200000E-003,1.671000E+000,7.437000E-002,1.850000E-002,2.315000E-002,-3.039000E-003,1.323000E-002,-5.000000E-003,1.199000E-005,3.490000E-003,-2.791000E-002,-5.107000E-003,4.796000E-003,-2.624000E-004,1.209000E-001,6.970000E-002,9.263000E-003,1.136000E-003,3.853000E-002,-2.805000E-002,-2.518000E-005,1.265000E-003,1.972000E-004,-8.287000E-003,-9.881000E-003,-2.841000E-003,-4.993000E-004,-1.549000E-003
6,08/08/21,-3.239000E-002,-3.961000E-003,1.325000E+000,8.374000E-003,8.329000E-005,2.366000E-005,-7.463000E-005,1.915000E-002,1.215000E-002,1.040000E-003,1.097000E-002,-2.036000E-002,-1.123000E-002,3.677000E-004,-2.460000E-003,-2.481000E-001,3.333000E-003,2.144000E+000,9.473000E-002,6.012000E-003,-5.015000E-002,-1.246000E-002,2.526000E-002,-2.574000E-002,2.685000E-001,-9.358000E-003,-6.902000E-002,-2.346000E-003,-1.852000E-003,1.438000E-002,1.700000E-001,-3.777000E-002,-3.807000E-002,2.228000E-003,2.982000E-002,-5.146000E-003,7.921000E-003,1.281000E-003,9.508000E-004,-6.188000E-003,3.633000E-002,-1.640000E-003,-7.337000E-004,-2.857000E-003
