**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ethylbenzene,  0.00192,  0.00104,  0.00144,  0.00192,  0.00224,  0.00829,  0.00221,  0.00153,  0.69047,  0.79472
Propylbenzene,  0.00033,  0.00005,  0.00025,  0.00033,  0.00049,  0.00246,  0.00045,  0.00049,  1.10687,  1.48830
m_p-Xylene,  0.00398,  0.00000,  0.00361,  0.00395,  0.00436,  0.00683,  0.00383,  0.00126,  0.32842,  0.31579
o-Xylene,  0.00211,  0.00101,  0.00165,  0.00210,  0.00251,  0.00406,  0.00219,  0.00078,  0.35380,  0.36823
p-Isopropyl Toluene,  0.00049,  0.00000,  0.00036,  0.00050,  0.00163,  0.00465,  0.00096,  0.00104,  1.08483,  2.14084
Naphthalene,  0.00025,  0.00000,  0.00025,  0.00046,  0.00154,  0.00412,  0.00083,  0.00099,  1.19960,  3.96959
Methanol,  4.39970,  0.00000,  3.37473,  3.94440,  4.40165,  5.22030,  3.77969,  1.15933,  0.30673,  0.26350
Ethanol,  0.22464,  0.00000,  0.15820,  0.20353,  0.23496,  0.25821,  0.17705,  0.08320,  0.46991,  0.37036
Phenol,  0.07788,  0.01500,  0.06589,  0.07782,  0.11461,  0.13865,  0.08324,  0.03299,  0.39628,  0.42357
Formaldehyde,  0.34374,  0.28455,  0.34314,  0.36935,  0.65865,  0.70371,  0.45177,  0.15896,  0.35185,  0.46243
Acetaldehyde,  0.10627,  0.06254,  0.10609,  0.12363,  0.22249,  0.41867,  0.16128,  0.08650,  0.53631,  0.81394
Isovaleraldehyde,  0.03012,  0.00000,  0.02594,  0.02847,  0.03008,  0.03047,  0.02645,  0.00669,  0.25299,  0.22218
Hexaldehyde,  0.08717,  0.00000,  0.06154,  0.08342,  0.08704,  0.08831,  0.07263,  0.02073,  0.28543,  0.23783
m_p-Tolualdehyde,  0.00009,  0.00004,  0.00009,  0.00010,  0.00014,  0.00027,  0.00012,  0.00005,  0.41240,  0.53062
Phenylacetaldehyde,  0.06247,  0.02083,  0.05323,  0.06067,  0.07141,  0.07811,  0.05981,  0.01343,  0.22451,  0.21494
Cyclohexanone,  0.00038,  0.00000,  0.00032,  0.00038,  0.00042,  0.00046,  0.00036,  0.00010,  0.27954,  0.26214
Methyl acetate,  0.00288,  0.00000,  0.00084,  0.00283,  0.00674,  0.10294,  0.00822,  0.02245,  2.73128,  7.80973
n-Butyl acetate,  0.00219,  0.00000,  0.00000,  0.00147,  0.00220,  0.01684,  0.00213,  0.00371,  1.74348,  1.69121
D5-Siloxane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.05453,  0.00289,  0.01217,  4.21963,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00987,  0.00272,  0.00994,  0.01187,  0.01762,  0.02556,  0.01311,  0.00552,  0.42117,  0.55923
Chloroform,  0.00210,  0.00039,  0.00208,  0.00229,  0.00318,  0.00384,  0.00246,  0.00081,  0.33085,  0.38700
Trichlorofluoromethane,  0.00950,  0.00000,  0.00954,  0.01102,  0.02645,  0.03513,  0.01610,  0.01204,  0.74788,  1.26715
Dichlorodifluoromethane,  0.03268,  0.00000,  0.03278,  0.06923,  0.10005,  0.12941,  0.06497,  0.04345,  0.66878,  1.32939
Carbon Tetrachloride,  0.00022,  0.00000,  0.00033,  0.00341,  0.00737,  0.01136,  0.00376,  0.00353,  0.93947, 15.84139
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00328,  0.00806,  0.01166,  0.00394,  0.00405,  1.02864,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00175,  0.00000,  0.00169,  0.00189,  0.00426,  0.00571,  0.00273,  0.00165,  0.60516,  0.94499
Tetrachloroethene,  0.00049,  0.00022,  0.00035,  0.00049,  0.00057,  0.00115,  0.00051,  0.00025,  0.47694,  0.50433
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00009,  0.00405,  0.00031,  0.00092,  2.97824,  0.00000
1_4-Dichlorobenzene,  0.00001,  0.00000,  0.00000,  0.00001,  0.00012,  0.00957,  0.00109,  0.00290,  2.66064,278.08143
PCBTF,  0.00096,  0.00000,  0.00067,  0.00095,  0.00101,  0.00298,  0.00099,  0.00067,  0.67732,  0.69459
N-Butane,  0.18563,  0.01089,  0.10836,  0.18565,  0.19169,  0.21620,  0.15438,  0.06025,  0.39026,  0.32457
Isobutane,  0.13631,  0.00000,  0.04726,  0.11278,  0.13630,  0.15430,  0.09849,  0.04840,  0.49149,  0.35511
N-Pentane,  0.06412,  0.00000,  0.02040,  0.06318,  0.06458,  0.07911,  0.04846,  0.02870,  0.59230,  0.44764
Isopentane,  0.08742,  0.01364,  0.04191,  0.06569,  0.08749,  0.11361,  0.06575,  0.03087,  0.46950,  0.35311
2-Methyl pentane,  0.03673,  0.00000,  0.01993,  0.03663,  0.04138,  0.07420,  0.03107,  0.01849,  0.59523,  0.50347
Butene,  0.06870,  0.00711,  0.04780,  0.06870,  0.07405,  0.08441,  0.05999,  0.02281,  0.38022,  0.33200
Propylene,  0.15124,  0.02851,  0.11917,  0.15025,  0.15273,  0.21067,  0.13846,  0.03907,  0.28217,  0.25833
cis-2-Pentene,  0.00230,  0.00000,  0.00141,  0.00230,  0.00264,  0.00355,  0.00196,  0.00097,  0.49208,  0.41886
Isoprene,  0.01225,  0.00000,  0.00000,  0.00030,  0.01080,  0.03303,  0.00618,  0.00890,  1.44123,  0.72653
alpha-Pinene,  0.00282,  0.00000,  0.00000,  0.00097,  0.00276,  0.01027,  0.00227,  0.00299,  1.31303,  1.06031
MVK,  0.01096,  0.00000,  0.00000,  0.00338,  0.01008,  0.01306,  0.00496,  0.00497,  1.00275,  0.45386
Benzene,  0.01732,  0.00400,  0.01613,  0.01756,  0.02549,  0.04755,  0.01955,  0.01041,  0.53236,  0.60109
Toluene,  0.02616,  0.00648,  0.01765,  0.02509,  0.02707,  0.07443,  0.02633,  0.01698,  0.64504,  0.64936
Ethylbenzene,  0.00451,  0.00118,  0.00304,  0.00387,  0.00455,  0.01221,  0.00442,  0.00272,  0.61558,  0.60292
Propylbenzene,  0.00114,  0.00034,  0.00065,  0.00097,  0.00115,  0.00228,  0.00107,  0.00055,  0.51658,  0.48536
m_p-Xylene,  0.00661,  0.00000,  0.00359,  0.00584,  0.00667,  0.01803,  0.00649,  0.00468,  0.72034,  0.70743
o-Xylene,  0.00356,  0.00000,  0.00184,  0.00224,  0.00360,  0.01388,  0.00368,  0.00325,  0.88440,  0.91388
p-Isopropyl Toluene,  0.00107,  0.00000,  0.00006,  0.00099,  0.00109,  0.00187,  0.00071,  0.00055,  0.77837,  0.51169
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00663,  0.00035,  0.00148,  4.26597,  0.00000
Methanol,  0.00086,  0.00000,  0.00327,  0.77681,  1.14783,  1.96420,  0.66193,  0.63851,  0.96462,742.81781
Ethanol,  0.08553,  0.00000,  0.00000,  0.07671,  0.17949,  0.20899,  0.08596,  0.08695,  1.01150,  1.01666
Phenol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.03659,  0.00393,  0.01050,  2.67298,  0.00000
Formaldehyde,  0.28538,  0.00000,  0.01696,  0.19697,  0.28349,  0.82497,  0.19644,  0.19469,  0.99107,  0.68220
Acetaldehyde,  0.11803,  0.00000,  0.00000,  0.06534,  0.11817,  0.60840,  0.10928,  0.15161,  1.38727,  1.28446
Isovaleraldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00424,  0.01422,  0.00262,  0.00427,  1.62610,  0.00000
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00185,  0.03492,  0.00366,  0.00908,  2.48132,  0.00000
m_p-Tolualdehyde,  0.00013,  0.00000,  0.00000,  0.00006,  0.00013,  0.00052,  0.00010,  0.00013,  1.31142,  1.04819
Phenylacetaldehyde,  0.00333,  0.00000,  0.00336,  0.00817,  0.02521,  0.03381,  0.01249,  0.01166,  0.93307,  3.50111
Cyclohexanone,  0.00000,  0.00000,  0.00000,  0.00000,  0.00006,  0.00051,  0.00006,  0.00015,  2.36050,  0.00000
Methyl acetate,  0.01451,  0.00000,  0.00616,  0.01457,  0.01873,  0.03262,  0.01394,  0.00892,  0.64026,  0.61504
n-Butyl acetate,  0.01149,  0.00000,  0.00669,  0.01148,  0.01526,  0.02707,  0.01166,  0.00754,  0.64698,  0.65642
D5-Siloxane,  0.01985,  0.00122,  0.01209,  0.01986,  0.02272,  0.06063,  0.01861,  0.01196,  0.64248,  0.60247

Factor 4,,Statistics Over All Runs
